MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GARR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVL;SUB;NSUB;TRA;X
ATT_BLIZZARD;-50;-50;-50;-55;-65;-65;-45;-45;-30;-55;-60;-55;-100;-100;-100;-100;-100;-100;-100;0;0;-80;-80;-80;-80;-80;-100;-100;-80;-80;-80;X
ATT_SNOW;-40;-40;-40;-45;-50;-50;-40;-40;-20;-40;-50;-40;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-80;-80;-10;-10;-25;X
ATT_FROZEN;-35;-35;-35;-35;-35;-35;-35;-35;-10;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_RAIN;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-30;-30;-30;-30;-30;-30;-30;0;0;-10;-10;-10;-10;-10;-80;-80;-5;-5;-10;X
ATT_STORM;-25;-25;-25;-30;-35;-35;-25;-25;-25;-25;-35;-25;-100;-100;-100;-100;-100;-100;-100;0;0;-50;-50;-50;-50;-50;-100;-100;-50;-50;-50;X
ATT_MUDDY;-50;-50;-60;-65;-65;-65;-50;-30;-50;-50;-50;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_NIGHT;-55;-55;-55;-60;-65;-65;-45;-45;-55;-55;-65;-45;-80;-80;-80;-80;-80;-80;-80;0;0;-60;-50;-55;-60;-50;-90;-90;0;0;-60;X
ATT_DESERT;-45;-40;-40;-35;-30;-30;-40;-40;-40;-45;-45;-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X
ATT_MOUNTAIN;-50;-55;-55;-55;-65;-65;-45;-45;-30;-50;-50;-50;-30;-30;-30;-30;-30;-30;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;X
ATT_HILL;-40;-35;-40;-40;-40;-40;-35;-35;-20;-40;-40;-40;-10;-10;-10;-10;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;X
ATT_FOREST;-30;-30;-35;-35;-50;-50;-25;-25;-25;-30;-30;-25;-20;-20;-20;-20;-20;-20;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;X
ATT_JUNGLE;-55;-65;-65;-70;-75;-75;-50;-45;-50;-60;-60;-45;-40;-40;-40;-40;-40;-40;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;X
