land_unit_type = 1
allowed_brigades = artillery
allowed_brigades = anti_tank
allowed_brigades = anti_air
allowed_brigades = sp_artillery
allowed_brigades = sp_rct_artillery
allowed_brigades = light_armor_brigade
allowed_brigades = armored_car
allowed_brigades = engineer
allowed_brigades = b_u8
allowed_brigades = police
allowed_brigades = super_heavy_armor
allowed_brigades = b_u15
allowed_brigades = b_u13
allowed_brigades = b_u17
allowed_brigades = b_u7
allowed_brigades = tank_destroyer
allowed_brigades = heavy_armor
allowed_brigades = b_u11

# 0 - 42型機械化步兵師
model = {
	cost 					= 16
	buildtime	 			= 260
	manpower 				= 15
	maxspeed 				= 12
	defaultorganisation 	= 50
	morale					= 50
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 21
	hardattack				= 9
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 9
	speed_cap_at			= 10
	speed_cap_aa			= 10
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 1 - 45型機械化步兵師
model = {
	cost 					= 17
	buildtime	 			= 260
	manpower 				= 15
	maxspeed 				= 12
	defaultorganisation 	= 53
	morale					= 53
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 23
	hardattack				= 10
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 9
	speed_cap_at			= 10
	speed_cap_aa			= 10
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 2 - 48型機械化步兵師
model = {
	cost 					= 17
	buildtime	 			= 260
	manpower 				= 15
	maxspeed 				= 12
	defaultorganisation 	= 56
	morale					= 56
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 25
	hardattack				= 11
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 9
	speed_cap_at			= 10
	speed_cap_aa			= 10
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 3 - 52型機械化步兵師
model = {
	cost 					= 18
	buildtime	 			= 265
	manpower 				= 15
	maxspeed 				= 13
	defaultorganisation 	= 59
	morale					= 59
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 27
	hardattack				= 12
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 10
	speed_cap_eng			= 10
	speed_cap_at			= 11
	speed_cap_aa			= 11
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 4 - 56型機械化步兵師
model = {
	cost 					= 18
	buildtime	 			= 265
	manpower 				= 15
	maxspeed 				= 13
	defaultorganisation 	= 62
	morale					= 62
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 29
	hardattack				= 13
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 10
	speed_cap_eng			= 10
	speed_cap_at			= 11
	speed_cap_aa			= 11
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 5 - 60型機械化步兵師
model = {
	cost 					= 19
	buildtime	 			= 265
	manpower 				= 15
	maxspeed 				= 14
	defaultorganisation 	= 65
	morale					= 65
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 31
	hardattack				= 14
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 11
	speed_cap_eng			= 11
	speed_cap_at			= 12
	speed_cap_aa			= 12
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 6 - 68型機械化步兵師
model = {
	cost 					= 19
	buildtime	 			= 265
	manpower 				= 15
	maxspeed 				= 14
	defaultorganisation 	= 68
	morale					= 68
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 33
	hardattack				= 15
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 11
	speed_cap_eng			= 11
	speed_cap_at			= 12
	speed_cap_aa			= 12
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 7 - 74型機械化步兵師
model = {
	cost 					= 20
	buildtime	 			= 270
	manpower 				= 15
	maxspeed 				= 15
	defaultorganisation 	= 71
	morale					= 71
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 35
	hardattack				= 16
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 12
	speed_cap_eng			= 12
	speed_cap_at			= 13
	speed_cap_aa			= 13
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 8 - 81型機械化步兵師
model = {
	cost 					= 21
	buildtime	 			= 270
	manpower 				= 15
	maxspeed 				= 16
	defaultorganisation 	= 74
	morale					= 74
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 37
	hardattack				= 17
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 13
	speed_cap_eng			= 13
	speed_cap_at			= 14
	speed_cap_aa			= 14
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
# 9 - 88型機械化步兵師
model = {
	cost 					= 22
	buildtime	 			= 270
	manpower 				= 15
	maxspeed 				= 16
	defaultorganisation 	= 77
	morale					= 77
	defensiveness 			= 32
	toughness				= 24
	softness				= 56
	suppression				= 8
	airdefence				= 15
	softattack				= 39
	hardattack				= 18
	airattack				= 10
	transportweight			= 30
	supplyconsumption 		= 5.3
	fuelconsumption			= 6.3
	speed_cap_art			= 13
	speed_cap_eng			= 13
	speed_cap_at			= 14
	speed_cap_aa			= 14
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 1.5
}
