ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
35001;Head of State;阿古斯丁 P 胡斯托 ;36;PA;Resigned Generalissimo;high;M35001;x
35002;Head of Government;阿古斯丁 P 胡斯托 ;36;PA;Old General;high;M35001;x
35003;Foreign Minister;卡洛斯 萨韦德拉 拉马斯 ;36;PA;The Cloak N Dagger Schemer;high;M35003;x
35004;Minister of Armament;阿尔贝托 许约 ;36;PA;Laissez Faires Capitalist;high;M35004;x
35005;Minister of Security;拉蒙 卡斯蒂略 ;36;PA;Prince of Terror;high;M35005;x
35006;Head of Military Intelligence;乔治 德 拉 托雷 ;36;PA;Industrial Specialist;high;M35006;x
35007;Chief of Staff;曼努埃尔 A 罗德里格斯 ;36;PA;School of Defence;high;M35007;x
35008;Chief of Army;曼努埃尔 A 罗德里格斯 ;36;PA;Decisive Battle Doctrine;high;M35007;x
35009;Chief of Navy;佩德罗 S 卡萨尔 ;36;PA;Base Control Doctrine;high;M35009;x
35010;Chief of Air Force;安东尼奥 帕罗迪 ;36;PA;Air Superiority Doctrine;high;M35010;x
35031;Head of State;阿古斯丁 P 胡斯托 ;36;SC;Resigned Generalissimo;high;M35001;x
35032;Head of State;路易斯 波德斯塔 科斯塔 ;38;SC;Benevolent Gentleman;high;M35014;x
35033;Head of State;拉蒙 卡斯蒂略 ;42;PA;Stern Imperialist;high;M35005;x
35034;Head of State;曼努埃尔 马里亚 德 伊里翁多 ;46;SC;Insignificant Layman;high;M35034;x
35035;Head of State;马塞洛 T 阿尔韦亚尔 ;36;SL;Die-hard Reformer;high;M35035;x
35036;Head of State;罗武斯蒂亚诺 帕特龙 科斯塔斯 ;42;SL;Popular Figurehead;high;M35036;x
35037;Head of State;巴尔达萨雷 巴尔迪 希门尼斯 ;36;SD;Weary Stiffneck;high;M35037;x
35038;Head of State;古斯塔沃 门多萨 柯廷 ;40;SD;Popular Figurehead;high;M35038;x
35039;Head of State;罗伯托 M 奥尔蒂斯 ;36;PA;Pig-headed Isolationist;high;M35039;x
