NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
14001;Head of State;哈康七世 ;30;SD;Weary Stiffneck;High;M14001;x
14002;Head of Government;约翰 尼高斯沃尔 ;30;SD;Ambitious Union Boss;High;M14002;x
14003;Foreign Minister;哈尔夫丹 库特 ;30;SD;Biased Intellectual;Medium;M14003;x
14004;Minister of Armament;阿道夫 伊德瑞布 ;30;SD;Resource Industrialist;Medium;M14004;x
14005;Minister of Security;特里格韦 H 赖伊 ;30;SD;Man of the People;Medium;M14005;x
14006;Head of Military Intelligence;阿尔弗雷德 罗瑟尔-路德 ;30;SD;Logistics Specialist;Low;M14006;x
14007;Chief of Staff;奥托 路格 ;30;SD;School of Defence;Medium;M14075;x
14008;Chief of Army;克利斯坦 K 莱克 ;30;SD;Guns and Butter Doctrine;Medium;M14008;x
14009;Chief of Navy;加克博 冯 德 李普 ;30;SD;Indirect Approach Doctrine;Medium;M14009;x
14010;Chief of Air Force;加克博 冯 德 李普 ;30;SD;Army Aviation Doctrine;Medium;M14009;x
14032;Head of State;哈康七世 ;36;ML;Weary Stiffneck;High;M14001;x
14034;Head of State;艾尔宁 萨登贝格 ;45;PA;Autocratic Charmer;High;M14014;x
14036;Head of Government;C J 哈姆博 ;37;ML;Silent Workhorse;High;M14036;x
14037;Head of Government;埃纳尔 基哈德森 ;41;SD;Political Protege;High;M14037;x
14038;Head of Government;阿道夫 沃姆-梅勒 ;41;SL;Happy Amateur;High;M14038;x
14039;Head of Government;帕尔 贝格 ;45;ML;Backroom Backstabber;High;M14039;x
14040;Head of Government;安德斯 兰格 ;45;PA;Happy Amateur;High;M14040;x
14041;Foreign Minister;特里格韦 H 赖伊 ;41;SD;Iron Fisted Brute;High;M14005;x
14042;Foreign Minister;哈尔瓦德 曼瑟伊 兰格 ;45;SD;General Staffer;High;M14042;x
14043;Foreign Minister;J L 默温克尔 ;36;SL;Ideological Crusader;Very High;M14043;x
14044;Foreign Minister;帕尔 贝格 ;37;SL;Great Compromiser;High;M14039;x
14045;Foreign Minister;艾瑞克 安德瑞斯 克班 ;38;ML;Great Compromiser;High;M14045;x
14046;Foreign Minister;C J 哈姆博 ;39;ML;Great Compromiser;High;M14036;x
14047;Foreign Minister;罗夫 安德沃德 ;45;SD;Apologetic Clerk;High;M14047;x
14048;Foreign Minister;阿尔贝特 维拉加姆 哈格宁 ;42;FA;Biased Intellectual;Low;M14048;x
