ARM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
515001;Head of State;安特拉尼格 奥萨尼安 ;36;FA;Popular Figurehead;High;M515001;x
515002;Head of Government;安特拉尼格 奥萨尼安 ;36;FA;Old General;High;M515001;x
515003;Foreign Minister;博格哈斯 努巴尔 帕夏 ;36;FA;Ideological Crusader;High;M515003;x
515004;Minister of Armament;哈戈普 安多尼安 ;36;FA;Military Entrepreneur;Medium;M515004;x
515005;Minister of Security;卡雷克 帕斯特马德让 ;36;FA;Prince of Terror;Medium;M515005;x
515006;Head of Military Intelligence;杰克 阿贾扎里安 ;36;PA;Dismal Enigma;Medium;M515006;x
515007;Chief of Staff;保罗 霍夫曼 ;36;FA;School of Mass Combat;Medium;M515007;x
515008;Chief of Army;安特拉尼格 奥萨尼安 ;36;FA;Guns and Butter Doctrine;Medium;M515008;x
515009;Chief of Navy;威廉 贝切 ;36;FA;Indirect Approach Doctrine;Medium;M515009;x
515010;Chief of Air Force;汉斯 克莱因 ;36;FA;Army Aviation Doctrine;Medium;M515010;x
515011;Foreign Minister;贝尔奇 凯赖斯泰契扬 ;36;PA;Great Compromiser;High;M515011;x
515012;Foreign Minister;日万 汉帕尔楚米安 ;36;FA;The Cloak N Dagger Schemer;High;M515012;x
515013;Foreign Minister;法瑟 罗曼诺斯 ;36;NS;Iron Fisted Brute;High;M515013;x
515014;Minister of Armament;贝尔奇 凯赖斯泰契扬 ;36;PA;Administrative Genius;Medium;M515011;x
515015;Minister of Armament;艾尔沙格 K. 施马沃尼安 ;36;NS;Resource Industrialist;Medium;M515015;x
515016;Minister of Armament;迪克兰 阿拉菲安 ;36;FA;Laissez Faires Capitalist;Medium;M515016;x
515017;Minister of Security;加列金 恩兹德克 ;36;NS;Efficient Sociopath;Medium;M515017;x
515018;Minister of Security;法瑟 霍夫汉内斯 ;36;NS;Crime Fighter;Medium;M515018;x
515019;Minister of Security;阿兰 安多尼安 ;36;FA;Compassionate Gentleman;Medium;M515019;x
515020;Minister of Security;帕特里亚尔奇 拉拉扎 ;36;PA;Man of the People;Medium;M515020;x
515021;Head of Military Intelligence;欣特 奥塞比安 ;36;NS;Industrial Specialist;Medium;M515021;x
515022;Head of Military Intelligence;瓦尔坦 沙连茨 ;36;PA;Technical Specialist;Medium;M515022;x
515023;Head of Military Intelligence;法瑟 克里斯塔博 ;36;FA;Logistics Specialist;Medium;M515023;x
515024;Chief of Army;米萨克 巴巴贾尼恩 ;36;FA;Armoured Spearhead Doctrine;Medium;M515024;x
515025;Chief of Army;德拉什塔马 卡尼安 ;36;NS;Elastic Defence Doctrine;Medium;M515025;x
515026;Chief of Navy;贝尔杰 伊萨基安 ;36;FA;Decisive Naval Battle Doctrine;Medium;M515026;x
515027;Chief of Air Force;加拉贝德 阿拉菲安 ;36;PA;Vertical Envelopment Doctrine;Medium;M515027;x
515028;Chief of Air Force;萨尔基斯 彼得里基安 ;36;FA;Air Superiority Doctrine;Medium;M515028;x
