PRI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
527001;Head of State;康拉丁 阿西莫夫 ;36;LE;Barking Buffoon;High;M527001;x
527002;Head of Government;阿列克谢 希普诺夫 ;36;LE;Happy Amateur;High;M527002;x
527003;Foreign Minister;兹莱塔夫 巴兰斯基 ;36;LE;Apologetic Clerk;High;M527003;x
527004;Minister of Armament;彼得 什皮塔利内 ;36;LE;Resource Industrialist;Medium;M527004;x
527005;Minister of Security;谢尔盖 特列季亚科夫 ;36;LE;Prince of Terror;Medium;M527005;x
527006;Head of Military Intelligence;伊万 舍莱斯特 ;36;LE;Logistics Specialist;Medium;M527006;x
527007;Chief of Staff;安东 希波夫 ;36;LE;School of Fire Support;Medium;M527007;x
527008;Chief of Army;特里菲尔 希曼斯基 ;36;LE;Elastic Defence Doctrine;Medium;M527008;x
527009;Chief of Navy;维塔尔莫 帕诺夫 ;36;LE;Open Seas Doctrine;Medium;M527009;x
527010;Chief of Air Force;尼古拉 舒特 ;36;LE;Vertical Envelopment Doctrine;Medium;M527010;x
527011;Head of State;尼古拉 斯米尔诺夫 ;36;ML;Ruthless Powermonger;High;M527011;x
527012;Head of State;米尔沙 武奇尔科夫 ;36;PA;Insignificant Layman;High;M527012;x
527013;Head of Government;米哈伊尔 阿克塞莫夫 ;36;ML;Flamboyant Tough Guy;High;M527013;x
527014;Head of Government;根纳季 希亚诺夫 ;36;PA;Old Admiral;High;M527014;x
527015;Foreign Minister;马哈茂德 盖达尔 ;36;LE;Ideological Crusader;High;M527015;x
527016;Foreign Minister;叶戈尔 K 沙欣 ;36;ML;Biased Intellectual;High;M527016;x
527017;Foreign Minister;阿列克谢 西多连科 ;36;ML;Great Compromiser;High;M527017;x
527018;Foreign Minister;彼得 舒利金 ;36;PA;Great Compromiser;High;M527018;x
527019;Foreign Minister;穆罕默德 加沙诺维奇 ;36;PA;Iron Fisted Brute;High;M527019;x
527020;Minister of Armament;西拉祖金 哈布列耶夫 ;36;LE;Military Entrepreneur;Medium;M527020;x
527021;Minister of Armament;特里因 特里尤巴切夫 ;36;ML;Administrative Genius;Medium;M527021;x
527022;Minister of Armament;根纳季 谢列兹尼奥夫 ;36;ML;Air to Ground Proponent;Medium;M527022;x
527023;Minister of Armament;弗拉迪米尔 博利沙宁 ;36;PA;Tank Proponent;Medium;M527023;x
527024;Minister of Armament;罗曼 巴西莱夫斯基 ;36;PA;Air to Ground Proponent;Medium;M527024;x
527025;Minister of Security;根纳季 布卡耶夫 ;36;LE;Man of the People;Medium;M527025;x
527026;Minister of Security;维克托 克尔希斯坚科 ;36;ML;Compassionate Gentleman;Medium;M527026;x
527027;Minister of Security;弗拉迪米尔 克沃尔科夫 ;36;ML;Back Stabber;Medium;M527027;x
527028;Minister of Security;法瑟 耶奥伊 加蓬 ;36;PA;Silent Lawyer;Medium;M527028;x
527029;Minister of Security;亚历山代尔 达维坚科 ;36;PA;Compassionate Gentleman;Medium;M527029;x
527030;Head of Military Intelligence;叶连纳 什瓦诺瓦 ;36;LE;Industrial Specialist;Medium;M527030;x
527031;Head of Military Intelligence;维克托 A 沙宁 ;36;ML;Industrial Specialist;Medium;M527031;x
527032;Head of Military Intelligence;叶戈尔 科普捷夫 ;36;ML;Technical Specialist;Medium;M527032;x
527033;Head of Military Intelligence;维克托 卡列林 ;36;PA;Dismal Enigma;Medium;M527033;x
527034;Head of Military Intelligence;威尔弗雷德 菲隆 ;36;PA;Logistics Specialist;Medium;M527034;x
527035;Chief of Staff;沃尔达尔 沙利莫夫 ;36;LE;School of Mass Combat;Medium;M527035;x
527036;Chief of Staff;瓦西里 A 希里亚耶夫 ;36;ML;School of Defence;Medium;M527036;x
527037;Chief of Staff;伊万 维索伊茨基 ;36;PA;School of Psychology;Medium;M527037;x
527038;Chief of Army;伊万 特列季亚克 ;36;LE;Static Defence Doctrine;Medium;M527038;x
527039;Chief of Army;帕维尔 沙因 ;36;ML;Static Defence Doctrine;Medium;M527039;x
527040;Chief of Army;帕维尔 帕诺夫 ;36;PA;Decisive Battle Doctrine;Medium;M527040;x
527041;Chief of Navy;德米特里 库利克 ;36;LE;Indirect Approach Doctrine;Medium;M527041;x
527042;Chief of Navy;伊戈尔 克彭鲁斯 ;36;ML;Power Projection Doctrine;Medium;M527042;x
527043;Chief of Navy;谢尔盖 比奇科夫 ;36;PA;Decisive Naval Battle Doctrine;Medium;M527043;x
527044;Chief of Air Force;维克托 沙夫罗夫 ;36;LE;Army Aviation Doctrine;Medium;M527044;x
527045;Chief of Air Force;米哈伊 舍夫里金 ;36;ML;Naval Aviation Doctrine;Medium;M527045;x
527046;Chief of Air Force;格里戈里 舒斌 ;36;PA;Air Superiority Doctrine;Medium;M527046;x
