CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
24001;Head of State;爱德华 贝奈斯 ;30;ML;Pig-headed Isolationist;High;M24001;x
24002;Head of Government;米朗 霍查 ;30;ML;Naive Optimist;High;M24002;x
24003;Foreign Minister;爱德华 贝奈斯 ;30;ML;Biased Intellectual;High;M24001;x
24004;Minister of Armament;约瑟夫 卡尔富斯 ;30;ML;Resource Industrialist;High;M24004;x
24005;Minister of Security;伊万 德雷尔 ;30;ML;Man of the People;Medium;M24005;x
24006;Head of Military Intelligence;弗兰蒂泽克 马赫尼克 ;30;ML;Logistics Specialist;Very High;M24006;x
24007;Chief of Staff;弗兰蒂泽克 马赫尼克 ;30;ML;School of Defence;Very High;M24006;x
24008;Chief of Army;卢德维克 克雷伊奇 ;30;ML;Static Defence Doctrine;Medium;M24008;x
24009;Chief of Navy;安托宁 哈萨尔 ;30;ML;Indirect Approach Doctrine;Medium;M24009;x
24010;Chief of Air Force;埃米尔 雅努斯卡 ;30;ML;Army Aviation Doctrine;Medium;M24010;x
24031;Head of State;艾米尔 哈查 ;38;ML;Insignificant Layman;High;M24031;x
24033;Head of State;爱德华 贝奈斯 ;45;ST;Pig-headed Isolationist;High;M24001;x
24034;Head of State;扬 西罗维 ;30;PA;Resigned Generalissimo;High;M24034;x
24035;Head of State;斯特凡 奥苏斯基 ;45;SC;Weary Stiffneck;High;M24035;x
24036;Head of State;康拉德 亨莱因 ;30;NS;Insignificant Layman;High;M24013;x
24037;Head of State;约翰 什未林 冯 克罗西克 ;39;NS;Benevolent Gentleman;High;M24037;x
24038;Head of State;库尔特 达略格 ;41;NS;Ruthless Powermonger;High;M24038;x
24039;Head of State;卡尔 赫尔曼 弗兰克 ;43;NS;Powerhungry Demagogue;High;M24011;x
24040;Head of State;阿洛伊斯 伊莱亚斯 ;45;NS;Resigned Generalissimo;High;M24040;x
24041;Head of State;伊莱亚斯 科恩 ;30;ST;Die-hard Reformer;High;M24041;x
24042;Head of State;克莱门特 哥特瓦尔德 ;41;ST;Barking Buffoon;High;M24021;x
24044;Head of Government;扬 什拉麦克 ;39;ML;Ambitious Union Boss;High;M24044;x
24045;Head of Government;扬 西罗维 ;30;SC;Old General;High;M24034;x
24046;Head of Government;鲁道尔夫 贝朗 ;38;PA;Political Protege;High;M24012;x
24047;Head of Government;贝德里奇 霍莫拉 ;45;SC;Happy Amateur;High;M24047;x
24048;Head of Government;卡雷尔 卡雷姆谢克 ;30;NS;Happy Amateur;High;M24048;x
24049;Head of Government;阿洛伊斯 伊莱亚斯 ;39;NS;Old General;High;M24040;x
24050;Head of Government;约瑟夫 齐泽克 ;45;NS;Flamboyant Tough Guy;High;M24016;x
24051;Head of Government;特奥多尔 埃舍里希 ;30;ST;Naive Optimist;High;M24051;x
24052;Head of Government;古斯塔夫 胡萨克 ;43;ST;Political Protege;High;M24022;x
24053;Foreign Minister;卡米尔 克罗夫塔 ;30;ML;Great Compromiser;High;M24053;x
24054;Foreign Minister;弗朗基舍克 赫瓦尔科夫斯基 ;38;ML;Iron Fisted Brute;Very High;M24054;x
24055;Foreign Minister;扬 马萨利克 ;40;ML;Ideological Crusader;Very High;M24055;x
24056;Foreign Minister;斯特凡 奥苏斯基 ;30;SC;Great Compromiser;Very High;M24035;x
24057;Foreign Minister;尤拉伊 斯拉维克 ;40;SC;Biased Intellectual;Medium;M24057;x
24058;Foreign Minister;奥尔德日赫 奥塔默尔 ;30;PA;Apologetic Clerk;Medium;M24058;x
24059;Foreign Minister;贝德里奇 诺伊曼 ;45;PA;General Staffer;Medium;M24059;x
24060;Foreign Minister;康斯坦丁 冯 埃科诺维克 ;30;NS;The Cloak N Dagger Schemer;High;M24060;x
24061;Foreign Minister;康拉德 亨莱因 ;39;NS;Ideological Crusader;High;M24013;x
24062;Foreign Minister;亚罗米尔 克里卡 ;45;NS;Apologetic Clerk;High;M24062;x
24063;Foreign Minister;弗拉迪米尔 克莱门蒂斯 ;30;ST;Great Compromiser;Medium;M24023;x
24064;Foreign Minister;古斯塔夫 胡萨克 ;41;ST;Iron Fisted Brute;High;M24022;x
24065;Foreign Minister;鲁道夫 斯兰斯基 ;43;ST;The Cloak N Dagger Schemer;High;M24024;x
24066;Minister of Armament;埃米尔 弗兰克 ;30;ML;Theoretical Scientist;High;M24066;x
24068;Minister of Armament;卡雷尔 巴西莱克 ;39;ML;Military Entrepreneur;High;M24068;x
24069;Minister of Armament;费迪南德 韦韦尔卡 ;43;ML;Administrative Genius;Medium;M24069;x
24070;Minister of Armament;埃米尔 多布里恰克 ;30;PA;Administrative Genius;Low;M24070;x
24071;Minister of Armament;艾米尔 哈查 ;39;PA;Theoretical Scientist;Low;M24031;x
24072;Minister of Armament;弗兰蒂泽克 贝克尔 ;41;SC;Theoretical Scientist;Medium;M24072;x
24073;Minister of Armament;卡雷尔 塞尔尼 ;43;PA;Infantry Proponent;High;M24073;x
24074;Minister of Armament;安托宁 帕夫利克 ;45;PA;Tank Proponent;High;M24074;x
24075;Minister of Armament;恩斯特 孔特 ;30;NS;Resource Industrialist;High;M24014;x
24076;Minister of Armament;奥托卡尔 西布林 ;38;NS;Laissez Faires Capitalist;High;M24076;x
24077;Minister of Armament;卡雷尔 卡雷姆谢克 ;41;NS;Administrative Genius;Low;M24048;x
24078;Minister of Armament;扬 普尔克拉 ;45;NS;Infantry Proponent;Low;M24078;x
24079;Minister of Armament;博胡米尔 斯特潘内克 ;30;ST;Tank Proponent;Medium;M24079;x
24080;Minister of Armament;卡雷尔 奥尔马内克 ;41;ST;Laissez Faires Capitalist;Medium;M24080;x
24081;Minister of Armament;鲁道夫 斯兰斯基 ;45;ST;Theoretical Scientist;Medium;M24024;x
24082;Minister of Security;维克托 福兰西斯 ;30;ML;Crime Fighter;Medium;M24082;x
24084;Minister of Security;亚罗米尔 科佩基 ;39;ML;Prince of Terror;Medium;M24084;x
24085;Minister of Security;扬 什拉麦克 ;40;ML;Silent Lawyer;Medium;M24044;x
24086;Minister of Security;恩斯特 弗里舍 ;43;ML;Back Stabber;Medium;M24086;x
24087;Minister of Security;奥塔卡尔 艾舍尔 ;30;PA;Compassionate Gentleman;Very High;M24087;x
24088;Minister of Security;弗朗索瓦 霍达奇 ;39;SC;Silent Lawyer;Medium;M24088;x
24089;Minister of Security;约瑟夫 齐泽克 ;41;SC;Crime Fighter;Medium;M24016;x
24090;Minister of Security;尤拉伊 斯拉维克 ;43;SC;Man of the People;High;M24057;x
24091;Minister of Security;扬 卡普拉斯 ;45;PA;Prince of Terror;Medium;M24015;x
24092;Minister of Security;约翰 什未林 冯 克罗西克 ;39;NS;Man of the People;NA;M24037;x
24093;Minister of Security;库尔特 达略格 ;41;NS;Efficient Sociopath;Very High;M24038;x
24094;Minister of Security;卡尔 赫尔曼 弗兰克 ;43;NS;Crooked Kleptocrat;High;M24011;x
24095;Minister of Security;普罗科普 德尔季纳 ;30;ST;Man of the People;High;M24025;x
24096;Minister of Security;特奥多尔 埃舍里希 ;39;ST;Prince of Terror;High;M24051;x
24097;Minister of Security;克里斯托夫 埃梅里希 ;41;ST;Silent Lawyer;Very High;M24097;x
24098;Minister of Security;约瑟夫 泽曼 ;45;ST;Back Stabber;Very High;M24098;x
24099;Head of Military Intelligence;鲍里斯 特林佩尔 ;30;ML;Political Specialist;Very High;M24099;x
24100;Head of Military Intelligence;托比亚斯 卡勒 ;38;ML;Industrial Specialist;Very High;M24100;x
24102;Head of Military Intelligence;鲍里斯 科万科克 ;43;ML;Technical Specialist;Very High;M24102;x
24103;Head of Military Intelligence;贝德里奇 霍莫拉 ;30;SC;Dismal Enigma;Medium;M24047;x
24104;Head of Military Intelligence;博胡米尔 内梅茨 ;30;PA;Industrial Specialist;High;M24104;x
24105;Head of Military Intelligence;鲁道尔夫 贝朗 ;43;PA;Political Specialist;High;M24012;x
24106;Head of Military Intelligence;博胡斯拉夫 弗谢季奇卡 ;45;PA;Logistics Specialist;High;M24106;x
24107;Head of Military Intelligence;约瑟夫 齐泽克 ;30;NS;Political Specialist;Very High;M24016;x
24108;Head of Military Intelligence;博胡米尔 克尔佩茨 ;41;NS;Logistics Specialist;Very High;M24108;x
24109;Head of Military Intelligence;伊莱亚斯 科恩 ;30;ST;Technical Specialist;High;M24041;x
24110;Head of Military Intelligence;鲁道夫 斯兰斯基 ;40;ST;Political Specialist;High;M24024;x
24111;Head of Military Intelligence;兹德涅克 菲尔林格 ;45;ST;Dismal Enigma;Very High;M24026;x
24112;Chief of Staff;弗拉迪米尔 凯多斯 ;30;ML;School of Fire Support;Very High;M24112;x
24114;Chief of Staff;谢尔盖 杨 英格尔 ;41;ML;School of Manoeuvre;Very High;M24114;x
24115;Chief of Staff;雅罗斯拉夫 齐哈克 ;43;ML;School of Mass Combat;Very High;M24115;x
24116;Chief of Staff;布鲁诺 斯克连科夫斯基 ;45;ML;School of Psychology;Very High;M24116;x
24117;Chief of Staff;费迪南德 卡特罗斯 ;30;PA;School of Defence;Medium;M24117;x
24118;Chief of Staff;扬 戈利安 ;41;PA;School of Manoeuvre;Very High;M24118;x
24119;Chief of Staff;约瑟夫 图拉内克 ;30;NS;School of Psychology;Very High;M24119;x
24120;Chief of Staff;罗伯特 里赫特尔莫茨 ;41;NS;School of Manoeuvre;Medium;M24017;x
24121;Chief of Staff;卢德维克 斯沃博达 ;30;ST;School of Mass Combat;High;M24027;x
24123;Chief of Army;弗兰蒂泽克 扎维什卡 ;38;ML;Guns and Butter Doctrine;Medium;M24123;x
24124;Chief of Army;埃米尔 菲亚拉 ;39;ML;Decisive Battle Doctrine;Medium;M24124;x
24125;Chief of Army;谢尔盖 杨 英格尔 ;41;ML;Elastic Defence Doctrine;Very High;M24114;x
24126;Chief of Army;博胡米尔 博塞克 ;43;ML;Armoured Spearhead Doctrine;Very High;M24126;x
24127;Chief of Army;扬 西罗维 ;30;PA;Guns and Butter Doctrine;Medium;M24034;x
24128;Chief of Army;贝德里奇 霍莫拉 ;39;PA;Static Defence Doctrine;Very High;M24047;x
24129;Chief of Army;安德烈 弗拉索夫 ;43;PA;Decisive Battle Doctrine;High;M24129;x
24130;Chief of Army;鲁道夫 维耶斯特 ;45;PA;Armoured Spearhead Doctrine;Medium;M24130;x
24131;Chief of Army;雅罗斯拉夫 贝哈克 ;30;NS;Elastic Defence Doctrine;Medium;M24131;x
24132;Chief of Army;阿洛伊斯 伊莱亚斯 ;39;NS;Static Defence Doctrine;Medium;M24040;x
24133;Chief of Army;奥托 布拉哈 ;43;NS;Armoured Spearhead Doctrine;Medium;M24018;x
24134;Chief of Army;卢德维克 斯沃博达 ;30;ST;Static Defence Doctrine;High;M24027;x
24136;Chief of Navy;雅罗斯拉夫 齐哈克 ;39;ML;Decisive Naval Battle Doctrine;Medium;M24115;x
24137;Chief of Navy;费迪南德 卡特罗斯 ;30;PA;Base Control Doctrine;Medium;M24117;x
24138;Chief of Navy;罗伯特 里赫特尔莫茨 ;30;NS;Open Seas Doctrine;High;M24017;x
24139;Chief of Navy;克莱门特 哥特瓦尔德 ;30;ST;Base Control Doctrine;High;M24021;x
24140;Chief of Air Force;约瑟夫 弗兰蒂泽克 ;30;ML;Air Superiority Doctrine;Low;M24140;x
24142;Chief of Air Force;卡雷尔 库特尔瓦舍尔 ;43;ML;Army Aviation Doctrine;Very High;M24142;x
24144;Chief of Air Force;奥古斯丁 马拉尔 ;30;NS;Vertical Envelopment Doctrine;High;M24020;x
24145;Chief of Air Force;扬 普罗科普 ;30;ST;Vertical Envelopment Doctrine;High;M24030;x
24146;Minister of Security;奥塔卡尔 艾舍尔 ;30;NS;Compassionate Gentleman;Very High;M24087;x
24147;Head of Government;克莱门特 哥特瓦尔德 ;45;ST;Backroom Backstabber;High;M24021;x
24148;Head of State;爱德华 贝奈斯 ;39;ML;Pig-headed Isolationist;High;M24001;x
24149;Head of Government;卡雷尔 卡雷姆谢克 ;30;PA;Happy Amateur;High;M24048;x
24150;Head of State;康斯坦丁 冯 埃科诺维克 ;45;NS;Autocratic Charmer;High;M24060;x
24024;Minister of Armament;鲁道夫 斯兰斯基 ;30;ST;Theoretical Scientist;Medium;M24024;x
24026;Head of Military Intelligence;兹德纳克 菲尔林格 ;30;ST;Political Specialist;Very High;M24026;x
24151;Head of State;安托宁 萨波托茨基 ;53;ST;Pig-headed Isolationist;High;M24151;x
24152;Head of Government;安托宁 诺沃提尼 ;53;ST;Corporate Suit;High;M24152;x
24153;Foreign Minister;威廉 西罗基 ;50;ST;Iron Fisted Brute;Medium;M24153;x
24154;Minister of Armament;卢德维克 斯沃博达 ;30;ST;Military Entrepreneur;Medium;M24027;x
24155;Minister of Armament;阿列克贾 科皮卡 ;50;ST;Infantry Proponent;Medium;M24155;x
24156;Minister of Security;瓦茨拉夫 诺塞克 ;45;ST;Efficient Sociopath;Very High;M24156;x
24157;Head of Military Intelligence;普罗科普 德尔季纳 ;45;ST;Political Specialist;High;M24025;x
24158;Head of Military Intelligence;阿列克贾 科皮卡 ;48;ST;Logistics Specialist;High;M24155;x
24159;Head of Military Intelligence;斯特凡 赖斯 ;50;ST;Dismal Enigma;High;M24158;x
24164;Minister of Security;伊曼纽尔莫拉维克;39;NS;Prince of Terror;Low;M_CZE_Emanuel_Moravec;x
24166;Chief of Staff;伊曼纽尔莫拉维克;44;NS;School of Defence;Low;M_CZE_Emanuel_Moravec;x
