GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18001;Head of State;乔治斯二世 ;36;PA;Insignificant Layman;High;M18001;x
18002;Head of Government;康斯坦丁诺斯 德梅齐斯 ;36;PA;Naive Optimist;NA;M18002;x
18003;Foreign Minister;康斯坦丁诺斯 德梅齐斯 ;36;PA;Biased Intellectual;Very High;M18002;x
18004;Minister of Armament;乔治斯 曼察维诺斯 ;36;PA;Military Entrepreneur;Medium;M18004;x
18005;Minister of Security;乔治斯 洛戈塞蒂斯 ;36;PA;Crime Fighter;Medium;M18005;x
18006;Head of Military Intelligence;乔治斯 洛戈塞蒂斯 ;36;PA;Dismal Enigma;Medium;M18005;x
18007;Chief of Staff;特奥多尔 潘加洛斯 ;36;PA;School of Defence;Low;M18007;x
18008;Chief of Army;亚历山德罗斯 帕帕戈斯 ;36;PA;Elastic Defence Doctrine;Low;M18008;x
18009;Chief of Navy;阿纳斯塔西奥 萨克拉里乌 ;36;PA;Open Seas Doctrine;Medium;M18009;x
18010;Chief of Air Force;埃莱夫塞里奥斯 韦尼泽洛斯 ;36;PA;Army Aviation Doctrine;Medium;M18010;x
18031;Head of State;乔治斯二世 ;36;SL;Insignificant Layman;High;M18001;x
18032;Head of State;达马斯基诺斯 大主教 ;41;SL;Barking Buffoon;High;M18032;x
18033;Head of State;帕夫洛斯一世 ;47;SL;Die-hard Reformer;High;M18033;x
18034;Head of State;乔治斯二世 ;36;SC;Insignificant Layman;High;M18001;x
18035;Head of State;达马斯基诺斯 大主教 ;41;SC;Barking Buffoon;High;M18032;x
18036;Head of State;帕夫洛斯一世 ;47;SC;Die-hard Reformer;High;M18033;x
18037;Head of State;乔治斯二世 ;36;FA;Insignificant Layman;High;M18001;x
18039;Head of State;达马斯基诺斯 大主教 ;41;PA;Barking Buffoon;High;M18032;x
18040;Head of State;格里戈里耶夫 穆尔诺夫 ;41;NS;Weary Stiffneck;High;M18040;x
18041;Head of State;马里奥 韦尔切利诺 ;42;NS;Resigned Generalissimo;High;M18041;x
18042;Head of State;莱因哈德 阿尔滕贝格 ;43;NS;Autocratic Charmer;High;M18042;x
18043;Head of State;帕夫洛斯一世 ;47;PA;Die-hard Reformer;High;M18033;x
