CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
51001;Head of State;毛泽东 ;30;LE;Stern Imperialist;High;MC_CHC_51001;x
51002;Head of Government;周恩来 ;30;ST;Silent Workhorse;High;MC_CHC_51002;x
51003;Foreign Minister;周恩来 ;30;ST;Ideological Crusader;High;MC_CHC_51002;x
51004;Minister of Armament;陈云 ;37;ST;Administrative Genius;High;MC_CHC_51004;x
51005;Minister of Security;凯丰 ;30;ST;Compassionate Gentleman;High;MC_CHC_51005;x
51006;Head of Military Intelligence;李克农 ;30;ST;Dismal Enigma;High;MC_CHC_51006;x
51007;Chief of Staff;叶剑英 ;30;ST;School of Defence;High;MC_CHC_51007;x
51008;Chief of Army;朱德 ;30;ST;Guns And Butter Doctrine;High;MC_CHC_51008;x
51009;Chief of Navy;肖劲光 ;30;ST;Base Control Doctrine;High;MC_CHC_51009;x
51010;Chief of Air Force;常乾坤 ;30;ST;Army Aviation Doctrine;Medium;MC_CHC_51010;x
51011;Head of State;毛泽东 ;30;ST;Power Hungry Demagogue;High;MC_CHC_51001;x
51012;Head of State;张国焘 ;37;LE;Ruthless Powermonger;High;MC_CHC_51012;x
51013;Head of Government;朱德 ;30;LWR;Old General;High;MC_CHC_51008;x
51014;Head of Government;毛泽东 ;30;LE;Ambitious Union Boss;High;MC_CHC_51001;x
51015;Head of Government;张国焘 ;37;LE;Ambitious Union Boss;High;MC_CHC_51012;x
51016;Head of Government;毛泽东 ;30;ST;Backroom Backstabber;High;MC_CHC_51001;x
51017;Foreign Minister;张闻天 ;33;ST;Biased Intellectual;High;MC_CHC_51017;x
51018;Foreign Minister;张国焘 ;42;ST;Ideological Crusader;High;MC_CHC_51012;x
51019;Foreign Minister;伍修权 ;49;ST;Apologetic Clerk;High;MC_CHC_51019;x
51020;Foreign Minister;林伯渠 ;35;ST;Great Compromiser;High;MC_CHC_51020;x
51021;Foreign Minister;王明 ;38;ST;Biased Intellectual;High;MC_CHC_51021;x
51022;Foreign Minister;邓发 ;30;ST;The Cloak N Dagger Schemer;High;MC_CHC_51022;x
51023;Minister of Armament;赵尔陆 ;30;ST;Infantry Proponent;High;MC_CHC_51023;x
51024;Minister of Armament;曹菊如 ;39;ST;Laissez Faire Capitalist;High;MC_CHC_51024;x
51025;Minister of Armament;常乾坤 ;30;ST;Air Superiority Proponent;High;MC_CHC_51010;x
51026;Minister of Armament;邓小平 ;40;ST;Resource Industrialist;High;MC_CHC_51026;x
51027;Minister of Armament;彭德怀 ;30;ST;Military Entrepreneur;High;MC_CHC_51027;x
51028;Minister of Armament;朱瑞 ;42;ST;Tank Proponent;High;MC_CHC_51028;x
51029;Minister of Security;邓发 ;30;ST;Crime Fighter;High;MC_CHC_51022;x
51030;Minister of Security;周恩来 ;30;ST;Man of The People;High;MC_CHC_51002;x
51031;Minister of Security;刘少奇 ;42;ST;Silent Lawyer;High;MC_CHC_51031;x
51032;Minister of Security;谢觉哉 ;35;ST;Man of The People;High;MC_CHC_51032;x
51033;Minister of Security;林伯渠 ;35;ST;Compassionate Gentleman;High;MC_CHC_51020;x
51034;Head of Military Intelligence;刘伯承 ;39;ST;Technical Specialist;High;MC_CHC_51034;x
51035;Head of Military Intelligence;邓小平 ;40;ST;Industrial Specialist;High;MC_CHC_51026;x
51036;Head of Military Intelligence;邓发 ;30;ST;Political Specialist;High;MC_CHC_51022;x
