GLD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
551001;Head of State;阿诺德 W 霍奇森爵士 ;36;ML;Stern Imperialist;High;M551001;x
551002;Head of Government;阿兰 C M 布恩斯爵士 ;36;ML;Silent Workhorse;High;M551002;x
551003;Foreign Minister;乔治 爱德华兹 ;36;ML;Great Compromiser;High;M551003;x
551004;Minister of Armament;埃内斯特 麦吉尔韦里 ;36;ML;Submarine Proponent;Medium;M551004;x
551005;Minister of Security;威廉 洛登达尔 ;36;ML;Man of the People;Medium;M551005;x
551006;Head of Military Intelligence;克莱夫 O 布特勒 ;36;ML;Logistics Specialist;Medium;M551006;x
551007;Chief of Staff;克莱夫 O 布特勒 ;36;ML;School of Psychology;Medium;M551006;x
551008;Chief of Army;查尔斯 阿登-克拉克爵士 ;36;ML;Elastic Defence Doctrine;Medium;M551008;x
551009;Chief of Navy;道格拉斯 兰达尔-斯科特 ;36;ML;Power Projection Doctrine;Medium;M551009;x
551010;Chief of Air Force;查尔斯 阿登-克拉克爵士 ;36;ML;Army Aviation Doctrine;Medium;M551008;x
551011;Head of State;H.H.阿维多波 九世 ;36;PA;Popular Figurehead;High;M551011;x
551012;Head of State;查尔斯 阿登-克拉克爵士 ;36;SL;Resigned Generalissimo;High;M551012;x
551013;Head of State;夸梅 恩克鲁玛 ;36;LWR;Barking Buffoon;High;M551013;x
551014;Head of Government;亨德里克 穆勒 ;36;PA;Corporate Suit;High;M551014;x
551015;Head of Government;夸梅 恩克鲁玛 ;36;SL;Naive Optimist;High;M551015;x
551016;Head of Government;乔赛亚 阿基巴 ;36;LWR;Happy Amateur;High;M551016;x
551017;Foreign Minister;弗雷德里克 伊萨克 多尔芬 ;36;PA;General Staffer;High;M551017;x
551018;Foreign Minister;哈里 恩基威 ;36;SL;Ideological Crusader;High;M551018;x
551019;Foreign Minister;毛里修斯 奥弗鲁瓦 ;36;LWR;Biased Intellectual;High;M551019;x
551020;Minister of Armament;帕特里克 麦基尔哈尼 ;36;PA;Battle Fleet Proponent;Medium;M551020;x
551021;Minister of Armament;伊萨克 朱利安森 ;36;SL;Tank Proponent;Medium;M551021;x
551022;Minister of Armament;邓肯 J 奥利里 ;36;LWR;Administrative Genius;Medium;M551022;x
551023;Minister of Security;朱达 埃普森 ;36;PA;Prince of Terror;Medium;M551023;x
551024;Minister of Security;内维尔 伦敦 ;41;PA;Compassionate Gentleman;Medium;M551024;x
551025;Minister of Security;尤尼奥尔 W K 哈特利 ;36;SL;Crime Fighter;Medium;M551025;x
551026;Minister of Security;丹尼尔 库马 ;36;LWR;Silent Lawyer;Medium;M551026;x
551027;Head of Military Intelligence;朱达 埃普森 ;36;PA;Dismal Enigma;Medium;M551023;x
551028;Head of Military Intelligence;T R 哈顿 ;36;SL;Industrial Specialist;Medium;M551028;x
551029;Head of Military Intelligence;莫迪姆巴 阿万卡 ;36;LWR;Political Specialist;Medium;M551029;x
551030;Chief of Staff;弗雷德里克 伊萨克 多尔芬 ;36;PA;School of Manoeuvre;Medium;M551017;x
551031;Chief of Staff;亚伯 奥克兰 ;36;SL;School of Fire Support;Medium;M551031;x
551032;Chief of Staff;伊格内修斯 阿昌庞 ;36;LWR;School of Defence;Medium;M551032;x
551033;Chief of Army;克莱夫 O 布特勒 ;36;PA;Decisive Battle Doctrine;Medium;M551006;x
551034;Chief of Army;伊格内修斯 阿昌庞 ;36;SL;Static Defence Doctrine;Medium;M551032;x
551035;Chief of Army;亚伯 奥克兰 ;36;LWR;Static Defence Doctrine;Medium;M551031;x
551036;Chief of Navy;弗雷德里克 伊萨克 多尔芬 ;36;PA;Base Control Doctrine;Medium;M551017;x
551037;Chief of Navy;奥比格霍 阿梅杜梅 ;36;SL;Open Seas Doctrine;Medium;M551037;x
551038;Chief of Navy;摩西 夸尼克瓦 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M551038;x
551039;Chief of Air Force;克莱夫 O 布特勒 ;36;PA;Carpet Bombing Doctrine;Medium;M551006;x
551040;Chief of Air Force;奥比格霍 阿梅杜梅 ;36;SL;Naval Aviation Doctrine;Medium;M551037;x
551041;Chief of Air Force;尤尼奥尔 W K 哈特利 ;36;LWR;Vertical Envelopment Doctrine;Medium;M551025;x
