U84;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800400;Head of State;费利克斯 埃布埃 ;39;SL;Benevolent Gentleman;Very High;chad1;x
800401;Head of State;贡乔梅·萨乌尔巴;43;PA;Die-hard Reformer;Very High;chad4;x
800402;Head of State;加布里埃尔·利西特;43;LWR;Autocratic Charmer;Very High;chad5;x
800403;Head of State;艾哈迈德·库拉马拉;43;LE;Barking Buffoon;Very High;unknown;x
800404;Head of Government;费利克斯 埃布埃 ;39;SL;Silent Workhorse;Very High;chad1;x
800405;Head of Government;弗朗索瓦 托姆巴巴耶 ;41;LWR;Flamboyant Tough Guy;Very High;unknown;x
800406;Head of Government;贡乔梅·萨乌尔巴;43;PA;Naive Optimist;Very High;chad4;x
800407;Head of Government;艾哈迈德·库拉马拉;43;LE;Happy Amateur;Very High;unknown;x
800408;Foreign Minister;费利克斯 埃布埃 ;39;SL;Iron Fisted Brute;Very High;chad1;x
800409;Foreign Minister;弗朗索瓦 托姆巴巴耶 ;41;LWR;The Cloak N Dagger Schemer;Very High;unknown;x
800410;Foreign Minister;皮埃尔 布瓦松 ;36;SC;Iron Fisted Brute;Very High;unknown;x
800411;Minister of Armament;贡乔梅·萨乌尔巴;43;PA;Resource Industrialist;Very High;chad4;x
800412;Minister of Armament;菲利普·勒克莱尔;40;SL;Military Entrepreneur;Very High;chad2;x
800413;Minister of Armament;弗朗索瓦 托姆巴巴耶 ;41;LWR;Corrupt Kleptocrat;Very High;unknown;x
800414;Minister of Security;费利克斯 埃布埃 ;39;SL;Man of the People;Very High;chad1;x
800415;Minister of Security;皮埃尔 布瓦松 ;36;SC;Efficient Sociopath;Very High;unknown;x
800416;Minister of Security;艾哈迈德·库拉马拉;43;LE;Crooked Kleptocrat;Very High;unknown;x
800420;Minister of Security;加布里埃尔·利西特;43;LWR;Compassionate Gentleman;Very High;chad5;x
800421;Head of Military Intelligence;费利克斯 埃布埃 ;39;SL;Political Specialist;Very High;chad1;x
800422;Head of Military Intelligence;加布里埃尔·利西特;43;LWR;Logistics Specialist;Very High;chad5;x
800423;Head of Military Intelligence;皮埃尔 布瓦松 ;36;SC;Political Specialist;Very High;unknown;x
800424;Chief of Staff;皮埃尔 布瓦松 ;36;SC;School of Defence;Very High;unknown;x
800425;Chief of Staff;埃德加·奥热罗;36;SL;School of Mass Combat;Very High;chad3;x
800426;Chief of Staff;艾哈迈德·库拉马拉;43;LE;School of Psychology;Very High;unknown;x
800427;Chief of Army;菲利普·勒克莱尔;40;SL;Elastic Defence Doctrine;Very High;chad2;x
800428;Chief of Navy;菲利普·勒克莱尔;40;SL;Base Control Doctrine;Very High;chad2;x
800429;Chief of Air Force;埃德加·奥热罗;36;SL;Army Aviation Doctrine;Very High;chad3;x
