U97;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9007001;Head of State;阿贝德·卡鲁梅;39;LE;Die-hard Reformer;Very High;tanzania7;x
9007002;Head of State;哈利法·宾·哈勒普;36;SC;Popular Figurehead;Very High;tanzania10;x
9007003;Head of State;保罗·冯·莱托-福尔贝克;34;FA;Resigned Generalissimo;Very High;tanzania1;x
9007004;Head of Government;尤利乌斯 尼雷尔 ;45;LWR;Corporate Suit;Very High;tanzania8;x
9007005;Head of Government;哈利法·宾·哈勒普;36;SC;Naive Optimist;Very High;tanzania10;x
9007006;Head of Government;海因里希·西尼;34;FA;Flamboyant Tough Guy;Very High;tanzania2;x
9007007;Foreign Minister;尤利乌斯 尼雷尔 ;45;LWR;General Staffer;Very High;tanzania8;x
9007008;Foreign Minister;马克·艾吉森爵士;36;SL;Biased Intellectual;Very High;tanzania9;x
9007009;Foreign Minister;海因里希·西尼;34;FA;Ideological Crusader;Very High;tanzania2;x
9007010;Foreign Minister;路德维希·科尔拉森;36;NS;Iron Fisted Brute;Very High;tanzania12;x
9007011;Minister of Armament;尤利乌斯 尼雷尔 ;45;LWR;Military Entrepreneur;Very High;tanzania8;x
9007012;Minister of Armament;哈利法·宾·哈勒普;36;SC;Military Entrepreneur;High;tanzania10;x
9007013;Minister of Armament;保罗·冯·莱托-福尔贝克;34;FA;Infantry Proponent;Very High;tanzania1;x
9007014;Minister of Armament;路德维希·科尔拉森;36;NS;Theoretical Scientist;Very High;tanzania12;x
9007015;Minister of Armament;米里绍·萨拉基基亚;45;LWR;Infantry Proponent;Very High;tanzania11;x
9007016;Minister of Security;霍勒斯·赫恩 ;36;SL;Crime Fighter;Very High;unknown;x
9007017;Minister of Security;劳雷安·加姆布瓦;43;SC;Man of the People;Very High;unknown;x
9007018;Minister of Security;海因里希·西尼;34;FA;Silent Lawyer;Very High;tanzania1;x
9007019;Head of Military Intelligence;霍勒斯·赫恩 ;36;SL;Political Specialist;Very High;unknown;x
9007020;Head of Military Intelligence;卡尔·埃贝梅耶;36;FA;Political Specialist;Very High;tanzania5;x
9007021;Chief of Staff;米里绍·萨拉基基亚;45;LWR;School of Defence;Very High;tanzania11;x
9007022;Chief of Staff;巴尤米·穆罕默德·胡森;36;SC;School of Defence;Very High;unknown;x
9007023;Chief of Staff;保罗·冯·莱托-福尔贝克;34;FA;School of Psychology;Very High;tanzania1;x
9007024;Chief of Army;米里绍·萨拉基基亚;45;LWR;Elastic Defence Doctrine;Very High;tanzania11;x
9007025;Chief of Army;巴尤米·穆罕默德·胡森;36;SC;Armoured Spearhead Doctrine;Very High;unknown;x
9007026;Chief of Army;威廉温·温特勒;36;FA;Elastic Defence Doctrine;Very High;tanzania6;x
9007027;Chief of Army;保罗·冯·莱托-福尔贝克;34;FA;Guns and Butter Doctrine;Very High;tanzania1;x
9007028;Chief of Navy;米里绍·萨拉基基亚;45;LWR;Base Control Doctrine;Very High;tanzania11;x
9007029;Chief of Navy;马克斯·洛夫;34;PA;Decisive Naval Battle Doctrine;Very High;tanzania3;x
9007030;Chief of Air Force;皮埃尔 范 莱茵维尔 ;36;ML;Air Superiority Doctrine;Very High;tanzania4;x
9007031;Chief of Air Force;奥托 德斯罗奇 ;36;NS;Army Aviation Doctrine;High;L434;x
