U73;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700300;Head of State;罗伯特一世;36;PA;Weary Stiffneck;Medium;england1;x
700301;Head of State;奥斯瓦尔德 莫斯利 ;42;FA;Die-hard Reformer;Very High;M1012;x
700302;Head of State;安奈林 贝文 ;36;LWR;Pig-headed Isolationist;High;M1021;x
700303;Head of State;哈里 波利特 ;36;ST;Powerhungry Demagogue;High;M1022;x
700304;Head of Government;尼尔·弗朗西斯·霍金斯;43;FA;Silent Workhorse;Very High;england2;x
700305;Head of Government;奥斯瓦尔德 莫斯利 ;42;FA;Flamboyant Tough Guy;High;M1012;x
700306;Head of Government;特奥多尔·冯·弗劳恩贝格;42;PA;Silent Workhorse;High;unknown;x
700307;Head of Government;哈里 波利特 ;36;ST;Flamboyant Tough Guy;High;M1022;x
700308;Head of Government;汤姆·曼;34;LWR;Corporate Suit;Very High;M_U73_TomMann;x
700309;Foreign Minister;雷金纳德·林赛 - 白求恩;36;PA;Great Compromiser;High;unknown;x
700310;Foreign Minister;菲尔 皮拉廷 ;36;ST;The Cloak N Dagger Schemer;Medium;M1056;x
700311;Foreign Minister;D N 普里特 ;41;ST;Apologetic Clerk;Medium;M1057;x
700312;Foreign Minister;亚瑟 韦尔兹利 勋爵 ;39;FA;Great Compromiser;Low;M1050;x
700313;Foreign Minister;乔斯林 埃罗尔勋爵 ;40;FA;The Cloak N Dagger Schemer;Medium;M1051;x
700314;Foreign Minister;西摩·巴瑟斯特;34;PA;Apologetic Clerk;High;M_U73_SeymourBathurst;x
700315;Minister of Armament;阿利奥特 弗农-罗 ;38;FA;Air to Ground Proponent;High;M1069;x
700316;Minister of Armament;尼尔 弗朗西斯-霍金斯 ;39;FA;Submarine Proponent;High;england2;x
700317;Minister of Armament;亚历山大 雷文-汤姆森 ;41;FA;Strategic Air Proponent;High;M1071;x
700318;Minister of Armament;莱斯利 索利 ;38;ST;Resource Industrialist;Medium;M1075;x
700319;Minister of Armament;亚瑟 霍纳 ;40;ST;Administrative Genius;Medium;M1076;x
700320;Minister of Armament;杰克 加斯特 ;41;ST;Submarine Proponent;Medium;M1077;x
700321;Minister of Armament;菲利普·冯·黑林拉特;36;PA;Administrative Genius;High;england3;x
700322;Minister of Security;阿诺德 斯潘塞-利斯 ;36;FA;Prince of Terror;Low;M1015;x
700323;Minister of Security;约翰 贝克特 ;40;FA;Compassionate Gentleman;Medium;M1091;x
700324;Minister of Security;阿瑟·K.切斯特顿;41;FA;Back Stabber;Medium;M1092;x
700325;Minister of Security;亨利·斯图尔特·惠特利 - 克洛;36;PA;Compassionate Gentleman;High;unknown;x
700326;Minister of Security;约翰 普拉茨-米尔斯 ;36;LWR;Silent Lawyer;Medium;M1097;x
700327;Minister of Security;悉尼 西尔弗曼 ;41;ST;Man of the People;Medium;M1098;x
700328;Head of Military Intelligence;S.P. 詹姆斯 ;36;FA;Industrial Specialist;High;M1016;x
700329;Head of Military Intelligence;巴里 E 多姆沃 爵士 ;40;FA;Naval Intelligence Specialist;High;M1019;x
700330;Head of Military Intelligence;马克斯韦尔 奈特 ;42;FA;Logistics Specialist;Medium;M1094;x
700331;Head of Military Intelligence;特奥多尔·冯·弗劳恩贝格;36;PA;Logistics Specialist;High;unknown;x
700332;Head of Military Intelligence;威廉 加拉赫 ;36;LWR;Industrial Specialist;High;M1111;x
700333;Head of Military Intelligence;克里斯托弗 希尔 ;41;ST;Naval Intelligence Specialist;High;M1112;x
700334;Chief of Staff;J F C 富勒 ;36;NS;School of Manoeuvre;Medium;M1017;x
700335;Chief of Staff;巴里 E 多姆沃 爵士 ;39;FA;School of Psychology;High;M1019;x
700336;Chief of Staff;汤姆 温特林厄姆 ;36;ST;School of Mass Combat;High;M1027;x
700337;Chief of Staff;罗伯特一世;36;PA;School of Fire Support;Very High;england1;x
700338;Chief of Army;罗伯特一世;36;PA;Static Defence Doctrine;Very High;england1;x
700339;Chief of Army;J F C 富勒 ;36;NS;Armoured Spearhead Doctrine;Medium;M1017;x
700340;Chief of Army;比尔 亚历山大 ;36;ST;Static Defence Doctrine;High;M1028;x
700341;Chief of Navy;巴里 E 多姆沃 爵士 ;36;FA;Power Projection Doctrine;High;M1019;x
700342;Chief of Navy;E H 科尔 ;42;NS;Open Seas Doctrine;High;M1143;x
700343;Chief of Navy;弗雷德 科普曼 ;36;ST;Indirect Approach Doctrine;High;M1029;x
700344;Chief of Navy;亨利·斯图尔特·惠特利 - 克洛;36;PA;Open Seas Doctrine;High;unknown;x
700346;Chief of Air Force;约翰 奇米尔 爵士 ;36;FA;Vertical Envelopment Doctrine;High;M1020;x
700347;Chief of Air Force;威廉姆斯 森皮尔 勋爵 ;39;FA;Carpet Bombing Doctrine;High;M1152;x
700348;Chief of Air Force;约翰 斯特雷奇 ;36;ST;Carpet Bombing Doctrine;High;M1030;x
700353;Minister of Security;弗朗兹·阿尔弗雷德博士;39;NS;Prince of Terror;Medium;M_GER_Franz_Alfred_Si;x
700355;Chief of Staff;弗朗兹·阿尔弗雷德博士;41;NS;School of Manoeuvre;Medium;M_GER_Franz_Alfred_Si;x
700356;Chief of Staff;罗伊 N.库兰德;50;NS;School of Defence;Medium;M_ENG_Courlander;x
700357;Head of Government;亨利·汉密尔顿·贝米希;42;NS;Happy Amateur;Low;M_ENG_HenryBeamish;x
700358;Foreign Minister;亨利·汉密尔顿·贝米希;36;NS;The Cloak N Dagger Schemer;Medium;M_ENG_HenryBeamish;x
700359;Foreign Minister;安德鲁·福丹;47;FA;Iron Fisted Brute;Medium;M_ENG_AndrewFountaine;x
700360;Head of Government;安德鲁·福丹;53;FA;Backroom Backstabber;Medium;M_ENG_AndrewFountaine;x
700361;Foreign Minister;罗伯特·G.坎宁;35;FA;Biased Intellectual;Medium;M_ENG_RobertCanning;x
700362;Minister of Security;诺拉·戴克·福克斯;37;FA;Efficient Sociopath;Medium;M_ENG_NorahDacre;x
700363;Foreign Minister;尼尔 弗朗西斯-霍金斯 ;42;FA;General Staffer;High;M1070;x
700364;Foreign Minister;乔治·哈罗德·尼科尔森爵士;36;PA;Great Compromiser;High;M_ENG_Harold_Nicolson;x
700365;Foreign Minister;阿诺德 斯潘塞-利斯 ;35;FA;The Cloak N Dagger Schemer;Medium;M1015;x
700366;Head of Government;埃诺奇·鲍威尔;50;FA;Political Protege;High;M_ENG_Enoch_Powell_paternal;x
700367;Head of Military Intelligence;埃诺奇·鲍威尔;45;PA;Political Specialist;Medium;M_ENG_Enoch_Powell_paternal;x
700368;Minister of Armament;蒙塔古·诺曼;36;FA;Laissez Faires Capitalist;Medium;M_ENG_Montagu_Collet_Norman;x
700369;Chief of Staff;柯林·麦克韦恩·格宾斯;41;SC;School of Mass Combat;High;M_ENG_Colin_Mcvean_Gubbins;x
700370;Foreign Minister;乔治·哈罗德·尼科尔森爵士;36;PA;Great Compromiser;Medium;M_ENG_Harold_Nicolson;x
700371;Foreign Minister;哈利法克斯 勋爵 ;40;PA;Apologetic Clerk;Very High;M1045;x
700372;Head of Government;哈利法克斯 勋爵 ;36;PA;Naive Optimist;Very High;M1045;x
700373;Foreign Minister;阿瑟·K.切斯特顿;42;FA;Biased Intellectual;Medium;M1092;x
700374;Head of State;爱德华八世 ;40;FA;Autocratic Charmer;High;M_U73_Edward;x
700375;Foreign Minister;D N 普里特 ;43;ST;Apologetic Clerk;Medium;M1057;x
700376;Minister of Armament;亚瑟 霍纳 ;40;ST;Administrative Genius;Medium;M1076;x
700377;Foreign Minister;约翰·安格斯·麦克菲;39;FA;Great Compromiser;High;M_ENG_AngusMacnab;x
700378;Minister of Security;杰拉德·弗农;38;FA;Back Stabber;Medium;M_ENG_GerardVWallop;x
700379;Chief of Staff;阿德里安爵士;43;ML;School of Manoeuvre;High;M_ENG_AdrianCarton;x
700380;Foreign Minister;阿德里安爵士;43;ML;General Staffer;High;M_ENG_AdrianCarton;x
700381;Head of State;斯坦利 鲍尔温 ;36;SC;Barking Buffoon;High;M1002;x
700382;Minister of Armament;J F C 富勒 ;39;NS;Tank Proponent;Medium;M1017;x
