MOZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
569001;Head of State;若泽 佩雷拉 卡布拉尔 ;36;PA;Resigned Generalissimo;High;M569001;x
569002;Head of Government;若泽 努内斯 德 奥利韦拉 ;36;PA;Old Air Marshal;High;M569002;x
569003;Foreign Minister;路易斯 德 苏泽 é 瓦斯康塞洛斯 ;36;PA;General Staffer;High;M569003;x
569004;Minister of Armament;奥古斯托 努内斯 迪亚兹 ;36;PA;Military Entrepreneur;Medium;M569004;x
569005;Minister of Security;若昂 特里斯唐 德 贝当古 ;36;PA;Prince of Terror;Medium;M569005;x
569006;Head of Military Intelligence;安东尼奥 孔塞桑 内维斯 ;36;PA;Naval Intelligence Specialist;Medium;M569006;x
569007;Chief of Staff;路易斯 德 苏泽 é 瓦斯康塞洛斯 ;36;PA;School of Psychology;Medium;M569003;x
569008;Chief of Army;若昂 马丁斯 德 卡瓦略 ;36;PA;Guns and Butter Doctrine;Medium;M569008;x
569009;Chief of Navy;托马斯 加西亚 罗萨多 ;36;PA;Power Projection Doctrine;Medium;M569009;x
569010;Chief of Air Force;若泽 德 萨 阿鲁瓦尤 ;36;PA;Air Superiority Doctrine;Medium;M569010;x
569011;Head of State;恩里克 努内斯 加西亚 ;36;SL;Benevolent Gentleman;High;M569011;x
569012;Head of State;塞巴斯蒂昂 卡布拉尔 丰查尔 ;36;LWR;Powerhungry Demagogue;High;M569012;x
569013;Head of Government;若泽 扎卢瓦尔 努内斯 ;36;SL;Political Protege;High;M569013;x
569014;Head of Government;若泽 巴罗洛 罗德里格斯 ;36;LWR;Naive Optimist;High;M569014;x
569015;Foreign Minister;若昂 赖斯 é 坎托 ;36;SL;Ideological Crusader;High;M569015;x
569016;Foreign Minister;马里亚 埃斯泰拉 德 贝当古 ;36;LWR;Biased Intellectual;High;M569016;x
569017;Minister of Armament;阿道夫 卡马拉昆汀加 ;36;SL;Laissez Faires Capitalist;Medium;M569017;x
569018;Minister of Armament;保罗 伊纳西奥 ;36;LWR;Infantry Proponent;Medium;M569018;x
569019;Minister of Security;路易斯 佩雷拉 戈梅斯 ;36;SL;Compassionate Gentleman;Medium;M569019;x
569020;Minister of Security;莱昂纳多 桑托斯 西芒 ;36;LWR;Crime Fighter;Medium;M569020;x
569021;Head of Military Intelligence;若昂 考尔扎 德 阿里亚加 ;44;PA;Logistics Specialist;Medium;M569021;x
569022;Head of Military Intelligence;若昂 席尔瓦 努内斯 ;36;SL;Technical Specialist;Medium;M569022;x
569023;Head of Military Intelligence;卡洛斯 多斯 桑托斯 ;36;LWR;Industrial Specialist;Medium;M569023;x
569024;Chief of Staff;阿图尔 伊文思 费拉斯 ;42;PA;School of Mass Combat;Medium;M569024;x
569025;Chief of Staff;乔斯 洛巴托 格拉 ;36;SL;School of Fire Support;Medium;M569025;x
569026;Chief of Staff;费代里科 达 科斯塔 洛佩斯 达 席尔瓦 ;36;LWR;School of Manoeuvre;Medium;M569026;x
569027;Chief of Army;乔斯 德 巴罗斯 罗德里格斯 ;42;PA;Elastic Defence Doctrine;Medium;M569027;x
569028;Chief of Army;安东尼奥 塔维拉 佩雷拉 ;36;SL;Armoured Spearhead Doctrine;Medium;M569028;x
569029;Chief of Army;帕特里西奥 努内斯 戈梅斯 ;36;LWR;Decisive Battle Doctrine;Medium;M569029;x
569030;Chief of Navy;安东尼奥 罗德里格斯 里贝罗 ;36;SL;Indirect Approach Doctrine;Medium;M569030;x
569031;Chief of Navy;塞萨雷 蓬若 ;36;LWR;Open Seas Doctrine;Medium;M569031;x
569032;Chief of Air Force;安东尼奥 瓦尔-科沃 ;36;SL;Naval Aviation Doctrine;Medium;M569032;x
569033;Chief of Air Force;奥利娃 努诺 托马斯 ;36;LWR;Vertical Envelopment Doctrine;Medium;M569033;x
