USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
6001;Head of State;富兰克林 D 罗斯福 ;36;SL;Benevolent Gentleman;High;M6001;x
6002;Head of Government;约翰 南斯 加纳 ;36;SL;Corporate Suit;High;M6002;x
6003;Foreign Minister;科德尔 赫尔 ;36;SL;Great Compromiser;High;M6003;x
6077;Minister of Armament;亨利 摩根索 ;36;SD;Resource Industrialist;High;M6077;x
6005;Minister of Security;J 埃德加 胡佛 ;36;SL;Crime Fighter;Very High;M6005;x
6006;Head of Military Intelligence;威廉 F 弗里德曼 ;36;SL;Logistics Specialist;Very High;M6006;x
6007;Chief of Staff;马林 克雷格 ;36;SL;School of Defence;High;M6007;x
6008;Chief of Army;马林 克雷格 ;36;SL;Armoured Spearhead Doctrine;High;M6007;x
6009;Chief of Navy;克劳德 A 斯瓦森 ;36;SL;Decisive Naval Battle Doctrine;High;M6009;x
6010;Chief of Air Force;奥斯卡 韦斯托弗 ;36;SD;Air Superiority Doctrine;High;M6010;x
6032;Head of State;亨利 A 华莱士 ;40;SL;Benevolent Gentleman;High;M6032;x
6033;Head of State;沃伦 G 胡珀 ;44;SL;Ruthless Powermonger;High;M6033;x
6034;Head of State;哈里 S 杜鲁门 ;45;SL;Die-hard Reformer;High;M6034;x
6035;Head of State;阿尔夫 M 兰登 ;36;ML;Pig-headed Isolationist;High;M6035;x
6036;Head of State;温德尔 威尔基 ;40;ML;Autocratic Charmer;High;M6036;x
6037;Head of State;查尔斯 麦克纳里 ;44;ML;Insignificant Layman;High;M6037;x
6038;Head of State;托马斯 E 杜威 ;44;ML;Popular Figurehead;High;M6038;x
6039;Head of State;弗里茨 库恩 ;36;FA;Barking Buffoon;High;M6011;x
6040;Head of State;杰拉尔德 K 史密斯 ;36;PA;Powerhungry Demagogue;High;M6040;x
6041;Head of State;厄尔 白劳德 ;36;ST;Ruthless Powermonger;High;M6041;x
6042;Head of State;诺曼 托马斯 ;40;LWR;Insignificant Layman;High;M6021;x
6044;Head of Government;亨利 A 华莱士 ;40;SL;Silent Workhorse;High;M6032;x
6045;Head of Government;乔尔 B 克拉克 ;40;SL;Backroom Backstabber;High;M6045;x
6046;Head of Government;哈里 S 杜鲁门 ;44;SL;Flamboyant Tough Guy;High;M6034;x
6047;Head of Government;艾尔本 W 巴克利 ;45;SL;Silent Workhorse;High;M6047;x
6048;Head of Government;弗兰克 诺克斯 ;36;ML;Naive Optimist;High;M6048;x
6049;Head of Government;查尔斯 麦克纳里 ;40;ML;Political Protege;High;M6037;x
6050;Head of Government;约翰 布里克 ;44;ML;Corporate Suit;High;M6050;x
6051;Head of Government;斯特罗姆 瑟蒙德 ;45;SC;Old General;High;M6051;x
6052;Head of Government;H R 门杰特 ;36;PA;Old Air Marshal;High;M6052;x
6053;Head of Government;杰拉尔德 K 史密斯 ;36;PA;Happy Amateur;High;M6040;x
6054;Head of Government;萨缪尔 格林 ;44;PA;Old Admiral;High;M6054;x
6055;Head of Government;威廉 Z 福斯特 ;36;ST;Political Protege;High;M6055;x
6056;Head of Government;詹姆斯 坎农 ;40;LWR;Smiling Oilman;High;M6056;x
6057;Head of Government;约瑟夫 P 拉希 ;44;LE;Naive Optimist;High;M6024;x
6060;Foreign Minister;爱德华 斯退丁纽斯 ;44;SL;The Cloak N Dagger Schemer;Very High;M6060;x
6061;Foreign Minister;亨利 L 斯廷森 ;44;SL;Apologetic Clerk;High;M6061;x
6062;Foreign Minister;沃克 莱尔利 ;44;SL;The Cloak N Dagger Schemer;High;M6062;x
6063;Foreign Minister;詹姆斯 贝尔纳斯 ;45;SD;Great Compromiser;Very High;M6063;x
6064;Foreign Minister;乔治 C 马歇尔 ;47;SL;Ideological Crusader;High;M6064;x
6066;Foreign Minister;阿瑟 范登堡 ;36;ML;Iron Fisted Brute;High;M6066;x
6067;Foreign Minister;阿尔弗雷德 E 史密斯 ;40;ML;Apologetic Clerk;High;M6067;x
6068;Foreign Minister;杰拉尔德 奈 ;44;ML;Biased Intellectual;High;M6068;x
6069;Foreign Minister;埃兹拉 庞德 ;36;FA;Biased Intellectual;High;M6069;x
6070;Foreign Minister;查尔斯 库格林 ;40;PA;Ideological Crusader;High;M6013;x
6071;Foreign Minister;劳伦斯 丹尼斯 ;44;FA;Apologetic Clerk;High;M6071;x
6072;Foreign Minister;弗洛伊德 B 奥松 ;36;LWR;Ideological Crusader;Low;M6072;x
6073;Foreign Minister;萨姆 达西 ;37;ST;Ideological Crusader;Low;M6073;x
6074;Foreign Minister;詹姆斯 保罗 沃伯格 ;40;LE;Ideological Crusader;High;M6023;x
6075;Foreign Minister;罗伯特 迈纳 ;42;ST;General Staffer;High;M6075;x
6076;Foreign Minister;尤金 丹尼斯 ;44;LE;Biased Intellectual;High;M6076;x
6004;Minister of Armament;乔治 H 德恩 ;36;SD;Military Entrepreneur;High;M6004;x
6078;Minister of Armament;哈里 I 霍普金斯 ;38;SL;Laissez Faires Capitalist;High;M6078;x
6079;Minister of Armament;杰西 H 琼斯 ;40;SL;Laissez Faires Capitalist;Very High;M6079;x
6080;Minister of Armament;勒罗伊 鲁曼 ;40;SD;Air Superiority Proponent;Very High;M6080;x
6081;Minister of Armament;普雷斯顿 T 图克尔 ;44;SL;Strategic Air Proponent;Very High;M6081;x
6082;Minister of Armament;亨利 J 凯撒 ;44;SL;Administrative Genius;Very High;M6082;x
6083;Minister of Armament;罗伯特 P 帕特森 ;45;SL;Tank Proponent;High;M6083;x 
6084;Minister of Armament;肯尼思 C 罗亚尔 ;47;SD;Laissez Faires Capitalist;High;M6084;x 
6085;Minister of Armament;丹尼尔 C 罗珀 ;36;ML;Air Superiority Proponent;Very High;M6085;x
6086;Minister of Armament;詹姆斯 M 库科斯 ;39;ML;Military Entrepreneur;Very High;M6086;x
6088;Minister of Armament;沃伦 G 胡珀 ;40;ML;Corrupt Kleptocrat;Low;M6033;x
6089;Minister of Armament;哈里 H 伍德林 ;36;ML;Strategic Air Proponent;High;M6089;x
6090;Minister of Armament;约翰 D 洛克菲勒 ;44;ML;Laissez Faires Capitalist;High;M6090;x
6091;Minister of Armament;弗里德里克 文森 ;45;ML;Resource Industrialist;Very High;M6091;x
6092;Minister of Armament;路易斯 约翰逊 ;45;ML;Battle Fleet Proponent;High;M6092;x
6093;Minister of Armament;诺曼 H 戴维斯 ;46;ML;Laissez Faires Capitalist;Very High;M6093;x
6094;Minister of Armament;威廉 杜德利 佩利 ;36;FA;Air to Sea Proponent;Very High;M6094;x
6095;Minister of Armament;弗朗西斯 汤森 ;40;PA;Resource Industrialist;Very High;M6095;x
6096;Minister of Armament;亨利 福特 ;40;PA;Administrative Genius;Very High;M6014;x
6097;Minister of Armament;威廉 F 莱姆基 ;44;PA;Theoretical Scientist;High;M6097;x 
6098;Minister of Armament;温德姆 莫迪默 ;36;LWR;Resource Industrialist;Low;M6098;x
6099;Minister of Armament;伊丽莎白 格利 弗林 ;38;ST;Battle Fleet Proponent;Very High;M6099;x
6100;Minister of Armament;厄普顿 辛克莱尔 ;40;ST;Air to Ground Proponent;High;M6100;x 
6101;Minister of Armament;勒马特 哈里斯 ;44;LWR;Resource Industrialist;Very High;M6101;x
6102;Minister of Armament;瓦泽尔 鲁瑟 ;46;LWR;Resource Industrialist;Very High;M6102;x
6104;Minister of Security;维克托 塞尔登 克拉克 ;40;SL;Compassionate Gentleman;Very High;M6104;x
6105;Minister of Security;亨利 查默斯 ;44;SD;Man of the People;Very High;M6105;x
6106;Minister of Security;弗朗西斯 B 比德尔 ;44;SL;Prince of Terror;Very High;M6106;x
6107;Minister of Security;弗兰克 墨菲 ;36;ML;Crime Fighter;Very High;M6107;x
6108;Minister of Security;罗伯特 H 杰克逊 ;39;ML;Silent Lawyer;Very High;M6108;x
6110;Minister of Security;休 西蒙斯 吉布森 ;44;ML;Compassionate Gentleman;Very High;M6110;x
6111;Minister of Security;弗里茨 库恩 ;36;FA;Prince of Terror;Medium;M6011;x
6112;Minister of Security;萨缪尔 格林 ;40;FA;Man of the People;Medium;M6054;x
6113;Minister of Security;萨缪尔 罗珀 ;44;PA;Back Stabber;Medium;M6113;x
6114;Minister of Security;威廉 阿尔托 ;36;LWR;Back Stabber;Medium;M6114;x
6115;Minister of Security;查尔斯 查普林 ;37;LWR;Man of the People;Medium;M6115;x
6116;Minister of Security;雷蒙德 查尔斯 Moley ;39;LE;Prince of Terror;Low;M6116;x
6117;Minister of Security;约翰 艾布特 ;40;LE;Efficient Sociopath;Medium;M6029;x
6118;Minister of Security;丹尼尔 霍恩 ;42;LWR;Silent Lawyer;Medium;M6025;x
6119;Minister of Security;杰西卡 史密斯 ;44;LE;Compassionate Gentleman;Medium;M6119;x
6120;Head of Military Intelligence;亨利 J 凯撒 ;42;SL;Industrial Specialist;High;M6082;x
6123;Head of Military Intelligence;阿道夫 伯利 ;39;SL;Political Specialist;Very High;M6123;x
6124;Head of Military Intelligence;文森特 阿斯特 ;37;SL;Dismal Enigma;Very High;M6124;x
6125;Head of Military Intelligence;J 埃德加 胡佛 ;44;SL;Political Specialist;Very High;M6005;x
6126;Head of Military Intelligence;悉尼 索尔斯 ;45;SD;Naval Intelligence Specialist;Very High;M6126;x
6127;Head of Military Intelligence;罗斯科 H 希伦科特 ;47;SL;Dismal Enigma;Very High;M6127;x
6128;Head of Military Intelligence;威廉 J 多诺万 ;40;ML;Political Specialist;High;M6128;x
6130;Head of Military Intelligence;霍伊特 S 范登堡 ;42;ML;Technical Specialist;High;M6130;x
6131;Head of Military Intelligence;亨利 卡伯特 洛奇 ;44;ML;Dismal Enigma;High;M6131;x
6132;Head of Military Intelligence;海勒姆 W 埃文斯 ;36;FA;Political Specialist;High;M6132;x
6133;Head of Military Intelligence;詹姆斯 A 科司考特 ;40;FA;Political Specialist;High;M6016;x
6134;Head of Military Intelligence;哈里 海伍德 ;36;LE;Dismal Enigma;High;M6026;x
6136;Chief of Staff;乔治 C 马歇尔 ;39;SL;School of Fire Support;High;M6064;x
6137;Chief of Staff;德怀特 D 艾森豪威尔 ;42;ML;School of Manoeuvre;High;M6137;x
6140;Chief of Staff;帕克 塞奇 ;36;FA;School of Defence;High;M6017;x
6141;Chief of Staff;汉斯 阿姆列 ;36;ST;School of Defence;High;M6027;x
6143;Chief of Army;大卫 麦肯齐 科伊 ;40;SD;Static Defence Doctrine;High;M6143;x
6144;Chief of Army;乔治 C 马歇尔 ;39;SL;Decisive Battle Doctrine;High;M6064;x
6145;Chief of Army;奥马尔 N 布莱德雷 ;44;SD;Armoured Spearhead Doctrine;High;M6145;x
6147;Chief of Army;德怀特 D 艾森豪威尔 ;42;ML;Guns and Butter Doctrine;High;M6137;x
6148;Chief of Army;肯尼思 奥尔索斯 ;36;NS;Armoured Spearhead Doctrine;High;M6018;x
6149;Chief of Army;奥利弗 劳 ;36;ST;Decisive Battle Doctrine;High;M6149;x
6150;Chief of Army;斯蒂文 尼尔森 ;40;ST;Static Defence Doctrine;High;M6150;x
6151;Chief of Army;罗伯特 梅里曼 ;44;ST;Armoured Spearhead Doctrine;High;M6028;x
6153;Chief of Navy;弗兰克 诺克斯 ;40;SL;Base Control Doctrine;High;M6048;x
6154;Chief of Navy;查尔斯 爱迪生 ;40;SD;Open Seas Doctrine;High;M6154;x
6155;Chief of Navy;詹姆斯 V 福雷斯特尔 ;44;SL;Decisive Naval Battle Doctrine;High;M6155;x
6156;Chief of Navy;切斯特 W 尼米兹 ;41;SL;Power Projection Doctrine;High;M6156;x
