SIK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
72001;Head of State;阿合买提江 ;36;PA;Resigned Generalissimo;High;L52118;x
72002;Head of Government;阿巴索夫 ;36;PA;Naive Optimist;High;L52119;x
72003;Foreign Minister;阿合买提江 ;36;PA;Great Compromiser;Very High;L52118;x
72004;Minister of Armament;哈比杜拉 胡塞诺夫 ;36;PA;Infantry Proponent;Medium;M72004;x
72005;Minister of Security;张希良 ;36;PA;Crooked Kleptocrat;Medium;M72005;x
72006;Head of Military Intelligence;维克托 波里诺夫 ;36;PA;Industrial Specialist;Medium;M72006;x
72007;Chief of Staff;阿合买提江 ;36;PA;School of Psychology;Very High;L52118;x
72008;Chief of Army;阿合买提江 ;36;PA;Guns and Butter Doctrine;Very High;L52118;x
72009;Chief of Navy;萨镇冰 ;36;PA;Indirect Approach Doctrine;Medium;M72009;x
72010;Chief of Air Force;彼得 奥尔洛夫 ;36;PA;Army Aviation Doctrine;Medium;M72010;x
72031;Foreign Minister;艾沙 玉素甫 阿布泰金 ;38;SC;Apologetic Clerk;Low;M72012;x
72032;Minister of Armament;A V 费久宁斯基 ;38;PA;Infantry Proponent;Medium;M72024;x
72033;Minister of Armament;艾沙 玉素甫 阿布泰金 ;38;SC;Infantry Proponent;Medium;M72012;x
72034;Minister of Security;贾尼木汗 ;37;SC;Compassionate Gentleman;Very High;M72014;x
72035;Minister of Security;伊斯哈克江 穆那哈吉也夫 ;36;SC;Man of the People;Medium;M72025;x
72036;Head of Military Intelligence;张希良 ;38;PA;Dismal Enigma;Medium;M72005;x
72037;Head of Military Intelligence;达列里汗 ;38;PA;Political Specialist;Medium;M72016;x
72038;Head of Military Intelligence;刘斌 ;39;PA;Technical Specialist;Medium;M72026;x
72039;Chief of Staff;艾力汗吐烈 ;41;PA;School of Mass Combat;Very Low;L52120;x
72040;Chief of Army;艾力汗吐烈 ;42;PA;Elastic Defence Doctrine;Very Low;L52120;x
72011;Head of State;沙比提大毛拉 ;36;SL;Insignificant Layman;High;M72011;x
72012;Head of Government;艾沙 玉素甫 阿布泰金 ;36;SL;Corporate Suit;High;M72012;x
72014;Minister of Armament;贾尼木汗 ;36;SL;Military Entrepreneur;Very High;M72014;x
72021;Head of State;阿合买提江 ;36;LWR;Resigned Generalissimo;High;L52118;x
72022;Head of Government;阿合买提江 ;36;LWR;Old General;High;L52118;x
72023;Foreign Minister;阿合买提江 ;36;LWR;Great Compromiser;Very High;L52118;x
72027;Chief of Staff;阿合买提江 ;36;LWR;School of Psychology;Very High;L52118;x
72028;Chief of Army;阿合买提江 ;36;LWR;Guns and Butter Doctrine;Undying;L52118;x
72029;Chief of Navy;萨镇冰 ;36;LE;Indirect Approach Doctrine;Medium;M72009;x
72030;Chief of Air Force;彼得 奥尔洛夫 ;36;LE;Army Aviation Doctrine;Medium;M72010;x
