EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
580001;Head of State;若泽 安东尼奥 阿圭雷 ;36;SC;Benevolent Gentleman;Very High;M580001;x
580002;Head of Government;若泽 安东尼奥 阿圭雷 ;36;SC;Flamboyant Tough Guy;Very High;M580001;x
580003;Foreign Minister;若泽 马里亚 拉萨尔特 ;36;SC;Ideological Crusader;High;unknown;x
580004;Minister of Armament;埃略多罗 德 拉 托雷 ;36;SC;Laissez Faires Capitalist;High;unknown;x
580005;Minister of Security;热苏斯 马里亚 德 莱扎奥拉 ;36;SC;Silent Lawyer;High;M580005;x
580006;Head of Military Intelligence;胡安 阿胡里亚格拉 ;36;SC;Logistics Specialist;High;unknown;x
580007;Chief of Staff;若泽 安东尼奥 阿圭雷 ;36;SC;School of Defence;Very High;M580001;x
580008;Chief of Army;萨图尼诺 本戈瓦 ;36;SC;Static Defence Doctrine;High;unknown;x
580009;Chief of Navy;华金 德 埃吉亚 ;36;SC;Base Control Doctrine;High;M580008;x
580010;Chief of Air Force;塞罗 ;36;SC;Naval Aviation Doctrine;High;unknown;x
580011;Head of State;热苏斯 马里亚 德 莱扎奥拉 ;36;SC;Popular Figurehead;High;M580005;x
580012;Head of Government;热苏斯 马里亚 德 莱扎奥拉 ;36;SC;Naive Optimist;High;M580005;x
580013;Foreign Minister;弗朗西斯科 雅维耶 德 兰达武鲁 ;36;SC;Great Compromiser;High;unknown;x
580014;Minister of Armament;费尔明 萨尔萨 ;36;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;曼努埃尔 德 伊鲁霍 ;36;SC;Efficient Sociopath;Very High;M580014;x
580016;Head of Military Intelligence;曼努埃尔 德 伊鲁霍 ;36;SC;Dismal Enigma;High;M580014;x
580017;Chief of Staff;热苏斯 马里亚 德 莱扎奥拉 ;36;SC;School of Psychology;High;M580005;x
580018;Chief of Army;安东尼奥 奥尔特加 ;36;SC;Elastic Defence Doctrine;High;M580018;x
580019;Chief of Navy;若泽 马里亚 比尔加纳 ;36;SC;Open Seas Doctrine;High;M580019;x
580020;Chief of Air Force;胡安 安东尼奥 伊巴雷彻 ;36;ML;Carpet Bombing Doctrine;High;M580020;x
580021;Head of State;阿纳克莱托 奥图埃塔 ;36;LWR;Die-hard Reformer;High;unknown;x
580022;Head of State;胡斯托 加拉特 ;36;LWR;Barking Buffoon;Very High;M580022;x
580023;Head of Government;阿纳克莱托 奥图埃塔 ;36;LWR;Backroom Backstabber;High;unknown;x
580024;Head of Government;特莱斯福罗 蒙松 ;36;LE;Flamboyant Tough Guy;High;M580024;x
580025;Foreign Minister;特莱斯福罗 蒙松 ;36;LE;Iron Fisted Brute;High;M580024;x
580026;Foreign Minister;托马斯 毕尔巴鄂 ;36;LWR;Apologetic Clerk;High;M580026;x
580027;Minister of Armament;圣地亚哥 阿兹纳尔 ;36;LWR;Corrupt Kleptocrat;High;M580027;x
580028;Minister of Armament;贡萨洛 纳迪斯 ;36;LWR;Laissez Faires Capitalist;High;unknown;x
580029;Minister of Security;胡斯托 加拉特 ;36;LWR;Efficient Sociopath;Very High;M580022;x
580030;Minister of Security;阿纳克莱托 奥图埃塔 ;36;LWR;Man of the People;High;unknown;x
580031;Head of Military Intelligence;热苏斯 拉腊尼亚加 ;36;LWR;Industrial Specialist;High;M580031;x
580032;Head of Military Intelligence;弗朗西斯科 丘塔特 德 米格尔 ;36;LWR;Logistics Specialist;Medium;M580032;x
580033;Chief of Staff;阿纳克莱托 奥图埃塔 ;36;LWR;School of Fire Support;High;unknown;x
580034;Chief of Staff;胡斯托 加拉特 ;36;LWR;School of Psychology;Very High;M580022;x
580035;Chief of Army;费利克斯 利基尼亚诺 ;36;LE;Decisive Battle Doctrine;High;M580035;x
580036;Chief of Army;肯帕 奥多基 ;36;LE;Guns and Butter Doctrine;High;M580036;x
580037;Chief of Navy;拉斐尔 门查卡 ;36;ST;Indirect Approach Doctrine;High;M580037;x
580038;Chief of Navy;曼努埃尔 加尔多斯 ;36;LWR;Open Seas Doctrine;High;M580038;x
580039;Chief of Air Force;伊格纳西奥 伊达尔戈 德 西斯内罗斯 ;36;LWR;Carpet Bombing Doctrine;Medium;M11030;x
580040;Chief of Air Force;巴勃罗 拉达 ;36;LWR;Naval Aviation Doctrine;High;M580040;x
580041;Head of State;卡洛斯 十一世 德 哈布斯博戈 ;36;PA;Benevolent Gentleman;High;M580041;x
580042;Head of State;卡洛斯 十二世 安东尼奥 德 哈布斯博戈 ;36;PA;Insignificant Layman;Medium;M580042;x
580043;Head of Government;佩德罗 穆兰 米切莱纳 ;36;FA;Flamboyant Tough Guy;Very High;unknown;x
580044;Head of Government;若泽 费利克斯 莱克里卡 ;36;PA;Silent Workhorse;High;M580044;x
580045;Foreign Minister;若泽 马里亚 德 阿雷尔萨 ;36;PA;Great Compromiser;Very High;M580045;x
