U50;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
580012;Head of State;ËÕ·¢Å¬·ë ;36;ST;Die-hard Reformer;High;M540012;x
580019;Head of Government;¿­É½ ·áÍşºº ;45;ST;Flamboyant Tough Guy;High;M540020;x
580020;Head of Government;¿²²¼À­¶Ø ÎÚÃ° ;36;ST;Happy Amateur;High;M540019;x
580023;Foreign Minister;Æ¤°£¶û ²¼ÂŞË÷À³ÌØ ;36;ST;Iron Fisted Brute;High;M540023;x
580026;Minister of Armament;Öì¶ûË¹ ÄÂÀ­Î÷°ÂÀ­ ;36;ST;Infantry Proponent;Medium;M540026;x
580029;Minister of Security;¿­É½ ·áÍşºº ;36;ST;Efficient Sociopath;Medium;M540029;x
580032;Head of Military Intelligence;¿²²¼À­¶Ø ÎÚÃ° ;36;ST;Technical Specialist;Medium;M540019;x
580035;Chief of Staff;Æ¤Ö¥ µ±Õ« ;36;ST;School of Psychology;Medium;M540035;x
580038;Chief of Army;Íõ±¦ ;36;ST;Guns and Butter Doctrine;Medium;M540038;x
580041;Chief of Navy;ËÕ·¢Å¬·ë ;36;ST;Open Seas Doctrine;Medium;M540041;x
580044;Chief of Air Force;Íõ±¦ ;36;ST;Vertical Envelopment Doctrine;Medium;M540038;x
