UGS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63201;Head of State;古斯塔夫五世 ;36;ML;Stern Imperialist;High;M7001;x
63202;Head of Government;托伊沃 M 基维迈基 ;36;ML;Silent Workhorse;High;M29002;x
63203;Foreign Minister;理查德 桑德勒 ;36;ML;Biased Intellectual;Low;M7038;x
63204;Foreign Minister;佩尔 埃德温 舍尔德 ;36;ML;Ideological Crusader;Medium;M7041;x
63205;Foreign Minister;克里斯蒂安 云特 ;36;ML;Apologetic Clerk;High;M7039;x
63206;Foreign Minister;R 雷森 佐尔曼 ;36;ML;Iron Fisted Brute;High;M7043;x
63207;Foreign Minister;伍斯特 埃德;36;ML;Great Compromiser;High;M7040;x
63208;Foreign Minister;佩尔 E G 因苏兰德 ;36;ML;General Staffer;High;M7044;x
63209;Foreign Minister;阿克塞尔 佩尔松-布拉姆斯托普 ;36;ML;The Cloak N Dagger Schemer;Very High;M7002;x
63210;Minister of Armament;古斯塔夫 卡塞尔 ;36;ML;Administrative Genius;Medium;M7049;x
63211;Minister of Armament;恩斯特 维格福什 ;36;ML;Resource Industrialist;Low;M7047;x
63212;Minister of Armament;恩斯特 特吕格 ;36;ML;Theoretical Scientist;Medium;M7051;x
63213;Minister of Armament;古斯塔夫 默勒 ;36;ML;Laissez Faires Capitalist;Medium;M7048;x
63214;Minister of Armament;伯蒂尔 奥林 ;36;ML;Military Entrepreneur;Medium;M7037;x
63215;Minister of Armament;埃里克 帕姆斯蒂纳 ;36;ML;Battle Fleet Proponent;Medium;M7050;x
63216;Minister of Armament;埃里克 埃纳尔 埃克斯特朗 ;36;ML;Submarine Proponent;Medium;M7052;x
63217;Minister of Armament;维尔马尔 永达尔 ;36;ML;Tank Proponent;Very High;M7004;x
63218;Minister of Armament;乌尔霍 J 卡斯特伦 ;36;ML;Infantry Proponent;NA;M29064;x
63219;Minister of Armament;埃里克 布罗福斯 ;36;ML;Air Superiority Proponent;High;M14054;x
63220;Minister of Armament;金塔雷 克隆拜特 ;36;ML;Corrupt Kleptocrat;Medium;M28078;x
63221;Minister of Armament;胡戈 帕特尔波伊格 ;36;ML;Air to Ground Proponent;Medium;M26057;x
63222;Minister of Armament;亚尔 伦德奎斯特 ;36;ML;Air to Sea Proponent;Very High;M29010;x
63223;Minister of Armament;格奥尔格 A 德 格里彭伯格 ;36;ML;Strategic Air Proponent;High;M29097;x
63224;Minister of Security;卡尔 施吕特 ;36;ML;Silent Lawyer;High;M7058;x
63225;Minister of Security;古斯塔夫 安德森-拉舍恩 ;36;ML;Compassionate Gentleman;Medium;M7059;x
