PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
53001;Head of State;ÀñÈø É³°¢ °ÍÁĞÎ¬ ;36;PA;Resigned Generalissimo;High;M53001;x
53002;Head of Government;Âí¹şÃ¯µÂ ¼ÖÄ· ;36;PA;Silent Workhorse;High;M53002;x
53003;Foreign Minister;ÒÁÅµ°¢Í¼À­ º¹ ÈøÃ× ;36;PA;Great Compromiser;Medium;M53003;x
53004;Minister of Armament;°¬¹şÂõµÂ º¹ ÄÉºÕ¼ÖÍú ;36;PA;Battle Fleet Proponent;Medium;M53004;x
53005;Minister of Security;°¢Àï °¢¿Ë°Í¶û ´úÍß ;36;PA;Back Stabber;Medium;M53005;x
53006;Head of Military Intelligence;ÀñÈø Ã×ÔúÄá ;36;PA;Naval Intelligence Specialist;Medium;M53006;x
53007;Chief of Staff;ÀñÈø É³°¢ °ÍÁĞÎ¬ ;36;PA;School of Defence;Medium;M53001;x
53008;Chief of Army;°¢²·¶ÅÀÕÀñÈø °¢·ò¹şÃ× ;36;PA;Static Defence Doctrine;Medium;M53008;x
53009;Chief of Navy;°¬¹şÂõµÂ Ã×À­ »ôË¹À­·²Äá ;36;PA;Indirect Approach Doctrine;High;M53009;x
53010;Chief of Air Force;°¬¹şÂõµÂ º¹ ÄÉºÕ¼ÖÍú ;36;PA;Naval Aviation Doctrine;High;M53004;x
53031;Head of State;ÄÂº±Ä¬µÂ ÀñÈø °ÍÁĞÎ¬ ;41;SC;Benevolent Gentleman;High;M53011;x
53032;Head of State;ÄÂº±Ä¬µÂ ÀñÈø °ÍÁĞÎ¬ ;41;PA;Autocratic Charmer;High;M53011;x
53033;Head of Government;°¬¹şÂõµÂ Âí¶¡-´ï·òËşÀï ;39;FA;Naive Optimist;High;M53033;x
53034;Head of Government;°¢Àï º¹ ÂüËÕ¶û ;40;PA;Old General;High;M53034;x
53035;Head of Government;ÄÂº±Ä¬µÂ °¢Àï ¸£Â³»ù ;41;SC;Political Protege;High;M53015;x
53036;Head of Government;°¢Àï ËÕºÕÀï ;43;SL;Smiling Oilman;High;M53036;x
53037;Head of Government;°¬¹şÂõµÂ ¿¨ÍúÄ· ËÕµ¤ÄÉ ;42;SC;Happy Amateur;High;M53037;x
53038;Head of Government;ÄÂº±Ä¬µÂ ÈüÒåµÂ ÂíÀ­¼ª ;44;SC;Silent Workhorse;High;M53038;x
53039;Head of Government;ÈüÒåµÂ ÄÂ¶ûËşÔú º¹ °ÍÑÇÌØ ;44;SL;Flamboyant Tough Guy;High;M53039;x
53040;Head of Government;Ò×²·À­ĞÀ ¹ş»ùÃ× °¬¶û ÄÂ¶û¿Ë ;45;PA;Backroom Backstabber;High;M53040;x
53041;Head of Government;ÄÂĞÁ ÈøµÂ¶û °¬¶û °¢À­·ò ;45;SC;Corporate Suit;High;M53041;x
53042;Foreign Minister;ÄÂË¹Ëş·¨ °¢µÏ¶û ;37;PA;Biased Intellectual;Medium;M53042;x
53043;Foreign Minister;Ã×ÀïÑÇ ÄÂĞÁ º¹ ;38;PA;Ideological Crusader;Medium;M53043;x
53044;Foreign Minister;°¢Àï ËÕºÕÀï ;39;PA;Iron Fisted Brute;Low;M53036;x
53045;Foreign Minister;ÄÂÔú·¨¶û °¢À¼ ;39;PA;Apologetic Clerk;Medium;M53045;x
53046;Foreign Minister;Ò×²·À­ĞÀ °¢À¼ ;40;FA;The Cloak N Dagger Schemer;Medium;M53046;x
53047;Foreign Minister;°¢ÂíÀï ¼ÖÍßµÂ ;40;FA;Biased Intellectual;Medium;M53047;x
53048;Foreign Minister;°¢Àï ËÕºÕÀï ;41;SL;The Cloak N Dagger Schemer;Medium;M53036;x
53049;Foreign Minister;ÄÂº±Ä¬µÂ ÈüÒåµÂ ÂíÀ­¼ª ;42;SC;Great Compromiser;High;M53038;x
53051;Foreign Minister;ÄÉË¹Â³À­ ÒòµÏÔúÄ· ;44;SL;Biased Intellectual;Medium;M53051;x
53052;Foreign Minister;°¢ÄÉÏ£¶û·² Ğ»ÅÁ²®µÏ ;45;PA;Apologetic Clerk;Medium;M53052;x
53053;Foreign Minister;°¢²·¶û ¿¨Ï£Ä· ÄÉ¼ªÄ· ;45;SC;The Cloak N Dagger Schemer;Medium;M53053;x
53054;Foreign Minister;°¬¹şÂõµÂ ¿¨ÍúÄ· ËÕµ¤ÄÉ ;46;SC;Ideological Crusader;High;M53037;x
53055;Foreign Minister;ÄÂº±Ä¬µÂ Ä¦ÈøÌ¨ ;46;SL;The Cloak N Dagger Schemer;Medium;M53013;x
53056;Minister of Armament;ÀñÈø Ã×ÔúÄá ;37;PA;Resource Industrialist;Medium;M53006;x
53057;Minister of Armament;Ã×¶ûÔú ÀñÈø °¢¶û·¨ µÀÀÕºÕ ;37;PA;Infantry Proponent;Medium;M53057;x
53058;Minister of Armament;°¢¶û¸¥À×µÂ Â³µÀ¶û·ò ×ÈÄ¬¶ûÂü ;38;SC;Laissez Faires Capitalist;Medium;M53014;x
53059;Minister of Armament;°¬¹şÂõµÂ º¹ ÄÉºÕ¼ÖÍú ;38;PA;Air to Sea Proponent;High;M53004;x
53060;Minister of Armament;°¬¹şÂõµÂ Ã×À­ »ôË¹À­·²Äá ;39;PA;Submarine Proponent;High;M53009;x
53061;Minister of Armament;°¢²·¶ÅÀÕÀñÈø °¢·ò¹şÃ× ;39;FA;Military Entrepreneur;Medium;M53008;x
53062;Minister of Armament;ÄÂº±Ä¬µÂ ÄÉºÕ¼Ö·² ;40;FA;Tank Proponent;Medium;M53062;x
53063;Minister of Armament;ÄÂ¶ûËşÔú ÑÅ×ÈµÏ ;40;FA;Air Superiority Proponent;Medium;M53024;x
53064;Minister of Armament;ÈüÒåµÂ °¬¶û¶¡ Ëş°ÍËş°ÍÒÁ ;41;SC;Battle Fleet Proponent;Medium;M53012;x
53065;Minister of Armament;×ô¿¨ µÀÀÕºÕ ;43;SL;Theoretical Scientist;Medium;M53065;x
53066;Minister of Armament;ÄÂº±Ä¬µÂ °ÍºÕÀ­Ã× ;44;SC;Strategic Air Proponent;Medium;M53026;x
