HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
8001;Head of State;威廉明娜 ;36;SC;Stern Imperialist;High;M8001;x
8002;Head of Government;亨德里克斯 科莱恩 ;36;ML;Silent Workhorse;High;M8002;x
8003;Foreign Minister;弗兰斯 B 范布洛克兰 ;36;SC;Ideological Crusader;Low;M8003;x
8004;Minister of Armament;彼特 奥德 ;36;ML;Submarine Proponent;Medium;M8004;x
8005;Minister of Security;约瑟夫斯 H H 范斯海克 ;36;ML;Silent Lawyer;High;M8005;x
8006;Head of Military Intelligence;约翰 W 范 奥尔斯霍特 ;36;SC;Dismal Enigma;Very High;M8006;x
8007;Chief of Staff;阿德里安 迪克霍恩 ;36;SC;School of Defence;Very High;M8007;x
8008;Chief of Army;艾萨克 雷恩德斯 ;36;SC;Static Defence Doctrine;Very High;M8008;x
8009;Chief of Navy;约翰内斯 菲尔斯特纳 ;36;ML;Indirect Approach Doctrine;High;M8009;x
8010;Chief of Air Force;马里乌斯 拉伊马克斯 ;36;ML;Air Superiority Doctrine;High;M8010;x
8037;Head of State;威廉明娜 ;45;PA;Stern Imperialist;High;M8001;x
8038;Head of State;安东 米塞特 ;37;NS;Barking Buffoon;High;M8011;x
8040;Head of State;本杰明 伯尔斯 ;37;ST;Insignificant Layman;High;M8040;x
8041;Head of State;扬 迪特斯 ;40;ST;Autocratic Charmer;High;M8041;x
8042;Head of State;绍尔 德 格罗特 ;43;ST;Ruthless Powermonger;High;M8021;x
8043;Head of Government;约翰 阿尔巴达 ;39;SD;Happy Amateur;High;M8043;x
8044;Head of Government;路易斯 比勒 ;46;ML;Smiling Oilman;High;M8044;x
8046;Head of Government;彼特 格布兰迪 ;39;ML;Flamboyant Tough Guy;High;M8046;x
8047;Head of Government;威廉 舍默霍恩 ;45;ML;Naive Optimist;High;M8047;x
8048;Head of Government;安德里斯 德克 德 格拉夫 ;37;SC;Happy Amateur;High;M8048;x
8049;Head of Government;德克 扬 德 格尔 ;39;SC;Political Protege;High;M8049;x
8050;Head of Government;扬 德 夸伊 ;40;SC;Happy Amateur;High;M8050;x
8051;Head of Government;梅努特 范 通宁根 ;37;NS;Backroom Backstabber;High;M8012;x
8052;Head of Government;安东 米塞特 ;40;NS;Ambitious Union Boss;High;M8011;x
8053;Head of Government;格拉夫 德 马钱特 埃特 d'安森伯格 ;40;PA;Flamboyant Tough Guy;High;M8013;x
8054;Head of Government;尼古拉斯 伯泽马克尔 ;37;ST;Happy Amateur;High;M8054;x
8055;Head of Government;大卫 温库普 ;43;ST;Naive Optimist;High;M8022;x
8056;Head of Government;丹尼尔 古鲁兹 ;45;ST;Smiling Oilman;High;M8025;x
8057;Foreign Minister;塞尔瓦蒂乌斯 巴尔特 ;37;SD;Great Compromiser;Medium;M8057;x
8058;Foreign Minister;阿德里安努斯 佩尔特 ;38;SD;Apologetic Clerk;Medium;M8058;x
8059;Foreign Minister;乔治 范 德恩 伯格 ;43;SD;Iron Fisted Brute;Medium;M8059;x
8060;Foreign Minister;扬 范 罗延 ;46;SD;Biased Intellectual;Low;M8060;x
8061;Foreign Minister;皮姆 范 布策拉尔 ;46;ML;General Staffer;Medium;M8061;x
8062;Foreign Minister;查尔斯 纪尧姆 克拉默 ;47;SD;The Cloak N Dagger Schemer;Very High;M8062;x
8063;Foreign Minister;亨德里克斯 科莱恩 ;37;ML;Ideological Crusader;Medium;M8002;x
8064;Foreign Minister;雅各布斯 帕泰恩 ;37;ML;Apologetic Clerk;Medium;M8064;x
8066;Foreign Minister;安德里斯 德克 德 格拉夫 ;36;SC;Great Compromiser;High;M8048;x
8067;Foreign Minister;埃尔科 范 克莱芬斯 ;39;SC;Great Compromiser;Medium;M8065;x
8068;Foreign Minister;雅各布斯 帕泰恩 ;40;PA;Apologetic Clerk;Medium;M8064;x
8069;Foreign Minister;格拉夫 德 马钱特 埃特 d'安森伯格 ;37;FA;Ideological Crusader;Very Low;M8013;x
8070;Foreign Minister;安东 米塞特 ;43;FA;The Cloak N Dagger Schemer;Low;M8011;x
8071;Foreign Minister;梅努特 范 通宁根 ;43;NS;Iron Fisted Brute;Medium;M8012;x
8072;Foreign Minister;本杰明 伯尔斯 ;37;ST;Great Compromiser;Medium;M8040;x
8073;Foreign Minister;尼古拉斯 伯泽马克尔 ;39;ST;The Cloak N Dagger Schemer;Very High;M8054;x
8074;Foreign Minister;大卫 温库普 ;40;ST;Biased Intellectual;Low;M8022;x
8075;Foreign Minister;绍尔 德 格罗特 ;41;LE;Ideological Crusader;Low;M8021;x
8076;Foreign Minister;威廉 范 拉费斯泰因 ;43;LE;Apologetic Clerk;Medium;M8023;x
8077;Minister of Armament;雅各布 范 格尔德伦 ;37;SD;Laissez Faires Capitalist;High;M8077;x
8078;Minister of Armament;兰伯特斯 H 曼斯霍尔特 ;39;SD;Resource Industrialist;Medium;M8078;x
8079;Minister of Armament;查尔斯 韦尔特 ;40;SD;Theoretical Scientist;Medium;M8079;x
8080;Minister of Armament;约翰 阿尔巴达 ;41;SD;Laissez Faires Capitalist;High;M8043;x
8081;Minister of Armament;雅克 德 卡特 ;42;SD;Military Entrepreneur;High;M8081;x
8082;Minister of Armament;查尔斯 纪尧姆 克拉默 ;44;SD;Air Superiority Proponent;Very High;M8062;x
8083;Minister of Armament;亚历山大 菲耶韦 ;46;ML;Administrative Genius;Medium;M8083;x
8084;Minister of Armament;扬 廷贝亨 ;47;SD;Resource Industrialist;Very High;M8084;x
8086;Minister of Armament;蒂策 彼特 塞芬斯马 ;39;ML;Laissez Faires Capitalist;Medium;M8086;x
8087;Minister of Armament;丹尼尔 范 德尔 齐 ;40;ML;Air to Sea Proponent;Medium;M8087;x
8088;Minister of Armament;W G 范 韦图姆 ;41;ML;Tank Proponent;Medium;M8088;x
8089;Minister of Armament;威廉 舍默霍恩 ;41;ML;Resource Industrialist;Medium;M8047;x
8090;Minister of Armament;O 范利特 德热德 ;42;ML;Administrative Genius;Medium;M8090;x
8091;Minister of Armament;詹姆斯 德 博伊 ;45;ML;Battle Fleet Proponent;Medium;M8091;x
8092;Minister of Armament;约翰内斯 迈嫩 ;45;ML;Theoretical Scientist;High;M8092;x
8093;Minister of Armament;约斯特 范 哈梅尔 ;46;ML;Military Entrepreneur;High;M8093;x
8094;Minister of Armament;德克 扬 德 格尔 ;39;SC;Infantry Proponent;High;M8049;x
8095;Minister of Armament;阿德里安 迪克霍恩 ;40;SC;Tank Proponent;Very High;M8007;x
8096;Minister of Armament;马克西米利安 施滕贝格赫 ;42;SC;Air to Ground Proponent;Medium;M8096;x
8097;Minister of Armament;扬 德 夸伊 ;44;SC;Resource Industrialist;High;M8050;x
8098;Minister of Armament;扬内斯 范 戴克 ;40;SC;Administrative Genius;High;M8098;x
8099;Minister of Armament;C J 惠更斯 ;37;NS;Administrative Genius;Very Low;M8014;x
8100;Minister of Armament;格里特 范 布林克 ;43;NS;Infantry Proponent;Medium;M8100;x
8101;Minister of Armament;格里特 范 布林克 ;45;PA;Infantry Proponent;Medium;M8100;x
8102;Minister of Armament;派特尔 伯格斯马 ;37;ST;Laissez Faires Capitalist;Medium;M8102;x
8103;Minister of Armament;雅克 德 卡特 ;39;LE;Military Entrepreneur;High;M8081;x
8104;Minister of Armament;扬 波斯特马 ;40;LE;Theoretical Scientist;Low;M8024;x
8105;Minister of Armament;雅各布斯 恩格斯 ;44;LE;Strategic Air Proponent;High;M8105;x
8106;Minister of Security;弗兰克 范 德尔 格斯 ;37;SD;Man of the People;Medium;M8106;x
8107;Minister of Security;扬 贝格梅杰 ;39;SD;Compassionate Gentleman;Medium;M8107;x
8108;Minister of Security;路易斯 比勒 ;40;SD;Man of the People;Medium;M8044;x
8109;Minister of Security;查尔斯 纪尧姆 克拉默 ;41;SD;Silent Lawyer;Very High;M8062;x
8110;Minister of Security;约翰 布劳伊蒂加姆 ;45;SD;Prince of Terror;Medium;M8110;x
