KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
521001;Head of State;伊戈尔 P. 多尼亚克 ;36;LE;Stern Imperialist;High;M521001;x
521002;Head of Government;尼古拉 博戈柳布霍夫 ;36;LE;Corporate Suit;High;M521002;x
521003;Foreign Minister;马克西姆 阿莫索夫 ;36;LE;Ideological Crusader;High;M521003;x
521004;Minister of Armament;卡利纳 阿曼库罗瓦 ;36;LE;Administrative Genius;Medium;M521004;x
521005;Minister of Security;图拉贝 库列托夫 ;36;LE;Man of the People;Medium;M521005;x
521006;Head of Military Intelligence;伊戈尔 N. 巴拉霍夫 ;36;LE;Political Specialist;Medium;M521006;x
521007;Chief of Staff;卡伦 杜舍巴耶夫 ;36;LE;School of Psychology;Medium;M521007;x
521008;Chief of Army;米哈伊尔 V. 伏龙芝 ;36;LE;Elastic Defence Doctrine;Medium;M521008;x
521009;Chief of Navy;叶戈尔 拉尔 ;36;LE;Power Projection Doctrine;Medium;L10438;x
521010;Chief of Air Force;特里菲尔 索科洛夫 ;36;LE;Air Superiority Doctrine;Medium;M521010;x
521011;Head of State;伊万 F. 索科洛夫 ;36;SD;Pig-headed Isolationist;High;M521011;x
521012;Head of State;巴滕 朱马巴耶夫 ;36;ML;Autocratic Charmer;High;M521012;x
521013;Head of State;卡曾 特内斯塔诺夫 ;36;PA;Ruthless Powermonger;High;M521013;x
521014;Head of Government;马克西姆 列布罗夫 ;36;SD;Flamboyant Tough Guy;High;M521014;x
521015;Head of Government;安德烈 V. 索科洛夫 ;36;ML;Happy Amateur;High;M521015;x
521016;Head of Government;扎基 瓦利多夫 ;36;PA;Smiling Oilman;High;M521016;x
521017;Foreign Minister;阿卜杜卡迪尔 乌拉兹别科夫 ;36;LE;General Staffer;High;M521017;x
521018;Foreign Minister;约西普 阿布德罗赫马诺夫 ;36;LE;Great Compromiser;High;M521018;x
521019;Foreign Minister;纳楚姆 索科洛夫 ;36;SD;Biased Intellectual;High;M521019;x
521020;Foreign Minister;古尔扎特 埃弗斯托夫 ;36;SD;Apologetic Clerk;High;M521020;x
521021;Foreign Minister;纳济拉 道列托瓦 ;36;ML;Apologetic Clerk;High;M521021;x
521022;Foreign Minister;穆赫塔尔 占加林 ;36;PA;Great Compromiser;High;M521022;x
521023;Foreign Minister;瓦西尔 江科诺夫 ;36;PA;Iron Fisted Brute;High;M521023;x
521024;Minister of Armament;阿卜杜勒扎提尔 伊尔迪兹贝克 ;36;LE;Infantry Proponent;Medium;M521024;x
521025;Minister of Armament;苏丹库尔 沙穆尔津 ;36;LE;Air to Ground Proponent;Medium;M521025;x
521026;Minister of Armament;阿利克 巴克图尔 ;36;SD;Tank Proponent;Medium;M521026;x
521027;Minister of Armament;尤里 米特波利斯基 ;36;SD;Theoretical Scientist;Medium;M521027;x
521028;Minister of Armament;维克托 格卢什科夫 ;36;ML;Theoretical Scientist;Medium;M521028;x
521029;Minister of Armament;苏丹 巴克特贝克 ;36;ML;Air to Ground Proponent;Medium;M521029;x
521030;Minister of Armament;阿迪利特 鲁斯塔莫夫 ;36;PA;Corrupt Kleptocrat;Medium;M521030;x
