U77;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700700;Head of State;费代里科 派斯 奇里沃加 ;36;SL;Stern Imperialist;High;M40001;x
700701;Head of State;以利亚撒·孔特雷拉斯;36;PA;Barking Buffoon;High;M38001;x
700702;Head of State;爱德华多 桑托斯 蒙特若 ;38;SL;Autocratic Charmer;High;M37032;x
700703;Head of State;朱利奥 瓦尔德斯 ;38;FA;Resigned Generalissimo;High;M37011;x
700704;Head of State;伊西多罗·鲁伊斯·图埃罗;36;PA;Resigned Generalissimo;High;M38011;x
700705;Head of State;若泽 马里亚 韦拉斯科 伊巴拉 ;41;SD;Benevolent Gentleman;High;M40033;x
700706;Head of State;奥雷利奥 莫斯克拉 纳瓦埃斯 ;38;SL;Die-hard Reformer;High;M40006;x
700707;Head of State;安德烈斯 德 科尔多瓦 涅托 ;39;SL;Weary Stiffneck;High;M40036;x
700708;Head of State;胡安 德 迪亚兹 梅拉 ;37;SC;Popular Figurehead;High;M40015;x
700709;Head of State;卡洛斯 阿罗约 德尔 里奥 ;41;SC;Powerhungry Demagogue;High;M40040;x
700710;Head of Government;奥雷利奥 莫斯克拉 纳瓦埃斯 ;38;SL;Backroom Backstabber;High;M40006;x
700711;Head of Government;安德烈斯 德 科尔多瓦 涅托 ;39;SL;Happy Amateur;High;M40036;x
700712;Head of Government;胡安 德 迪亚兹 梅拉 ;37;SC;Corporate Suit;High;M40015;x
700713;Head of Government;卡洛斯 阿罗约 德尔 里奥 ;41;SC;Flamboyant Tough Guy;High;M40040;x
700714;Head of Government;阿方索 洛佩斯 普马雷霍 ;36;SD;Silent Workhorse;High;M37001;x
700715;Head of Government;爱德华多 桑托斯 蒙特若 ;38;SL;Flamboyant Tough Guy;High;M37032;x
700716;Head of Government;阿尔贝托 列拉斯 卡马戈 ;42;SL;Political Protege;High;M37033;x
700717;Head of Government;华金 费尔南德斯 ;38;SC;Corporate Suit;High;M37035;x
700718;Foreign Minister;埃内斯托 冈萨雷斯 彼德拉伊塔 ;36;SD;Ideological Crusader;Medium;M37003;x
700719;Foreign Minister;Carracciola Parra Per閦;41;SC;Apologetic Clerk;Medium;M38035;x
700720;Foreign Minister;路易斯 洛佩斯 德 梅萨 ;38;SL;Ideological Crusader;Medium;M37061;x
700721;Foreign Minister;安东尼奥 若泽 雷斯特雷波 ;38;SC;General Staffer;Medium;M37065;x
700722;Foreign Minister;罗伯托 乌达内塔 阿韦拉埃斯 ;42;SC;Apologetic Clerk;High;M37066;x
700723;Foreign Minister;阿尔贝托 拉雷亚 奇里沃加 ;36;SL;Apologetic Clerk;Medium;M40003;x
700724;Foreign Minister;劳雷亚诺 戈麦斯 卡斯特罗 ;44;SC;The Cloak N Dagger Schemer;High;M37067;x
700725;Foreign Minister;梅利顿 罗德里格斯 罗尔丹 ;38;FA;Biased Intellectual;Medium;M37013;x
700726;Foreign Minister;若泽 贝尼特斯 阿帕拉西奥 ;39;SL;Iron Fisted Brute;Medium;M40072;x
700727;Foreign Minister;埃斯特班·吉尔·博尔赫斯;36;PA;Great Compromiser;Medium;M38003;x
700728;Foreign Minister;佩德罗·莱昂·卡斯特罗;36;LWR;Biased Intellectual;Medium;M38023;x
700729;Foreign Minister;佩德罗·伊特里亚戈·查辛;36;PA;Biased Intellectual;Medium;M38081;x
700730;Foreign Minister;埃内斯托·迈斯·巴列尼利亚;36;PA;The Cloak N Dagger Schemer;Medium;M38013;x
700731;Minister of Armament;费代里科 派斯 奇里沃加 ;36;SL;Air to Sea Proponent;Medium;M40001;x
700732;Minister of Armament;奥雷利奥 莫斯克拉 纳瓦埃斯 ;38;SL;Battle Fleet Proponent;High;M40006;x
700733;Minister of Armament;安东尼奥 庞斯 坎普萨诺 ;39;SL;Corrupt Kleptocrat;Medium;M40037;x
700734;Minister of Armament;卡洛斯·拉莫斯;41;SC;Submarine Proponent;Low;M38040;x
700735;Minister of Armament;卡洛斯·莫利纳·塔马约;42;ML;Battle Fleet Proponent;Low;M38042;x
700736;Minister of Armament;拉雷斯·埃洛伊·马丁内斯;43;ML;Laissez Faires Capitalist;Medium;M38043;x
700738;Minister of Armament;佩德罗·博佩尔蒂·乌里克;36;SC;Military Entrepreneur;Low;M38004;x
700739;Minister of Armament;古斯塔夫 乌里亚特 ;37;PA;Corrupt Kleptocrat;Low;M40014;x
700740;Minister of Armament;阿方索 洛佩斯 普马雷霍 ;37;SD;Infantry Proponent;Medium;M37001;x
700741;Minister of Armament;温贝托 希卡 平松 ;38;SL;Theoretical Scientist;Medium;M37077;x
700742;Minister of Armament;卡米洛 达萨 阿尔瓦雷兹 ;40;SL;Air Superiority Proponent;Medium;M37078;x
700743;Minister of Security;埃雷若泽·维尔;36;SC;Efficient Sociopath;Medium;M38046;x
700744;Minister of Security;凯撒 伯纳尔 古斯塔夫斯 ;38;SC;Crooked Kleptocrat;Medium;M37101;x
700745;Minister of Security;若泽 埃利斯 坎萨多 ;42;SC;Back Stabber;Medium;M37016;x
700746;Minister of Security;梅利顿 罗德里格斯 罗尔丹 ;38;FA;Efficient Sociopath;Low;M37013;x
700747;Minister of Security;阿尔坎塔拉·博雷戈;36;PA;Back Stabber;Medium;M38015;x
700748;Minister of Security;安东尼奥·何塞·维勒加斯;38;SC;Silent Lawyer;Medium;M38047;x
700749;Minister of Security;塞萨尔·苏马埃塔;39;PA;Compassionate Gentleman;Medium;M38048;x
700750;Minister of Security;亚历德罗·阿马斯;41;SC;Prince of Terror;Medium;M38049;x
700751;Head of Military Intelligence;恩里科 迪亚兹 卡里亚 ;47;PA;Dismal Enigma;Low;M37116;x
700752;Head of Military Intelligence;奎里斯塔 塞勒 ;38;ST;Dismal Enigma;Medium;M37021;x
700753;Head of Military Intelligence;卡萨诺瓦·卡洛斯·莱亚尔;36;PA;Naval Intelligence Specialist;Medium;M38016;x
700754;Head of Military Intelligence;安东尼奥·卡萨斯·冈萨雷斯;39;SC;Naval Intelligence Specialist;Medium;M38057;x
700755;Head of Military Intelligence;佩德罗·拉亚;41;SC;Industrial Specialist;Medium;M38058;x
700756;Head of Military Intelligence;奥雷利奥 莫斯克拉 纳瓦埃斯 ;36;SL;Logistics Specialist;Medium;M40006;x
700757;Chief of Staff;爱德华多 波里耶 埃斯科巴尔 ;38;SC;School of Fire Support;High;M37008;x
700758;Chief of Staff;贝尼尼奥 安德拉德 弗洛雷斯 ;36;SL;School of Defence;Very Low;M40007;x
700759;Chief of Staff;贝尔纳多·何塞·蒙蒂利亚;36;PA;School of Fire Support;Medium;M38017;x
700760;Chief of Staff;安东尼奥·卡萨斯·冈萨雷斯;38;SC;School of Psychology;Medium;M38057;x
700761;Chief of Staff;古斯塔沃·冈萨雷斯·洛佩斯;43;ML;School of Manoeuvre;Medium;M38065;x
700762;Chief of Staff;莱奥尼·奥特罗;45;SD;School of Psychology;Medium;M38027;x
700763;Chief of Staff;伊萨亚斯·麦地那·安加里塔;36;SC;School of Defence;Low;M38007;x
700764;Chief of Army;吉尔贝托 恩里克斯 加洛 ;36;PA;Decisive Battle Doctrine;Low;M40008;x
700765;Chief of Army;奎里斯塔 塞勒 ;38;ST;Guns and Butter Doctrine;Medium;M37021;x
700766;Chief of Army;爱德华多 波里尔 埃斯科巴尔 ;36;SD;Elastic Defence Doctrine;Medium;M37008;x
700767;Chief of Army;维克多·桑切斯·克罗伊斯;40;PA;Armoured Spearhead Doctrine;Medium;M38028;x
700768;Chief of Navy;萨尔瓦多 蒂亚加 冈萨雷斯 ;38;SC;Base Control Doctrine;High;M37131;x
700769;Chief of Navy;加布里埃尔 金塔尼利亚 莫拉莱斯 ;38;LWR;Power Projection Doctrine;Medium;M37029;x
700770;Chief of Navy;佩德罗·博佩尔蒂·乌里克;39;SC;Power Projection Doctrine;Medium;M38004;x
700771;Chief of Navy;卡洛斯·莫利纳·塔马约;41;SC;Decisive Naval Battle Doctrine;Medium;M38042;x
700772;Chief of Navy;路易斯·阿尔瓦雷斯;42;ML;Open Seas Doctrine;Medium;M38073;x
700773;Chief of Navy;路易斯 阿塞韦多 ;36;SD;Decisive Naval Battle Doctrine;Medium;M37009;x
700774;Chief of Navy;温贝托·坎塔布里亚;36;PA;Base Control Doctrine;Medium;M38009;x
700775;Chief of Air Force;温贝托·S.托雷斯·维埃拉;36;LWR;Naval Aviation Doctrine;Medium;M38030;x
700776;Chief of Air Force;格尔曼 奥拉诺 ;36;SD;Air Superiority Doctrine;Medium;M37010;x
700777;Chief of Air Force;费利克斯 梅尔卡多 ;38;SC;Army Aviation Doctrine;Medium;M37156;x
700778;Chief of Air Force;路易斯 罗德里格斯 ;38;PA;Carpet Bombing Doctrine;Medium;M37020;x
700779;Chief of Air Force;路易斯 伯纳多 安德拉德 ;38;ST;Naval Aviation Doctrine;Medium;M37027;x
