SCA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
514001;Head of State;克里斯蒂安十世 ;36;SD;Weary Stiffneck;High;M16001;x
514002;Head of Government;托瓦尔 斯陶宁 ;36;SD;Ambitious Union Boss;High;M16002;x
514003;Foreign Minister;佩尔 阿尔宾 汉松 ;36;SD;Iron Fisted Brute;High;M7033;x
514004;Minister of Armament;古斯塔夫 默勒 ;36;SD;Laissez Faires Capitalist;Medium;M7048;x
514005;Minister of Security;约翰 尼高斯沃尔 ;36;SD;Man of the People;High;M14002;x
514006;Head of Military Intelligence;阿尔弗雷德 罗舍尔-伦德 ;36;SD;Logistics Specialist;Low;M14006;x
514007;Chief of Staff;奥格 H 费德尔 ;36;SD;School of Manoeuvre;Very High;M16119;x
514008;Chief of Army;奥斯卡 尼格伦 ;36;SD;Guns and Butter Doctrine;Medium;M7007;x
514009;Chief of Navy;奥格 H 费德尔 ;36;SD;Open Seas Doctrine;Very High;M16119;x
514010;Chief of Air Force;托尔斯滕 弗里斯 ;36;SD;Army Aviation Doctrine;Very High;M7010;x
514031;Head of State;克里斯蒂安十世 ;36;ML;Weary Stiffneck;High;M16001;x
514032;Head of State;弗雷德里克九世 ;47;SD;Autocratic Charmer;High;M16138;x
514033;Head of State;弗雷德里克九世 ;47;ML;Autocratic Charmer;High;M16138;x
514034;Head of Government;佩尔 阿尔宾 汉松 ;42;SD;Corporate Suit;High;M7033;x
514035;Head of Government;埃纳尔 盖哈德森 ;46;SD;Political Protege;High;M14037;x
514036;Head of Government;C J 汉布罗 ;36;ML;Silent Workhorse;High;M14036;x
514037;Head of Government;阿克塞尔 佩尔松-布拉姆斯托普 ;40;ML;Happy Amateur;High;M7002;x
514038;Head of Government;克努兹 克里斯滕森 ;45;ML;Political Protege;High;M16043;x
514039;Foreign Minister;埃里克 斯卡韦纽斯 ;40;SD;Biased Intellectual;Very High;M16040;x
514040;Foreign Minister;特吕格弗 H 利 ;41;SD;Iron Fisted Brute;High;M14005;x
514041;Foreign Minister;塔格 埃兰德 ;46;SD;Great Compromiser;High;M7034;x
514042;Foreign Minister;埃里克 安德烈亚斯 科尔班 ;36;ML;Great Compromiser;High;M14045;x
514043;Foreign Minister;佩尔 E G 因苏兰德 ;39;ML;General Staffer;High;M7044;x
514044;Foreign Minister;克里斯马斯 默勒 ;45;ML;Biased Intellectual;Medium;M16041;x
514045;Minister of Armament;威廉 布尔 ;40;SD;Battle Fleet Proponent;High;M16039;x
514046;Minister of Armament;延斯 克里斯蒂安 豪格 ;41;SD;Military Entrepreneur;High;M14053;x
514047;Minister of Armament;伯蒂尔 奥林 ;44;SD;Military Entrepreneur;Medium;M7037;x
514048;Minister of Armament;古斯塔夫 卡塞尔 ;36;ML;Administrative Genius;Medium;M7049;x
514049;Minister of Armament;埃尔林 桑德伯格 ;43;ML;Infantry Proponent;Very low;M14014;x
514050;Minister of Armament;奥利 比约恩 克拉夫特 ;45;ML;Resource Industrialist;Medium;M16042;x
514051;Minister of Security;安德斯 林德施泰特 ;37;SD;Compassionate Gentleman;Very High;M7061;x
514052;Minister of Security;J C 约恩森 ;42;SD;Crime Fighter;High;M16077;x
514053;Minister of Security;哈康 利 ;45;SD;Prince of Terror;High;M14067;x
514054;Minister of Security;哈拉尔德 彼得森 ;36;ML;Crime Fighter;Very High;M16078;x
514055;Minister of Security;埃尔林 桑德伯格 ;43;ML;Compassionate Gentleman;Very low;M14014;x
514056;Minister of Security;托瓦尔德 伯奎斯特 ;44;ML;Man of the People;High;M7005;x
514057;Head of Military Intelligence;黑尔格 容 ;38;SD;Political Specialist;Low;M7006;x
514058;Head of Military Intelligence;尼尔斯 博尔 ;41;SD;Technical Specialist;Very High;M16071;x
514059;Head of Military Intelligence;威廉 埃旺 ;43;SD;Industrial Specialist;Medium;M14072;x
514060;Head of Military Intelligence;贝尔特拉姆 迪布瓦德 布罗克曼 ;36;ML;Dismal Enigma;Medium;M14071;x
514061;Head of Military Intelligence;奥克 哈默斯基奥德 ;41;ML;Industrial Specialist;High;M7070;x
514062;Head of Military Intelligence;H M 伦丁 ;45;ML;Logistics Specialist;High;M16090;x
514063;Chief of Staff;奥托 鲁格 ;38;SD;School of Defence;Medium;M14075;x
514064;Chief of Staff;埃贝 约尔茨 ;41;SD;School of Psychology;Very High;M16103;x
514065;Chief of Staff;尼尔斯 斯韦德隆德 ;46;SD;School of Fire Support;Very High;M7077;x
514066;Chief of Staff;奥斯卡 尼格伦 ;36;ML;School of Defence;Medium;M7007;x
514067;Chief of Staff;汉斯 A 罗尔斯特 ;41;ML;School of Mass Combat;High;M16100;x
514068;Chief of Staff;威廉 冯 坦根-汉斯廷 ;46;ML;School of Fire Support;Very High;M14078;x
514069;Chief of Army;威廉 W 普里奥尔 ;38;SD;Static Defence Doctrine;Medium;M16007;x
514070;Chief of Army;奥拉夫 阿弗 诺尔格 ;42;SD;Elastic Defence Doctrine;Very High;M14081;x
514071;Chief of Army;黑尔格 容 ;44;SD;Armoured Spearhead Doctrine;Medium;M7006;x
514072;Chief of Army;佩尔 西尔万 ;36;ML;Static Defence Doctrine;Medium;M7079;x
514073;Chief of Army;奥拉夫 阿弗 诺尔格 ;41;ML;Elastic Defence Doctrine;Very High;M14081;x
514074;Chief of Army;维戈 亚尔弗 ;45;ML;Guns and Butter Doctrine;Low;L9531;x
514075;Chief of Navy;亨利 戴森 ;37;SD;Decisive Naval Battle Doctrine;Medium;M14083;x
514076;Chief of Navy;卡尔 哈梅里希 ;41;SD;Base Control Doctrine;Very High;M16121;x
514077;Chief of Navy;格斯塔 埃伦斯韦德 ;43;SD;Indirect Approach Doctrine;Medium;M7087;x
514078;Chief of Navy;埃里克 帕姆斯蒂纳 ;36;ML;Base Control Doctrine;Medium;M7050;x
514079;Chief of Navy;汉斯 科内柳森 ;41;ML;Indirect Approach Doctrine;Medium;M14086;x
514080;Chief of Navy;E B 德克雷弗克 ;45;ML;Power Projection Doctrine;High;M16120;x
514081;Chief of Air Force;亚尔马 里瑟尔-拉森 ;37;SD;Air Superiority Doctrine;Medium;M14089;x
514082;Chief of Air Force;延斯 奥托 克拉格 ;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
514083;Chief of Air Force;阿克塞尔 永达尔 ;44;SD;Naval Aviation Doctrine;Very High;M7092;x
514084;Chief of Air Force;特吕格弗 克林根贝格 ;37;ML;Army Aviation Doctrine;Medium;M14093;x
514085;Chief of Air Force;本特 努登舍尔德 ;42;ML;Vertical Envelopment Doctrine;High;M7070;x
514086;Chief of Air Force;卡伊 比克斯滕 ;45;ML;Air Superiority Doctrine;Very High;M16129;x
514011;Head of State;维德昆 吉斯林 ;36;FA;Powerhungry Demagogue;High;M14012;x
514012;Head of Government;马丁 埃克斯特伦 ;36;FA;Naive Optimist;High;M7011;x
514013;Foreign Minister;埃里克 冯 罗森 ;36;FA;Ideological Crusader;Very High;M7013;x
514014;Minister of Armament;弗里茨 克劳森 ;36;FA;Infantry Proponent;High;M16011;x
514015;Minister of Security;斯文 埃丹 ;36;FA;Back Stabber;Very High;M7015;x
514016;Head of Military Intelligence;波尔 佐默 ;36;FA;Dismal Enigma;High;M16016;x
514017;Chief of Staff;康拉德 松德洛 ;36;FA;School of Manoeuvre;High;M14018;x
514018;Chief of Army;弗里茨 冯 沙尔堡 ;36;FA;Guns and Butter Doctrine;Low;M16018;x
514019;Chief of Navy;贝特尔 布鲁恩 ;36;FA;Open Seas Doctrine;Medium;M14019;x
514020;Chief of Air Force;阿克塞尔 于伦克罗克 ;36;FA;Army Aviation Doctrine;Low;M7020;x
514021;Head of State;亚当 埃格德 尼森 ;36;ST;Insignificant Layman;High;M14021;x
514022;Head of Government;阿克塞尔 拉森 ;36;ST;Backroom Backstabber;High;M16021;x
514023;Foreign Minister;佩德 菲吕博滕 ;36;ST;Ideological Crusader;Medium;M14023;x
514024;Minister of Armament;阿尔弗雷德 詹森 ;36;ST;Tank Proponent;High;M16024;x
514025;Minister of Security;克努兹 耶斯佩森 ;36;ST;Man of the People;High;M16086;x
514026;Head of Military Intelligence;斯文 林德罗特 ;36;ST;Naval Intelligence Specialist;High;M7021;x
514027;Chief of Staff;阿恩 高斯拉 ;36;ST;School of Defence;High;M14027;x
514028;Chief of Army;阿克塞尔 彼得松 ;36;ST;Decisive Battle Doctrine;Very High;unknown;x
514029;Chief of Navy;斯库莱 斯托黑尔 ;36;ST;Decisive Naval Battle Doctrine;Medium;M14029;x
514030;Chief of Air Force;克里斯特 雷乌特斯韦德 ;36;LWR;Army Aviation Doctrine;Low;unknown;x
514087;Foreign Minister;斯文 奥洛夫 林霍尔姆;40;NS;Ideological Crusader;Medium;M_SWE_Sven_Olov_Lindholm;x
514088;Chief of Air Force;托尔斯滕 拉普;51;SD;Air Superiority Doctrine;High;M_SWE_Torsten_Rapp;x
514089;Chief of Army;尼尔斯 斯韦德隆德 ;50;ML;Armoured Spearhead Doctrine;High;M_SWE_Nils_Swedlund;x 
514090;Minister of Security;比格尔 弗洛德;36;NS;Back Stabber;Medium;M_SWE_Birger_Furug錼d;x
514091;Foreign Minister;比格尔 弗洛德;33;NS;Apologetic Clerk;Medium;M_SWE_Birger_Furug錼d;x
514092;Minister of Security;凯 伦布克;36;NS;Crooked Kleptocrat;Medium;M_DEN_CayLembcke;x
514093;Chief of Staff;森 卡姆;44;NS;School of Manoeuvre;Medium;M_DEN_S鴕enKam;x
514094;Minister of Security;森 卡姆;48;NS;Back Stabber;Medium;M_DEN_S鴕enKam;x
514095;Minister of Security;埃里克 埃里克森 ;44;SL;Man of the People;High;M_DEN_ErikEriksen;x
514096;Head of Government;埃里克 埃里克森 ;50;SL;Ambitious Union Boss;High;M_DEN_ErikEriksen;x
514097;Foreign Minister;波尔 哈特林;57;SL;Great Compromiser;High;M_DEN_PoulHartling;x
514098;Foreign Minister;阿恩 蒙克-彼得森;37;LE;Ideological Crusader;High;M_DEN_ArneMPetersen;x
514099;Minister of Security;阿恩 蒙克-彼得森;36;LE;Silent Lawyer;High;M_DEN_ArneMPetersen;x
514100;Chief of Army;森 卡姆;51;NS;Armoured Spearhead Doctrine;Medium;M_DEN_S鴕enKam;x
