IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
59001;Head of State;林利思戈勋爵 维克托 ;36;ML;Stern Imperialist;High;M59001;x
59002;Head of Government;约翰 爱德华 戈莱特利 ;36;ML;Silent Workhorse;High;M59002;x
59003;Foreign Minister;伊伦德拉 瓦亚弗拉萨塔 爵士 ;36;ML;Iron Fisted Brute;High;M59003;x
59004;Minister of Armament;安扬 布拉 ;36;ML;Air Superiority Proponent;Very High;M59004;x
59005;Minister of Security;乔治 H 道格拉斯 ;36;ML;Man of the People;Medium;M59005;x
59006;Head of Military Intelligence;阿齐博尔德 安格斯 ;36;ML;Political Specialist;Very High;M59006;x
59007;Chief of Staff;林利思戈勋爵 维克托 ;36;ML;School of Defence;Medium;M59007;x
59008;Chief of Army;亚瑟 A 巴雷特 ;36;ML;Static Defence Doctrine;High;M59008;x
59009;Chief of Navy;威廉 E 帕里 ;36;ML;Power Projection Doctrine;Very High;L1378;x
59010;Chief of Air Force;布鲁斯 W 麦克弗森 ;36;ML;Vertical Envelopment Doctrine;High;M59010;x
59031;Head of State;拉金德拉 普拉萨德 ;50;SD;Weary Stiffneck;High;M59031;x
59032;Head of State;马勒科特拉的 巴哈杜尔 巴斯拉姆 ;36;SL;Pig-headed Isolationist;High;M59032;x
59033;Head of State;路易斯 蒙巴顿 勋爵 ;45;SL;Popular Figurehead;High;M59033;x
59034;Head of State;阿齐博尔德 韦弗尔 ;42;ML;Resigned Generalissimo;High;M59034;x
59035;Head of State;拉什贝哈里 巴苏 ;36;PA;Insignificant Layman;High;M59016;x
59037;Head of Government;马哈特马 莫汉达斯 甘地 ;36;SD;Silent Workhorse;High;M59037;x
59038;Head of Government;迈克尔 莫里斯 ;36;SL;Happy Amateur;High;M59038;x
59039;Head of Government;约翰 马塔伊博士 ;45;SL;Corporate Suit;High;M59039;x
59040;Head of Government;巴瓦拉普的 纳博布 库雷希 ;42;ML;Smiling Oilman;High;M59040;x
59041;Head of Government;穆罕默德 伊克巴勒 爵士 ;36;PA;Backroom Backstabber;High;M59041;x
59043;Foreign Minister;苏巴斯 钱德拉 博斯 ;36;SD;The Cloak N Dagger Schemer;High;M59011;x
59044;Foreign Minister;阿南塔萨亚南 阿扬加尔 ;37;SD;Great Compromiser;Low;M59044;x
59045;Foreign Minister;萨拉特 钱德拉 博斯 ;41;SD;Biased Intellectual;Very High;M59045;x
