BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
43001;Head of State;乔斯 特哈达 索尔萨诺 ;36;SL;Weary Stiffneck;High;M43001;x
43002;Head of Government;乔斯 特哈达 索尔萨诺 ;36;SL;Smiling Oilman;High;M43001;x
43003;Foreign Minister;若泽 马里亚 古铁雷斯 ;36;SL;Iron Fisted Brute;High;M43003;x
43004;Minister of Armament;莫里茨 霍克希尔德 ;36;SL;Laissez Faires Capitalist;Medium;M43004;x
43005;Minister of Security;若泽 桑托斯 金特罗斯 ;36;SL;Compassionate Gentleman;High;M43005;x
43006;Head of Military Intelligence;卡洛斯 阿尔塔米拉诺 ;36;SL;Dismal Enigma;Medium;M43006;x
43007;Chief of Staff;瓜尔贝托 比利亚罗埃尔 洛佩斯 ;36;SL;School of Fire Support;Very Low;M43007;x
43008;Chief of Army;汉斯 孔特 ;36;SL;Decisive Battle Doctrine;Medium;M43008;x
43009;Chief of Navy;吉尔 伊巴拉 华雷斯 ;36;SL;Indirect Approach Doctrine;Medium;M43009;x
43010;Chief of Air Force;赫克托 毕尔巴鄂 罗亚 ;36;SL;Army Aviation Doctrine;Medium;M43010;x
43031;Head of State;恩里克 菲诺 ;36;SD;Pig-headed Isolationist;High;M43031;x
43032;Head of State;格尔曼 布施 贝塞拉 ;37;SD;Popular Figurehead;High;M43032;x
43033;Head of State;拉斐尔 弗朗哥 拉菲尔 ;36;SL;Benevolent Gentleman;High;M43033;x
43034;Head of State;瓦尔多 贝尔蒙德 普尔 ;38;SL;Insignificant Layman;High;M43034;x
43035;Head of State;内斯托尔 吉扬 奥尔莫斯 ;44;SL;Autocratic Charmer;High;M43035;x
43036;Head of State;阿巴顿 萨韦德拉 马列亚 ;36;SC;Stern Imperialist;High;M43036;x
43037;Head of State;卡洛斯 金塔尼利亚 基罗加 ;38;SC;Resigned Generalissimo;High;M43037;x
43038;Head of State;西蒙 I. 帕蒂诺 ;40;SC;Powerhungry Demagogue;High;M43038;x
43039;Head of State;托马斯 蒙耶 古铁雷斯 ;45;SC;Ruthless Powermonger;High;M43039;x
43040;Head of State;欧塞比奥 阿亚拉 ;43;LWR;Barking Buffoon;High;M43040;x
43041;Head of State;瓜尔贝托 比利亚罗埃尔 洛佩斯 ;44;LWR;Resigned Generalissimo;High;M43007;x
43042;Head of State;维克托 帕斯 埃斯登索罗 ;46;SD;Powerhungry Demagogue;High;M43042;x
43043;Head of State;吉耶尔莫 洛拉 ;36;LE;Insignificant Layman;High;M43021;x
43044;Head of State;丹尼尔 桑切斯 巴斯塔曼特 ;44;ST;Autocratic Charmer;High;M43023;x
43045;Head of State;恩里克 佩纳兰达 卡斯蒂略 ;39;PA;Stern Imperialist;High;M43045;x
43046;Head of State;格尔曼 布特龙 ;36;FA;Resigned Generalissimo;High;M43011;x
43047;Head of State;埃德温 默勒 ;44;FA;Popular Figurehead;High;M43015;x
43048;Head of Government;大卫 托罗 鲁伊洛瓦 ;36;SD;Old General;High;M43048;x
43049;Head of Government;格尔曼 布施 贝塞拉 ;37;SD;Naive Optimist;High;M43032;x
43050;Head of Government;阿巴顿 萨韦德拉 马列亚 ;36;SC;Flamboyant Tough Guy;High;M43036;x
43051;Head of Government;卡洛斯 金塔尼利亚 基罗加 ;38;SC;Old General;High;M43037;x
43052;Head of Government;西蒙 I. 帕蒂诺 ;40;SC;Corporate Suit;High;M43038;x
43053;Head of Government;恩里克 赫佐格 加赖萨瓦尔 ;45;SC;Silent Workhorse;High;M43053;x
43054;Head of Government;拉斐尔 弗朗哥 拉菲尔 ;36;SL;Naive Optimist;High;M43033;x
43055;Head of Government;瓦尔多 贝尔蒙德 普尔 ;39;SL;Happy Amateur;High;M43034;x
43056;Head of Government;朱利安 蒙特拉诺 卡拉斯科 ;44;SL;Political Protege;High;M43056;x
43057;Head of Government;欧塞比奥 阿亚拉 ;43;LWR;Ambitious Union Boss;High;M43040;x
43058;Head of Government;瓜尔贝托 比利亚罗埃尔 洛佩斯 ;44;LWR;Old General;High;M43007;x
43059;Head of Government;维克托 帕斯 埃斯登索罗 ;46;LWR;Corporate Suit;High;M43042;x
43060;Head of Government;吉耶尔莫 洛拉 ;36;ST;Happy Amateur;High;M43021;x
43061;Head of Government;丹尼尔 桑切斯 巴斯塔曼特 ;44;ST;Political Protege;High;M43023;x
43062;Head of Government;恩里克 佩纳兰达 卡斯蒂略 ;39;PA;Flamboyant Tough Guy;High;M43045;x
43063;Head of Government;乔治 帕蒂诺斯 ;43;PA;Corporate Suit;High;M43063;x
43064;Head of Government;格尔曼 布特龙 ;36;FA;Old General;High;M43011;x
43065;Head of Government;埃德温 默勒 ;44;FA;Corporate Suit;High;M43015;x
43066;Foreign Minister;路易斯 瓜查利亚 索拉雷斯 ;36;SD;Great Compromiser;High;M43066;x
43067;Foreign Minister;恩里克 巴尔迪维索 阿帕里西奥 ;37;SD;General Staffer;Medium;M43067;x
43068;Foreign Minister;卡洛斯 萨利纳斯 阿拉马约 ;38;SD;The Cloak N Dagger Schemer;Medium;M43068;x
43069;Foreign Minister;乔斯 特哈达 索尔萨诺 ;36;SL;Great Compromiser;Medium;M43001;x
43070;Foreign Minister;拉斐尔 弗朗哥 拉菲尔 ;36;SL;General Staffer;Medium;M43033;x
43071;Foreign Minister;弗朗切斯科 皮耶里尼 ;38;SL;Biased Intellectual;Medium;M43071;x
43072;Foreign Minister;托马斯 曼努埃尔 埃利奥 ;43;SL;Great Compromiser;Low;M43072;x
43073;Foreign Minister;恩里克 赫佐格 加赖萨瓦尔 ;46;SL;Apologetic Clerk;Medium;M43053;x
43074;Foreign Minister;阿巴顿 萨韦德拉 马列亚 ;36;SC;Apologetic Clerk;High;M43036;x
43077;Foreign Minister;胡戈 巴利维安 罗雅斯 ;47;SC;General Staffer;Medium;M43077;x
43078;Foreign Minister;阿尔贝托 奥斯特里亚 古铁雷斯 ;39;PA;Apologetic Clerk;Medium;M43075;x
43079;Foreign Minister;爱德华多 安塞 马蒂恩索 ;42;PA;The Cloak N Dagger Schemer;High;M43076;x
43080;Foreign Minister;托马斯 曼努埃尔 埃利奥 ;43;PA;Great Compromiser;Low;M43072;x
43081;Foreign Minister;胡安 米琴 ;36;FA;The Cloak N Dagger Schemer;High;M43013;x
43083;Foreign Minister;法比安 巴卡 查维斯 ;40;PA;Biased Intellectual;Low;M43082;x
43084;Foreign Minister;西蒙 I. 帕蒂诺 ;43;FA;The Cloak N Dagger Schemer;Medium;M43038;x
43085;Foreign Minister;格尔曼 布特龙 ;44;FA;Ideological Crusader;Low;M43011;x
43086;Foreign Minister;阿尔贝托 迪茨 德 梅迪纳 ;38;LWR;Biased Intellectual;Medium;M43086;x
43087;Foreign Minister;维克托 帕斯 埃斯登索罗 ;43;LWR;Biased Intellectual;Medium;M43042;x
43088;Foreign Minister;若泽 弗朗茨 塔马约 ;44;LWR;Ideological Crusader;Medium;M43088;x
43089;Foreign Minister;恩里克 巴尔迪维索 阿帕里西奥 ;44;LWR;General Staffer;Medium;M43067;x
43090;Foreign Minister;古斯塔沃 查孔 莫拉莱斯 ;44;LWR;The Cloak N Dagger Schemer;Medium;M43090;x
43091;Foreign Minister;若泽 平托 桑切斯 ;45;LWR;Iron Fisted Brute;Medium;M43091;x
43092;Foreign Minister;阿尼塞托 索拉雷斯 ;45;LWR;Great Compromiser;Medium;M43092;x
43093;Foreign Minister;丹尼尔 桑切斯 巴斯塔曼特 ;36;LE;Iron Fisted Brute;Low;M43023;x
43094;Foreign Minister;罗伯托 伊诺霍萨 ;44;LE;Apologetic Clerk;High;M43024;x
43095;Minister of Armament;恩里克 菲诺 ;36;SD;Air Superiority Proponent;Medium;M43031;x
43098;Minister of Armament;弗朗切斯科 皮耶里尼 ;38;SL;Tank Proponent;Medium;M43071;x
43099;Minister of Armament;赫克托 毕尔巴鄂 罗亚 ;39;SL;Air to Ground Proponent;Medium;M43010;x
43100;Minister of Armament;阿巴顿 萨韦德拉 马列亚 ;40;SL;Air to Sea Proponent;High;M43036;x
43101;Minister of Armament;阿道夫 科斯塔 杜 赖斯 ;41;SL;Military Entrepreneur;Medium;M43101;x
43102;Minister of Armament;内斯托尔 吉扬 奥尔莫斯 ;43;SL;Resource Industrialist;Medium;M43035;x
43103;Minister of Armament;朱利安 蒙特拉诺 卡拉斯科 ;46;SL;Administrative Genius;Medium;M43056;x
43105;Minister of Armament;阿巴顿 萨韦德拉 马列亚 ;39;SC;Theoretical Scientist;Medium;M43036;x
43106;Minister of Armament;西蒙 I. 帕蒂诺 ;40;SC;Resource Industrialist;Medium;M43038;x
43107;Minister of Armament;马里奥 托里斯 ;45;SC;Corrupt Kleptocrat;High;M43014;x
43108;Minister of Armament;大卫 托罗 鲁伊洛瓦 ;40;PA;Corrupt Kleptocrat;Medium;M43048;x
43109;Minister of Armament;卡洛斯 萨利纳斯 阿拉马约 ;41;PA;Military Entrepreneur;Medium;M43068;x
43110;Minister of Armament;法比安 巴卡 查维斯 ;42;PA;Air to Sea Proponent;Low;M43082;x
43111;Minister of Armament;胡戈 巴利维安 罗雅斯 ;43;PA;Infantry Proponent;Medium;M43077;x
43112;Minister of Armament;马里奥 托里斯 ;36;FA;Corrupt Kleptocrat;High;M43014;x
43113;Minister of Armament;阿尔贝托 奥斯特里亚 古铁雷斯 ;38;PA;Air to Ground Proponent;Medium;M43075;x
43114;Minister of Armament;乔治 帕蒂诺斯 ;40;PA;Resource Industrialist;Medium;M43063;x
43115;Minister of Armament;吉尔 伊巴拉 华雷斯 ;43;FA;Submarine Proponent;Medium;M43009;x
43116;Minister of Armament;欧塞比奥 阿亚拉 ;43;LWR;Battle Fleet Proponent;Medium;M43040;x
43117;Minister of Armament;瓦尔特 格韦拉 ;43;LWR;Theoretical Scientist;High;M43096;x
43118;Minister of Armament;恩里克 巴尔迪维索 阿帕里西奥 ;44;LWR;Resource Industrialist;Medium;M43067;x
43119;Minister of Armament;朱利安 蒙特拉诺 卡拉斯科 ;45;LWR;Administrative Genius;Medium;M43056;x
43120;Minister of Armament;阿尔贝托 迪茨 德 梅迪纳 ;46;LWR;Corrupt Kleptocrat;Medium;M43086;x
43121;Minister of Armament;维克托 帕斯 埃斯登索罗 ;47;LWR;Resource Industrialist;Medium;M43042;x
43122;Minister of Armament;罗伯托 伊诺霍萨 ;36;LE;Infantry Proponent;High;M43024;x
43123;Minister of Armament;维尔纳 古滕贝格 ;44;ST;Strategic Air Proponent;Medium;M43123;x
43124;Minister of Security;若泽 弗朗茨 塔马约 ;36;SD;Crime Fighter;Medium;M43088;x
43125;Minister of Security;弗洛里安 桑布拉纳 ;38;SD;Efficient Sociopath;Low;M43125;x
43126;Minister of Security;萨尔瓦托 莫拉莱斯 若雷吉 ;36;SL;Man of the People;Medium;M43126;x
43127;Minister of Security;费利克斯 A 阿罗马约 ;39;SL;Silent Lawyer;Medium;M43127;x
43128;Minister of Security;卡洛斯 萨利纳斯 阿拉马约 ;43;SL;Back Stabber;Medium;M43068;x
43129;Minister of Security;马梅尔托 乌里奥拉戈伊蒂亚 阿里亚格 ;46;SL;Prince of Terror;Medium;M43129;x
43130;Minister of Security;费利克斯 A 阿罗马约 ;36;SC;Silent Lawyer;Medium;M43127;x
43131;Minister of Security;若泽 桑托斯 金特罗斯 ;39;SC;Compassionate Gentleman;High;M43005;x
43132;Minister of Security;爱德华多 安塞 马蒂恩索 ;44;SC;Crooked Kleptocrat;High;M43076;x
43133;Minister of Security;法比安 巴卡 查维斯 ;45;SC;Prince of Terror;Low;M43082;x
43134;Minister of Security;卡洛斯 布兰科 加林多 ;47;SC;Crooked Kleptocrat;Medium;M43134;x
43135;Minister of Security;莫里茨 霍克希尔德 ;39;PA;Compassionate Gentleman;Medium;M43004;x
43136;Minister of Security;西蒙 I. 帕蒂诺 ;40;PA;Crime Fighter;Medium;M43038;x
43137;Minister of Security;阿尔贝托 奥斯特里亚 古铁雷斯 ;42;PA;Back Stabber;Medium;M43075;x
43138;Minister of Security;卡洛斯 萨利纳斯 阿拉马约 ;43;PA;Prince of Terror;Medium;M43068;x
43139;Minister of Security;埃德温 默勒 ;36;FA;Prince of Terror;High;M43015;x
43141;Minister of Security;维克托 帕斯 埃斯登索罗 ;37;LWR;Man of the People;Medium;M43042;x
43142;Minister of Security;路易斯 瓜查利亚 索拉雷斯 ;43;LWR;Back Stabber;High;M43066;x
43143;Minister of Security;瓦尔特 格韦拉 ;43;LWR;Prince of Terror;High;M43096;x
43144;Minister of Security;阿尔贝托 迪茨 德 梅迪纳 ;44;LWR;Crooked Kleptocrat;Medium;M43086;x
43145;Minister of Security;恩里克 巴尔迪维索 阿帕里西奥 ;46;LWR;Efficient Sociopath;Medium;M43067;x
43146;Minister of Security;贡纳尔 门多萨 洛扎 ;47;LWR;Compassionate Gentleman;Medium;M43146;x
43147;Minister of Security;胡安 莱钦 奥肯多 ;36;ST;Back Stabber;Medium;M43025;x
43149;Head of Military Intelligence;维克托 帕斯 埃斯登索罗 ;36;SD;Political Specialist;Medium;M43042;x
43150;Head of Military Intelligence;若泽 马里亚 古铁雷斯 ;36;SL;Industrial Specialist;High;M43003;x
43151;Head of Military Intelligence;弗朗切斯科 皮耶里尼 ;43;SL;Political Specialist;Medium;M43071;x
43152;Head of Military Intelligence;阿尼塞托 索拉雷斯 ;46;SL;Dismal Enigma;Medium;M43092;x
43153;Head of Military Intelligence;卡洛斯 维克托 阿拉马约 ;36;SC;Technical Specialist;Very High;M43068;x
43154;Head of Military Intelligence;爱德华多 安塞 马蒂恩索 ;39;SC;Political Specialist;High;M43076;x
