U81;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800100;Head of State;莫里斯 亚梅奥果 ;44;SD;Die-hard Reformer;Very High;uppervolta1;x
800101;Head of State;纳布拉巴·考姆二世;34;SC;Benevolent Gentleman;Very High;unknown;x
800102;Head of Government;纳布拉巴·提格雷;34;PA;Silent Workhorse;Very High;uppervolta5;x
800103;Head of Government;莫里斯 亚梅奥果 ;44;SD;Silent Workhorse;Very High;uppervolta1;x
800104;Head of Government;丹尼尔·韦津·库利巴利;39;LWR;Naive Optimist;Very High;uppervolta2;x
800105;Foreign Minister;福尼尔;34;SL;Apologetic Clerk;Very High;unknown;x
800106;Foreign Minister;隆波洛;45;SD;The Cloak N Dagger Schemer;Very High;unknown;x
800107;Foreign Minister;莫里斯 亚梅奥果 ;44;SD;Iron Fisted Brute;Very High;uppervolta1;x
800108;Foreign Minister;纳兹·伯尼;44;LE;Ideological Crusader;Very High;unknown;x
800109;Minister of Armament;拉瓦纳·谢尔盖;44;SL;Military Entrepreneur;Very High;L24129;x
800110;Minister of Armament;纳布拉巴·考姆二世;34;SC;Administrative Genius;Very High;unknown;x
800111;Minister of Security;纳布拉巴·雅姆巴;34;PA;Prince of Terror;Very High;unknown;x
800112;Minister of Security;丹尼尔·韦津·库利巴利;39;LWR;Compassionate Gentleman;Very High;uppervolta2;x
800113;Minister of Security;保罗·宗格拉纳;42;SD;Man of the People;Very High;unknown;x
800114;Minister of Security;约瑟夫·科伦坡;48;LWR;Compassionate Gentleman;Very High;unknown;x
800115;Head of Military Intelligence;丹尼尔·韦津·库利巴利;39;LWR;Logistics Specialist;Very High;uppervolta2;x
800116;Head of Military Intelligence;纳布拉巴·雅姆巴;34;PA;Logistics Specialist;Very High;unknown;x
800117;Chief of Staff;拉瓦纳·谢尔盖;44;ML;School of Defence;Very High;L24129;x
800118;Chief of Staff;桑古尔·拉米扎纳;43;SL;School of Defence;Very High;unknown;x
800119;Chief of Army;桑古尔·拉米扎纳;43;SL;Elastic Defence Doctrine;Very High;unknown;x
800120;Chief of Army;拉瓦纳·谢尔盖;44;ML;Decisive Battle Doctrine;Very High;L24129;x
800121;Chief of Navy;菲利普·泰莱芝;39;ML;Open Seas Doctrine;Very High;uppervolta6;x
800122;Chief of Air Force;皮埃尔·克洛斯特曼;44;ML;Air Superiority Doctrine;Very High;uppervolta3;x
