U75;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700500;Head of State;珊顿·托马斯爵士;36;ML;Autocratic Charmer;Very High;singapore1;x
700501;Head of State;陈嘉庚;36;ST;Pig-headed Isolationist;Very High;singapore10;x
700502;Head of State;林文庆;36;PA;Popular Figurehead;Very High;singapore7;x
700503;Head of Government;珊顿·托马斯爵士;36;ML;Silent Workhorse;Very High;singapore1;x
700504;Head of Government;林文庆;36;PA;Happy Amateur;Very High;singapore7;x
700505;Head of Government;戴维·索尔·马歇尔;36;LWR;Ambitious Union Boss;Very High;singapore11;x
700506;Foreign Minister;珊顿·托马斯爵士;36;ML;Biased Intellectual;Very High;singapore1;x
700507;Foreign Minister;林有福 ;36;LE;Great Compromiser;Very High;singapore12;x
700508;Foreign Minister;林谋盛;36;SC;General Staffer;Very High;singapore9;x
700509;Minister of Armament;李光前;36;SL;Resource Industrialist;Very High;singapore2;x
700510;Minister of Armament;陈六使;36;SC;Laissez Faires Capitalist;Very High;singapore8;x
700511;Minister of Armament;陈嘉庚;36;ST;Resource Industrialist;Very High;singapore10;x
700512;Minister of Security;富兰克林·查尔斯·吉布森;36;ML;Prince of Terror;Very High;singapore3;x
700513;Minister of Security;林文庆;36;PA;Man of the People;Very High;singapore7;x
700514;Minister of Security;林有福 ;36;LE;Efficient Sociopath;Very High;singapore12;x
700515;Head of Military Intelligence;富兰克林·查尔斯·吉布森;36;ML;Political Specialist;Very High;singapore3;x
700516;Head of Military Intelligence;林有福 ;36;LE;Political Specialist;Very High;singapore12;x
700517;Chief of Staff;林谋盛;36;SC;School of Mass Combat;Very High;singapore9;x
700518;Chief of Staff;大卫 S 马歇尔 ;36;LWR;School of Defence;Very High;singapore11;x
700519;Chief of Staff;罗伯特 布鲁克-波帕姆 ;36;ML;School of Psychology;Very High;singapore4;x
700520;Chief of Army;林谋盛;36;SC;Decisive Battle Doctrine;Very High;singapore9;x
700521;Chief of Army;大卫 S 马歇尔 ;36;LWR;Guns and Butter Doctrine;Very High;singapore11;x
700522;Chief of Army;阿瑟·欧内斯特·珀西瓦尔;36;ML;Static Defence Doctrine;Very High;singapore5;x
700523;Chief of Navy;汤姆·菲利普斯;36;SL;Power Projection Doctrine;Very High;singapore6;x
700524;Chief of Air Force;帕特里克·希南;36;PA;Army Aviation Doctrine;Very High;unknown;x
700525;Chief of Air Force;罗伯特 布鲁克-波帕姆 ;36;ML;Army Aviation Doctrine;Very High;singapore4;x
