CYP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
560001;Head of State;威廉 D 巴特希尔爵士 ;36;ML;Die-hard Reformer;High;M560001;x
560002;Head of Government;温斯特勋爵 雷吉纳尔德爵士 ;36;ML;Naive Optimist;High;M560002;x
560003;Foreign Minister;赫伯特 帕尔默爵士 ;36;ML;General Staffer;High;M560003;x
560004;Minister of Armament;罗德里克 麦克塔尔 ;36;ML;Military Entrepreneur;Medium;M560004;x
560005;Minister of Security;休 麦金托什 富特爵士 ;36;ML;Silent Lawyer;Medium;M560005;x
560006;Head of Military Intelligence;罗德里克 芬威克-帕尔默 ;36;ML;Industrial Specialist;Medium;M560006;x
560007;Chief of Staff;安德鲁 巴克沃思 赖特 ;36;ML;School of Mass Combat;Medium;M560007;x
560008;Chief of Army;约翰 哈丁 ;36;ML;Decisive Battle Doctrine;Medium;M560008;x
560009;Chief of Navy;奥蒙德 诺维尔 ;36;ML;Decisive Naval Battle Doctrine;Medium;M560009;x
560010;Chief of Air Force;威廉 D 巴特希尔爵士 ;36;ML;Vertical Envelopment Doctrine;Medium;M560001;x
560011;Head of State;H.H. 马卡里奥斯 三世. ;36;LWR;Autocratic Charmer;High;M560011;x
560012;Head of State;法泽尔 屈祖克博士 ;36;PA;Insignificant Layman;High;M560012;x
560013;Head of Government;埃莱乌塞里奥斯 科斯马托普洛斯 ;36;LWR;Corporate Suit;High;M560013;x
560014;Head of Government;艾塔克 巴图尔 ;36;PA;Backroom Backstabber;High;M560014;x
560015;Foreign Minister;哈里劳斯 阿加皮亚斯 ;36;LWR;Ideological Crusader;High;M560015;x
560016;Foreign Minister;哈伊里 伊纳尔哲克 ;36;PA;Biased Intellectual;High;M560016;x
560017;Minister of Armament;特拉亚诺斯 巴西利亚科斯 ;36;LWR;Battle Fleet Proponent;Medium;M560017;x
560018;Minister of Armament;索姆斯 特雷弗-罗普金斯 ;36;PA;Theoretical Scientist;Medium;M560018;x
560019;Minister of Security;迪格尼斯 格里瓦斯 ;36;LWR;Prince of Terror;Medium;M560019;x
560020;Minister of Security;帕尔默 麦基诺尔蒂 ;36;PA;Compassionate Gentleman;Medium;M560020;x
560021;Head of Military Intelligence;叶列费里德斯 克莱里季斯 ;36;LWR;Dismal Enigma;Medium;M560021;x
560022;Head of Military Intelligence;理查德 彼得维茨克 ;36;PA;Political Specialist;Medium;M560022;x
560023;Chief of Staff;焦尔焦斯 西拉迪基斯 ;36;LWR;School of Fire Support;Medium;M560023;x
560024;Chief of Staff;穆罕默德 哈拉姆 帕夏 ;36;PA;School of Manoeuvre;Medium;L549028;x
560025;Chief of Army;迪格尼斯 格里瓦斯 ;36;LWR;Guns and Butter Doctrine;Medium;M560025;x
560026;Chief of Army;卡迪尔 蒙塞夫 贝 ;36;PA;Elastic Defence Doctrine;Medium;M549006;x
560027;Chief of Navy;波洛 米尔托尼亚德斯 ;36;LWR;Base Control Doctrine;Medium;M560027;x
560028;Chief of Navy;奥斯曼 索罗柯科格卢 ;36;PA;Indirect Approach Doctrine;Medium;M560028;x
560029;Chief of Air Force;乔治斯 瓦耶纳斯 ;36;LWR;Naval Aviation Doctrine;Medium;M560029;x
560030;Chief of Air Force;塔夫 奎尔奇 ;36;PA;Air Superiority Doctrine;Medium;M560030;x
