UIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65601;Head of State;À­Âê°ËÊÀ °¢ÄÏËş¡¤ÂêÏ£¶Ø ;36;NS;Stern Imperialist;High;M62001;x
65602;Head of Government;¿í °¢ÅÉÍú ;36;NS;Silent Workhorse;High;M62036;x
65603;Foreign Minister;ÅËĞÁ ;36;NS;Biased Intellectual;High;M541025;x
65604;Foreign Minister;µ¤¶« ;36;NS;Ideological Crusader;High;M563019;x
65605;Foreign Minister;ÅÁÒ® ¼¯ËşÄÉËÎ¿¨ß· ;36;NS;Apologetic Clerk;Medium;M62026;x
65606;Foreign Minister;¿­É½ ·áÍşºº ;36;NS;Iron Fisted Brute;High;M540020;x
65607;Foreign Minister;ÀïÂÌ ²ÂÒ®ÄÏ ;36;NS;Great Compromiser;Low;M62014;x
65608;Foreign Minister;¼ªÉ³ ³µ´ï ;36;NS;General Staffer;High;M541026;x
65609;Foreign Minister;ËûÍú Ì½Â¡ÄÇÍßÉ³Íß ;36;NS;The Cloak N Dagger Schemer;Medium;M62029;x
65610;Minister of Armament;ËÕÍòÄÉÀ­ ;36;NS;Administrative Genius;Medium;M540009;x
65611;Minister of Armament;ÅûÒ® ²¼ÀïÄÉÍßÀ­Ë¹ ;36;NS;Resource Industrialist;Medium;M62059;x
65612;Minister of Armament;ÀèÎÄ»ô ;36;NS;Theoretical Scientist;Medium;M542027;x
65613;Minister of Armament;ÀïÂÌ ²ÂÒ®ÄÏ ;36;NS;Laissez Faires Capitalist;Low;M62014;x
65614;Minister of Armament;ÀèËñ ;36;NS;Military Entrepreneur;Medium;M542030;x
65615;Minister of Armament;°º¼¾ ;36;NS;Battle Fleet Proponent;Medium;M563024;x
65616;Minister of Armament;ÅµÂŞ¶Ø ÅÁÅ¬ÎÌ ;36;NS;Submarine Proponent;Medium;M541032;x
65617;Minister of Armament;±ÈÀï ÅÁÙ¯ÈÙ ;36;NS;Tank Proponent;Low;M62005;x
65618;Minister of Armament;ÎÄÎÌ ÄÉÕ¼°ÍÈû ;36;NS;Infantry Proponent;High;M540010;x
65619;Minister of Armament;ÅÁÒ® ËûÑÇÈ»±Ï¿µ ;36;NS;Air Superiority Proponent;Medium;M62063;x
65620;Minister of Armament;Å©Ğ» ;36;NS;Corrupt Kleptocrat;Medium;M541033;x
65621;Minister of Armament;ÅÁ Íß²îÑïÄÏÉ³Á¢ ;36;NS;Air to Ground Proponent;High;M62010;x
65622;Minister of Armament;öÇ ĞÅÍ½ËÌ¿°²Â ;36;NS;Air to Sea Proponent;Medium;M62069;x
65623;Minister of Armament;ÅÁÒ® ²îÁÖ½Ü ;36;NS;Strategic Air Proponent;Medium;M62061;x
65624;Minister of Security;Ê¢Â× ;36;NS;Silent Lawyer;Medium;M563029;x
65625;Minister of Security;Î÷Ë÷Íß ÓÈµÂÍú ;36;NS;Compassionate Gentleman;Medium;M541005;x
65626;Minister of Security;ÆÓ ÅÁºéÈôÍ¢ ;36;NS;Crime Fighter;Medium;M62002;x
65627;Minister of Security;¿­É½ ·áÍşºº ;36;NS;Prince of Terror;Medium;M540029;x
65628;Minister of Security;¹ş Èı°ÍµÙË¹Á¢ ;36;NS;Back Stabber;Medium;M62003;x
65629;Minister of Security;A N ¸êÈø¶û ;36;NS;Man of the People;Medium;M563027;x
65630;Minister of Security;²¨¶û²¼ÌØ ;36;NS;Efficient Sociopath;Medium;M541014;x
65631;Minister of Security;¹Å °¢ÅÉ ;36;NS;Crooked Kleptocrat;Medium;M540034;x
