MTN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
544001;Head of State;塞库拉 德尔列维奇 ;30;FA;Autocratic Charmer;High;M544001;x
544002;Head of Government;布拉若 久卡诺维奇 ;30;FA;Ambitious Union Boss;High;M544002;x
544003;Foreign Minister;约万 S. 普拉梅尼奇 ;30;FA;Iron Fisted Brute;High;M544003;x
544004;Minister of Armament;欧根 冯 阿尔博里 ;30;FA;Corrupt Kleptocrat;Medium;M544004;x
544005;Minister of Security;柳博 武克切维奇 ;30;FA;Silent Lawyer;Medium;M544005;x
544006;Head of Military Intelligence;米卢廷 博伊茨 ;30;FA;Political Specialist;Medium;M544006;x
544007;Chief of Staff;卢卡 戈伊纳 ;30;FA;School of Psychology;Medium;M544007;x
544008;Chief of Army;安托 格沃兹代诺维奇 ;30;FA;Armoured Spearhead Doctrine;Medium;M544008;x
544009;Chief of Navy;米塔尔 马丁诺维奇 ;30;FA;Open Seas Doctrine;Medium;M544009;x
544010;Chief of Air Force;博拉 托多罗维奇 ;30;FA;Naval Aviation Doctrine;Medium;M544010;x
544011;Head of State;H.R.H. 达尼洛 I 彼得罗娃-涅戈什 ;36;SC;Popular Figurehead;High;M544011;x
544012;Head of State;伊万 里巴尔 ;36;LWR;Pig-headed Isolationist;High;M20093;x
544013;Head of Government;萨沃 切罗维奇 ;36;SC;Political Protege;High;M544013;x
544014;Head of Government;帕夫列 久里希奇 ;36;LWR;Old General;High;M544014;x
544015;Foreign Minister;米塔尔 马丁诺维奇 ;36;FA;General Staffer;High;M544009;x
544016;Foreign Minister;米卢廷 武契内克 ;36;SC;Apologetic Clerk;High;M544016;x
544017;Foreign Minister;约万 杜齐奇 ;36;LWR;The Cloak N Dagger Schemer;High;M544017;x
544018;Minister of Armament;克尔斯特 久里契奇 ;42;FA;Tank Proponent;Medium;M544018;x
544019;Minister of Armament;杜汉 武科维奇 ;36;SC;Air to Sea Proponent;Medium;M544019;x
544020;Minister of Armament;戈采 科利切夫斯基 ;36;LWR;Infantry Proponent;Medium;M544020;x
544021;Minister of Security;卡尔 沃尔夫 ;42;FA;Efficient Sociopath;Medium;M544021;x
544022;Minister of Security;米特罗凡 班恩 ;36;SC;Back Stabber;Medium;M544022;x
544023;Minister of Security;伊万 格文科夫斯基 ;36;LWR;Prince of Terror;Medium;M544023;x
544024;Head of Military Intelligence;米尔科 蒂尔库维奇 ;36;SC;Dismal Enigma;Medium;M544024;x
544025;Head of Military Intelligence;基罗 菲利波维奇 ;36;LWR;Industrial Specialist;Medium;M544025;x
544026;Chief of Staff;巴尔塔萨 乌利亚雷维奇 ;36;SC;School of Mass Combat;Medium;M544026;x
544027;Chief of Staff;帕夫列 久里希奇 ;36;LWR;School of Defence;Medium;M544014;x
544028;Chief of Army;威廉 贝伦特 ;42;FA;Static Defence Doctrine;Medium;M544028;x
544029;Chief of Army;博日达 扬科维奇 ;36;SC;Guns and Butter Doctrine;Medium;M544029;x
544030;Chief of Army;米兰 凯里克 ;36;LWR;Elastic Defence Doctrine;Medium;M544030;x
544031;Chief of Navy;叶夫根尼 波波维奇 ;36;SC;Decisive Naval Battle Doctrine;Medium;M544031;x
544032;Chief of Navy;久拉吉 内格罗斯 ;36;LWR;Indirect Approach Doctrine;Medium;M544032;x
544033;Chief of Air Force;布兰科 彼得罗维奇 ;36;SC;Air Superiority Doctrine;Medium;M544033;x
544034;Chief of Air Force;斯洛博丹 约万诺维奇 ;36;LWR;Vertical Envelopment Doctrine;Medium;M544034;x
544035;Chief of Army;克尔斯托 左诺福 波波维奇;37;PA;Elastic Defence Doctrine;High;M_MTN_Popovic;x
544036;Foreign Minister;克尔斯托 左诺福 波波维奇;40;PA;General Staffer;High;M_MTN_Popovic;x
