CAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
572001;Head of State;弗兰克 芬利 梅里亚姆 ;36;PA;Die-hard Reformer;High;M572001;x
572002;Head of Government;卡伯特 利维 奥尔松 ;36;PA;Smiling Oilman;High;M572002;x
572003;Foreign Minister;弗兰克 E. 霍曼 ;36;PA;Great Compromiser;High;M572003;x
572004;Minister of Armament;安杰洛 罗西 ;36;PA;Corrupt Kleptocrat;Medium;M572004;x
572005;Minister of Security;帕特里克 J. 奎因 ;36;PA;Crooked Kleptocrat;Medium;M572005;x
572006;Head of Military Intelligence;佩尔西 本布赫 ;36;PA;Naval Intelligence Specialist;Medium;M572006;x
572007;Chief of Staff;赫伯特 R. 坦普尔 ;36;PA;School of Mass Combat;Medium;M572007;x
572008;Chief of Army;吉恩 D. 詹姆斯 ;36;PA;Decisive Battle Doctrine;Medium;M572008;x
572009;Chief of Navy;约瑟夫 雷韦斯 ;36;PA;Power Projection Doctrine;Medium;L60458;x
572010;Chief of Air Force;勒罗伊 文戈维克 ;36;PA;Vertical Envelopment Doctrine;Medium;M572010;x
572011;Foreign Minister;弗兰克 L. 肖 ;38;PA;Apologetic Clerk;High;M572011;x
572012;Foreign Minister;大卫 普雷斯科特 伯罗斯 ;40;PA;General Staffer;High;M572012;x
572013;Foreign Minister;伯爵 瓦伦 ;44;PA;Ideological Crusader;High;M572013;x
572014;Minister of Armament;弗莱彻 鲍伦 ;39;PA;Resource Industrialist;Medium;M572014;x
572015;Minister of Armament;亨利 方丹 阿什赫斯特 ;40;PA;Submarine Proponent;Medium;M572015;x
572016;Minister of Armament;哈利 诺克斯 ;42;PA;Administrative Genius;Medium;M572016;x
572017;Minister of Armament;纽厄尔 斯图尔特 ;44;PA;Air to Sea Proponent;Medium;M572017;x
572018;Minister of Security;汤姆 蒙克 ;39;PA;Prince of Terror;Medium;M572018;x
572019;Minister of Security;斯图尔特 尤德尔 ;41;PA;Compassionate Gentleman;Medium;M572019;x
572020;Minister of Security;约翰 多克维勒 ;41;PA;Crime Fighter;Medium;M572020;x
572021;Minister of Security;罗杰 迪尔伯恩 拉帕姆 ;44;PA;Silent Lawyer;Medium;M572021;x
572022;Head of Military Intelligence;亚瑟 D. 弗格森 ;38;PA;Dismal Enigma;Medium;M572022;x
572023;Head of Military Intelligence;道格拉斯 穆尔 ;39;PA;Technical Specialist;Medium;M572023;x
572024;Head of Military Intelligence;亚瑟 C. 弗格森 ;42;PA;Industrial Specialist;Medium;M572024;x
572025;Head of Military Intelligence;罗纳德 里根 ;46;PA;Political Specialist;Medium;M572025;x
572026;Chief of Staff;约翰 J. 哈特尼特 ;42;PA;School of Psychology;Medium;M572026;x
572027;Chief of Army;雷蒙德 C. 伯恩 ;43;PA;Elastic Defence Doctrine;Medium;M572027;x
572028;Chief of Navy;M.H. 多尔曼 ;45;PA;Decisive Naval Battle Doctrine;Medium;M572028;x
572029;Chief of Air Force;罗纳德 E. 舒普曼 ;41;PA;Air Superiority Doctrine;Medium;M572029;x
572030;Chief of Army;詹姆斯·哈罗德·杜立特;41;ML;Static Defence Doctrine;High;M_CAL_Doolittle;x
572031;Chief of Air Force;詹姆斯·哈罗德·杜立特;38;ML;Army Aviation Doctrine;High;M_CAL_Doolittle;x
572032;Minister of Armament;詹姆斯·哈罗德·杜立特;40;ML;Air Superiority Proponent;High;M_CAL_Doolittle;x
572033;Chief of Staff;乔治·史密斯·巴顿;36;SC;School of Manoeuvre;High;M_CAL_GeorgeSmithPatton;x
572034;Chief of Army;乔治·史密斯·巴顿;36;SC;Armoured Spearhead Doctrine;High;M_CAL_GeorgeSmithPatton;x
572035;Minister of Security;理查德 尼克森;46;FA;Efficient Sociopath;Medium;M_CAL_RicardNixon;x
572036;Head of Government;理查德 尼克森;48;FA;Backroom Backstabber;Medium;M_CAL_RicardNixon;x
572037;Chief of Staff;罗伯特 麦克卢尔;42;ML;School of Psychology;High;M_CAL_Robert A. McClure;x
572038;Minister of Security;罗伯特 纳马拉;48;ML;Crime Fighter;High;M_CAL_RobertSMcNamara;x
572039;Chief of Staff;罗伯特 纳马拉;48;ML;School of Defence;High;M_CAL_RobertSMcNamara;x
