U88;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800800;Head of State;霍勒斯 瓦伦丁 克罗奇基亚 ;39;ML;Insignificant Layman;Very High;unknown;x
800801;Head of Government;霍勒斯 瓦伦丁 克罗奇基亚 ;39;ML;Silent Workhorse;Very High;unknown;x
800802;Foreign Minister;让 - 巴蒂斯特·博伊文;39;SC;Biased Intellectual;Very High;unknown;x
800803;Minister of Armament;路易斯 - 古斯塔夫·宾格;36;SC;Infantry Proponent;Very High;ivoire1;x
800804;Minister of Security;路易·瓦奇;40;PA;Man of the People;Very High;unknown;x
800805;Head of Military Intelligence;伯纳德·达迪耶;47;SL;Political Specialist;Very High;ivoire2;x
800806;Chief of Staff;路易斯 - 古斯塔夫·宾格;36;SL;School of Defence;Very High;ivoire1;x
800807;Chief of Army;路易斯 - 古斯塔夫·宾格;36;SL;Elastic Defence Doctrine;Very High;ivoire1;x
800808;Chief of Navy;皮埃尔·斯默;36;SC;Base Control Doctrine;Very High;ivoire3;x
800809;Chief of Air Force;阿尔伯特·阿沙尔;36;SL;Air Superiority Doctrine;Very High;unknown;x
800810;Head of State;费利克斯 乌弗埃-博瓦尼 ;44;SD;Benevolent Gentleman;Very High;ivoire4;x
800811;Head of Government;马塞尔·奥古斯特·丹尼斯;45;LWR;Happy Amateur;Very High;ivoire5;x
800812;Foreign Minister;欧内斯特·博卡;44;SD;Biased Intellectual;Very High;ivoire6;x
800813;Minister of Armament;马塞尔·奥古斯特·丹尼斯;45;LWR;Administrative Genius;Very High;ivoire5;x
800814;Minister of Security;欧内斯特·博卡;44;SD;Silent Lawyer;Very High;ivoire6;x
800815;Head of Military Intelligence;菲利普·格雷戈勒;45;LWR;Political Specialist;Very High;ivoire7;x
800816;Chief of Staff;菲利普·格雷戈勒;45;LWR;School of Psychology;Very High;ivoire7;x
800817;Chief of Staff;皮埃尔·斯默;44;SC;School of Defence;Very High;ivoire3;x
800818;Chief of Army;皮埃尔·斯默;44;SC;Decisive Battle Doctrine;Very High;ivoire3;x
800819;Minister of Security;弗朗索瓦;40;SD;Man of the People;Very High;unknown;x
800820;Minister of Security;菲利普·格雷戈勒;45;LWR;Silent Lawyer;Very High;ivoire7;x
800821;Head of State;伊西·博安萨;43;PA;Popular Figurehead;Very High;unknown;x
800822;Head of Government;Boa 夸西;34;PA;Silent Workhorse;Very High;unknown;x
800823;Head of Military Intelligence;路易·瓦奇;40;PA;Dismal Enigma;Very High;unknown;x
