MLY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
565001;Head of State;斯滕顿 托马斯 爵士 ;36;ML;Weary Stiffneck;High;M565001;x
565002;Head of Government;格拉尔德 W R 坦普勒 爵士 ;36;ML;Old General;High;M565002;x
565003;Foreign Minister;亨利 戈兹沃西 格尼 爵士 ;36;ML;General Staffer;High;M565003;x
565004;Minister of Armament;休 施泰因 弗拉泽 爵士 ;36;ML;Tank Proponent;Medium;M565004;x
565005;Minister of Security;查尔斯 希克斯 ;36;ML;Back Stabber;Medium;M565005;x
565006;Head of Military Intelligence;格拉尔德 E J 根特 爵士 ;36;ML;Technical Specialist;Medium;M565006;x
565007;Chief of Staff;威廉 多比 爵士 ;36;ML;School of Psychology;Medium;M565007;x
565008;Chief of Army;亚瑟 珀西瓦尔 ;36;ML;Static Defence Doctrine;Medium;M565008;x
565009;Chief of Navy;约翰 阿彻利 ;36;ML;Decisive Naval Battle Doctrine;Medium;M565009;x
565010;Chief of Air Force;G T 贾曼 ;36;ML;Air Superiority Doctrine;Medium;M565010;x
565011;Head of State;通库 阿卜杜勒 拉赫曼 ;36;SD;Popular Figurehead;High;M565011;x
565012;Head of State;霹雳州的 伊斯坎德尔一世陛下 ;36;PA;Pig-headed Isolationist;High;M565012;x
565013;Head of Government;大卫 S 马歇尔 ;36;SD;Corporate Suit;High;M565013;x
565014;Head of Government;吉兰丹州的 易卜拉欣四世 ;36;PA;Backroom Backstabber;High;M565014;x
565015;Foreign Minister;陈祯禄 ;36;SD;Great Compromiser;High;M565015;x
565016;Foreign Minister;哈姆扎 乌尔-莱尔 ;36;PA;The Cloak N Dagger Schemer;High;M565016;x
565017;Minister of Armament;阿卜杜勒 拉赫曼 沙阿 ;36;SD;Military Entrepreneur;Medium;M565017;x
565018;Minister of Armament;托马斯 阿什顿 海德 ;41;ML;Resource Industrialist;Medium;M565018;x
565019;Minister of Armament;叶海亚 乌尔-纳伊姆 殿下 ;36;PA;Laissez Faires Capitalist;Medium;M565019;x
565020;Minister of Security;林有福 ;36;SD;Prince of Terror;Medium;M565020;x
565021;Minister of Security;亚瑟 E 扬 ;42;ML;Crime Fighter;Medium;M565021;x
565022;Minister of Security;森美兰州的 端古 穆罕默德 ;36;PA;Efficient Sociopath;Medium;M565022;x
565023;Minister of Security;阿卜杜勒 哈米德 艾哈迈德 ;42;PA;Silent Lawyer;Medium;M565023;x
565024;Head of Military Intelligence;穆罕默德 扬 贝萨尔 ;36;SD;Dismal Enigma;Medium;M565024;x
565025;Head of Military Intelligence;李光耀 ;43;SD;Industrial Specialist;Medium;M565025;x
565026;Head of Military Intelligence;格拉尔德 W R 坦普勒 爵士 ;43;ML;Logistics Specialist;Medium;M565026;x
565027;Head of Military Intelligence;阿卜杜勒 马纳普 本 托洛克 ;36;PA;Political Specialist;Medium;M565027;x
565028;Head of Military Intelligence;淡边的 伊德鲁斯 本 通卡 ;41;PA;Naval Intelligence Specialist;Medium;M565028;x
565029;Chief of Staff;阿卜杜勒 哈米德 沙阿 ;36;SD;School of Defence;Medium;M565029;x
565030;Chief of Staff;图恩 阿卜杜勒 拉赫曼 ;44;SD;School of Manoeuvre;Medium;M565030;x
565031;Chief of Staff;易卜拉欣 阿尔-曼苏尔 ;36;PA;School of Mass Combat;Medium;M565031;x
565032;Chief of Army;穆希布 苏丹 巴德利沙阿 ;36;SD;Guns and Butter Doctrine;Medium;M565032;x
565033;Chief of Army;罗伯特 布鲁克-波帕姆 ;42;ML;Elastic Defence Doctrine;Medium;L1051;x
565034;Chief of Army;格拉尔德 W R 坦普勒 爵士 ;45;ML;Decisive Battle Doctrine;Medium;M565034;x
565035;Chief of Army;玻璃州的 哈鲁 普特拉 ;36;PA;Armoured Spearhead Doctrine;Medium;M565035;x
565036;Chief of Navy;穆罕默德 拉赫曼 阿里 ;36;SD;Base Control Doctrine;Medium;M565036;x
565037;Chief of Navy;玻璃州的 赛义德 乌尔-莱尔 ;36;PA;Open Seas Doctrine;Medium;M565037;x
565038;Chief of Air Force;旺 苏莱曼 ;36;SD;Carpet Bombing Doctrine;Medium;M565038;x
565039;Chief of Air Force;雪兰莪州的 希萨姆二世 ;36;PA;Naval Aviation Doctrine;Medium;M565039;x
