SLO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
31001;Head of State;安德烈 赫林卡 ;36;PA;Barking Buffoon;High;M31001;x
31002;Head of Government;约瑟夫 蒂索 ;36;PA;Happy Amateur;High;M31002;x
31003;Foreign Minister;沃伊捷赫 图卡 ;36;PA;The Cloak N Dagger Schemer;Low;M31003;x
31004;Minister of Armament;帕沃尔 泰普兰斯基 ;36;PA;Theoretical Scientist;Medium;M31004;x
31005;Minister of Security;费迪南德 杜尔钱斯基 ;36;PA;Compassionate Gentleman;Low;M31005;x
31006;Head of Military Intelligence;雅罗斯拉夫 克拉托赫维尔 ;36;PA;Industrial Specialist;High;M31006;x
31007;Chief of Staff;费迪南德 卡特罗斯 ;36;PA;School of Manoeuvre;Low;M31007;x
31008;Chief of Army;奥古斯丁 马拉尔 ;36;PA;Armoured Spearhead Doctrine;High;L70010;x
31009;Chief of Navy;约瑟夫 霍拉 ;36;PA;Decisive Naval Battle Doctrine;Medium;M31009;x
31010;Chief of Air Force;弗里茨 盖扎 ;36;PA;Carpet Bombing Doctrine;Medium;M31010;x
31031;Head of State;约瑟夫 蒂索 ;38;FA;Pig-headed Isolationist;High;M31002;x
31032;Head of State;约瑟夫 蒂索 ;44;NS;Pig-headed Isolationist;High;M31002;x
31033;Head of State;卡罗尔 西多尔 ;45;PA;Popular Figurehead;High;M31033;x
31034;Head of Government;沃伊捷赫 图卡 ;38;FA;Naive Optimist;High;M31003;x
31035;Head of Government;斯特凡 蒂索 ;44;NS;Backroom Backstabber;High;M31035;x
31036;Head of Government;卡罗尔 西多尔 ;45;PA;Silent Workhorse;High;M31033;x
31037;Foreign Minister;费迪南德 杜尔钱斯基 ;38;FA;Great Compromiser;Very Low;M31005;x
31039;Foreign Minister;斯特凡 蒂索 ;44;NS;Biased Intellectual;Very High;M31035;x
31040;Foreign Minister;佩塔尔 伊莱姆尼茨基 ;45;PA;Apologetic Clerk;Very High;M31040;x
31041;Foreign Minister;约瑟夫 库宾 ;46;SC;Apologetic Clerk;Low;M31019;x
31042;Minister of Armament;米库拉什 普鲁任斯基 ;38;FA;Resource Industrialist;Medium;M31042;x
