CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
45001;Head of State;约翰 巴肯爵士 ;36;ML;Benevolent Gentleman;High;M45001;x
45002;Head of Government;麦肯齐 金 ;36;ML;Flamboyant Tough Guy;High;M45002;x
45003;Foreign Minister;麦肯齐 金 ;36;ML;Great Compromiser;Undying;M45002;x
45004;Minister of Armament;伊恩 A 麦肯齐 ;36;ML;Administrative Genius;High;M45004;x
45005;Minister of Security;厄内斯特 拉波恩特 ;36;ML;Crime Fighter;Very High;M45005;x
45006;Head of Military Intelligence;亨利 克里拉尔 ;36;ML;Technical Specialist;High;M45006;x
45007;Chief of Staff;厄内斯特 阿什顿 ;36;ML;School of Fire Support;Very High;M45007;x
45008;Chief of Army;厄内斯特 阿什顿 ;36;ML;Guns and Butter Doctrine;Very High;M45007;x
45009;Chief of Navy;珀西 尼尔斯 ;36;ML;Open Seas Doctrine;Very High;M45009;x
45010;Chief of Air Force;乔治 克罗伊尔 ;36;ML;Carpet Bombing Doctrine;Very High;M45010;x
45033;Head of State;阿德里安 阿卡德 ;36;FA;Barking Buffoon;High;M45011;x
45034;Head of State;蒂姆 布克 ;36;ST;Insignificant Layman;High;M45021;x
45036;Head of Government;理查德 B 贝内特 ;36;SC;Silent Workhorse;High;M45036;x
45037;Head of Government;罗伯特 马尼昂 ;40;SC;Naive Optimist;High;M45037;x
45038;Head of Government;约翰 布雷肯 ;44;SC;Smiling Oilman;High;M45038;x
45039;Head of Government;阿德里安 阿卡德 ;36;FA;Happy Amateur;High;M45011;x
45040;Head of Government;蒂姆 布克 ;36;ST;Ambitious Union Boss;High;M45021;x
45042;Foreign Minister;路易斯 圣劳伦特 ;46;ML;General Staffer;High;M45042;x
45043;Foreign Minister;理查德 B 贝内特 ;36;SC;Iron Fisted Brute;Undying;M45036;x
45044;Foreign Minister;牛顿 韦斯利 罗维尔 ;38;SC;Ideological Crusader;High;M45044;x
45045;Foreign Minister;罗伯特 马尼昂 ;40;SC;Apologetic Clerk;Undying;M45037;x
45046;Foreign Minister;约翰 布雷肯 ;44;SC;Biased Intellectual;Undying;M45038;x
45047;Foreign Minister;阿德里安 阿卡德 ;36;FA;Ideological Crusader;Low;M45011;x
45048;Foreign Minister;安德鲁 格里尼 卡内尔 ;44;PA;Iron Fisted Brute;Medium;M45016;x
45049;Foreign Minister;蒂姆 布克 ;36;ST;The Cloak N Dagger Schemer;Very Low;M45021;x
45050;Foreign Minister;阿曼德 拉瓦尚 ;42;LWR;Biased Intellectual;Medium;M45050;x
45051;Foreign Minister;约翰 列思布里奇 ;45;LE;Ideological Crusader;Medium;M45028;x
45053;Minister of Armament;詹姆斯 拉尔斯顿 ;39;ML;Infantry Proponent;High;M45053;x
45054;Minister of Armament;道格拉斯 S 阿伯特 ;44;ML;Submarine Proponent;Very High;M45054;x
45055;Minister of Armament;拉乌尔 丹杜兰德 ;36;ML;Laissez Faires Capitalist;Low;M45055;x
45056;Minister of Armament;亚瑟 麦根 ;40;SC;Resource Industrialist;High;M45056;x
45057;Minister of Armament;C D 豪 ;40;SC;Administrative Genius;Very High;M45057;x
45058;Minister of Armament;约翰 罗斯 泰勒 ;36;PA;Corrupt Kleptocrat;Very Low;M45014;x
45059;Minister of Armament;塔斯克 库克 ;39;PA;Air to Ground Proponent;Medium;M45059;x
45060;Minister of Armament;查尔斯 J 豪里特 ;42;PA;Infantry Proponent;Medium;M45060;x
45061;Minister of Armament;勒内 圣皮埃尔 ;44;PA;Battle Fleet Proponent;Medium;M45061;x
45062;Minister of Armament;皮埃尔 加农 ;45;PA;Resource Industrialist;Medium;M45062;x
45063;Minister of Armament;马修 波波维奇 ;36;LWR;Tank Proponent;Low;M45024;x
45064;Minister of Armament;威廉 卡什坦 ;38;LE;Resource Industrialist;Low;M45064;x
45065;Minister of Armament;罗伯特 M 爱德华兹 ;41;LWR;Infantry Proponent;Medium;M45065;x
45066;Minister of Armament;鲍伯 曼恩 ;43;LE;Air Superiority Proponent;Medium;M45030;x
45069;Minister of Security;乔治 W 斯蒂芬斯 ;44;ML;Compassionate Gentleman;Medium;M45069;x
45070;Minister of Security;托马斯 A 克里拉尔 ;36;ML;Man of the People;Very High;M45070;x
45071;Minister of Security;戈登 格雷顿 ;40;SC;Silent Lawyer;High;M45071;x
45072;Minister of Security;路易斯 圣劳伦特 ;41;ML;Crime Fighter;High;M45042;x
45073;Minister of Security;约翰 迪芬贝克尔 ;44;SC;Man of the People;High;M45073;x
45074;Minister of Security;查克 克雷特 ;36;PA;Prince of Terror;Medium;M45015;x
45075;Minister of Security;皮埃尔 圣皮埃尔 ;37;PA;Man of the People;Medium;M45075;x
45076;Minister of Security;托马斯 亚当斯 ;41;PA;Compassionate Gentleman;Medium;M45076;x
45077;Minister of Security;皮埃尔 加农 ;42;PA;Crime Fighter;Medium;M45062;x
45078;Minister of Security;让 库拉德 ;43;PA;Silent Lawyer;Medium;M45078;x
45079;Minister of Security;威廉 G 亚当斯 ;45;PA;Back Stabber;Medium;M45079;x
45080;Minister of Security;汤姆 麦尤因 ;36;LE;Crime Fighter;Medium;M45025;x
45081;Minister of Security;罗伯特 布雷克霍克 ;40;LWR;Man of the People;Medium;M45081;x
45082;Minister of Security;吉诺 维奇拉 ;41;LE;Efficient Sociopath;Medium;M45082;x
45083;Minister of Security;昆廷 皮格特 ;43;LE;Compassionate Gentleman;Medium;M45083;x
45085;Head of Military Intelligence;赫伯特 布朗 艾姆斯 ;37;ML;Dismal Enigma;Very High;M45085;x
45086;Head of Military Intelligence;肯尼思 斯图亚特 ;40;ML;Technical Specialist;Very High;M45086;x
45087;Head of Military Intelligence;拉尔夫 吉布森 ;44;ML;Industrial Specialist;High;M45087;x
45088;Head of Military Intelligence;莫里斯 波普 ;36;SC;Political Specialist;High;M45088;x
45089;Head of Military Intelligence;威廉 G 亚当斯 ;44;SC;Naval Intelligence Specialist;Medium;M45079;x
45090;Head of Military Intelligence;安德鲁 格里尼 卡内尔 ;36;PA;Political Specialist;Medium;M45016;x
45091;Head of Military Intelligence;皮埃尔 伯顿 ;38;PA;Dismal Enigma;Medium;M45091;x
45092;Head of Military Intelligence;勒内 圣皮埃尔 ;41;PA;Industrial Specialist;Medium;M45061;x
45093;Head of Military Intelligence;让 库拉德 ;43;PA;Naval Intelligence Specialist;Medium;M45078;x
45094;Head of Military Intelligence;雅克 罗伯特 ;36;LE;Political Specialist;Medium;M45094;x
45095;Head of Military Intelligence;约翰 列思布里奇 ;42;LE;Logistics Specialist;Medium;M45028;x
45096;Head of Military Intelligence;雅克 理查德 ;43;LE;Naval Intelligence Specialist;Medium;M45096;x
45097;Head of Military Intelligence;威廉 迪斯 ;45;LE;Technical Specialist;Medium;M45026;x
45099;Chief of Staff;托马斯 安德森 ;40;ML;School of Defence;High;M45099;x
45100;Chief of Staff;亨利 克里拉尔 ;42;ML;School of Psychology;High;M45006;x
45101;Chief of Staff;肯尼思 斯图亚特 ;36;SC;School of Mass Combat;Very High;M45086;x
45102;Chief of Staff;约翰 梅奇 ;40;SC;School of Fire Support;High;M45102;x
45103;Chief of Staff;查尔斯 福尔克斯 ;44;SC;School of Manoeuvre;Very High;M45103;x
45104;Chief of Staff;弗雷德里克 M W 哈维 ;36;PA;School of Mass Combat;Medium;M45017;x
45105;Chief of Staff;罗伯特 M 爱德华兹 ;36;LWR;School of Defence;Medium;M45065;x
45106;Chief of Staff;塞缪尔 塞诺 ;43;LE;School of Fire Support;Medium;M45027;x
45108;Chief of Army;托马斯 安德森 ;40;ML;Static Defence Doctrine;High;M45099;x
45109;Chief of Army;亨利 克里拉尔 ;44;ML;Armoured Spearhead Doctrine;High;M45006;x
45110;Chief of Army;肯尼思 斯图亚特 ;36;SC;Decisive Battle Doctrine;Very High;M45086;x
45111;Chief of Army;约翰 梅奇 ;40;SC;Armoured Spearhead Doctrine;High;M45102;x
45112;Chief of Army;查尔斯 福尔克斯 ;44;SC;Elastic Defence Doctrine;Very High;M45103;x
45113;Chief of Army;弗雷德里克 M W 哈维 ;44;PA;Guns and Butter Doctrine;Medium;M45017;x
45114;Chief of Army;雅克 罗伯特 ;36;LE;Static Defence Doctrine;Medium;M45094;x
45115;Chief of Army;约翰 列思布里奇 ;42;LE;Elastic Defence Doctrine;Medium;M45028;x
45118;Chief of Navy;阿拉斯达尔 默里 ;36;PA;Base Control Doctrine;Medium;M45019;x
45119;Chief of Navy;让 库拉德 ;38;PA;Indirect Approach Doctrine;Medium;M45078;x
45120;Chief of Navy;约翰 F 金 ;36;LWR;Indirect Approach Doctrine;Medium;M45029;x
45121;Chief of Navy;雅克 理查德 ;39;LE;Power Projection Doctrine;Medium;M45096;x
45123;Chief of Air Force;约瑟夫 罗密欧 瓦松 ;36;SC;Air Superiority Doctrine;Medium;M45123;x
45124;Chief of Air Force;P W 奥兰德 ;36;PA;Army Aviation Doctrine;Medium;M45020;x
45126;Chief of Air Force;吉诺 维奇拉 ;36;LE;Air Superiority Doctrine;Medium;M45082;x
45127;Chief of Air Force;鲍伯 曼恩 ;43;LE;Army Aviation Doctrine;Medium;M45030;x
45128;Head of State;特威兹穆尔男爵 约翰 ;36;SC;Benevolent Gentleman;High;M45001;x
45129;Head of State;莱曼 普尔 达夫 爵士 ;40;SC;Popular Figurehead;High;M45129;x
45130;Head of State;莱曼 普尔 达夫 爵士 ;40;ML;Popular Figurehead;High;M45129;x
45131;Head of State;阿斯隆伯爵 奥古斯塔斯 ;40;ML;Stern Imperialist;High;M45131;x
45132;Head of State;阿斯隆伯爵 奥古斯塔斯 ;40;SC;Stern Imperialist;High;M45131;x
45133;Head of State;突尼斯子爵 哈罗德 ;46;SC;Resigned Generalissimo;High;M45133;x
45134;Head of State;突尼斯子爵 哈罗德 ;46;ML;Resigned Generalissimo;High;M45133;x
45135;Head of Government;路易斯 圣劳伦特 ;48;ML;Old General;High;M45042;x
45136;Head of Government;戈登 格雷顿 ;48;SC;Silent Workhorse;High;M45071;x
45137;Head of Government;J L 伊尔瑟 ;52;SC;Silent Workhorse;High;M45137;x
45138;Foreign Minister;莱斯特 B 皮尔森 ;48;ML;Ideological Crusader;High;M45138;x
45139;Foreign Minister;罗伯特 斯坦菲尔德 ;48;SC;Biased Intellectual;High;M45139;x
45140;Minister of Armament;布鲁克 克拉克顿 ;48;ML;Air Superiority Proponent;High;M45140;x
45141;Minister of Armament;拉尔弗 奥斯邦 康普尼 ;48;SC;Laissez Faires Capitalist;High;M45141;x
45142;Minister of Security;斯图亚特 辛克拉尔 加尔逊 ;48;ML;Man of the People;Very High;M45142;x
45143;Minister of Security;爱德蒙 戴维 富顿 ;48;SC;Compassionate Gentleman;Very High;M45143;x
45144;Head of Military Intelligence;沃尔特 爱德华 哈里斯 ;48;ML;Dismal Enigma;Very High;M45144;x
45145;Head of Military Intelligence;比尔 纽森 ;51;SC;Logistics Specialist;Very High;M45145;x
45146;Head of State;文森特 马西 ;52;SC;Autocratic Charmer;High;M45146;x
45147;Head of State;文森特 马西 ;52;ML;Autocratic Charmer;High;M45146;x
45170;Head of State;乔治 P 瓦尼埃 ;59;SC;Popular Figurehead;High;M45170;x
45171;Head of State;乔治 P 瓦尼埃 ;59;ML;Popular Figurehead;High;M45170;x
45148;Head of Government;约翰 迪芬贝克尔 ;57;SC;Flamboyant Tough Guy;High;M45042;x
45149;Head of Government;莱斯特 B 皮尔森 ;63;ML;Backroom Backstabber;High;M45138;x
