U90;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900000;Head of State;亨利 蒙克-梅森 穆尔爵士 ;36;SL;Stern Imperialist;Very High;kenia1;x
900001;Head of Government;亨利 蒙克-梅森 穆尔爵士 ;36;SL;Naive Optimist;Very High;kenia1;x
900002;Foreign Minister;亨利 蒙克-梅森 穆尔爵士 ;36;SL;The Cloak N Dagger Schemer;Very High;kenia1;x
900003;Minister of Armament;罗伯特 布鲁克-波帕姆 ;36;ML;Air to Ground Proponent;Very High;L1420;x
900004;Minister of Security;霍勒斯·赫恩 ;44;ML;Silent Lawyer;Very High;unknown;x
900005;Head of Military Intelligence;查尔斯·克里斯托弗·福克斯;43;ML;Logistics Specialist;Very High;unknown;x
900006;Chief of Staff;阿尔弗雷德·里德戈德温 - 奥斯汀爵士;36;SL;School of Manoeuvre;Very High;kenia12;x
900007;Chief of Army;H. E. de R. Wetherall;36;ML;Decisive Battle Doctrine;Very High;kenia2;x
900009;Chief of Air Force;罗伯特 布鲁克-波帕姆 ;36;ML;Army Aviation Doctrine;High;L1420;x
900010;Head of State;菲利普·尤安·米切尔;36;SC;Barking Buffoon;Very High;unknown;x
900011;Head of Government;罗伯特 布鲁克-波帕姆 ;36;ML;Old Air Marshal;High;L1420;x
900013;Minister of Armament;奥斯卡·法里斯·沃特金斯;36;ML;Administrative Genius;Very High;kenia3;x
900014;Minister of Security;约翰·亚瑟;36;SL;Man of the People;Very High;kenia4;x
900016;Chief of Staff;查尔斯·克里斯托弗·福克斯;36;ML;School of Fire Support;Very High;unknown;x
900017;Chief of Army;阿尔弗雷德·里德戈德温 - 奥斯汀爵士;36;SL;Elastic Defence Doctrine;Very High;L1136;x
900018;Chief of Navy;沃克;42;SL;Decisive Naval Battle Doctrine;Very High;kenia5;x
900019;Chief of Air Force;伊恩·乔根森;44;SL;Air Superiority Doctrine;Very High;unknown;x
900020;Head of State;哈里·苏库;36;SD;Die-hard Reformer;Very High;kenia6;x
900021;Head of Government;哈里·苏库;36;SD;Ambitious Union Boss;Very High;kenia6;x
900022;Foreign Minister;詹姆斯·博伊特;36;LWR;Apologetic Clerk;Very High;kenia7;x
900023;Minister of Armament;德丹 基马蒂 ;42;LWR;Administrative Genius;Very High;kenia8;x
900024;Minister of Security;哈里·苏库;36;LE;Man of the People;Very High;kenia6;x
900025;Head of Military Intelligence;布鲁斯·麦肯齐;36;SD;Industrial Specialist;Very High;kenia9;x
900026;Chief of Staff;德丹 基马蒂 ;42;LWR;School of Psychology;Very High;kenia8;x
900027;Chief of Army;沃尔尼洛·伊多阿特;43;LWR;Guns and Butter Doctrine;Very High;kenia11;x
900028;Chief of Navy;JCJ 基马罗;44;SD;Open Seas Doctrine;Very High;kenia10;x
