U92;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900200;Head of State;恩里科·米齐;36;ML;Benevolent Gentleman;Very High;malta1;x
900201;Head of Government;乔治·奥利维尔·博格;39;SC;Silent Workhorse;Very High;malta2;x
900202;Head of Government;恩里科·米齐;36;ML;Naive Optimist;Very High;malta1;x
900203;Minister of Armament;安东尼·卡萨尔 - 托雷贾尼;36;ML;Laissez Faires Capitalist;Very High;malta10;x
900204;Minister of Security;伊曼纽尔·加莱亚;36;ML;Man of the People;Very High;malta6;x
900205;Foreign Minister;杰拉尔德·斯特里克兰;36;SC;Iron Fisted Brute;Very High;malta11;x
900206;Chief of Staff;安东尼·卡萨尔 - 托雷贾尼;36;ML;School of Manoeuvre;Very High;malta10;x
900207;Chief of Army;安东尼·卡萨尔 - 托雷贾尼;36;ML;Guns and Butter Doctrine;Very High;malta10;x
900208;Chief of Navy;汤姆·沃灵顿;36;ML;Open Seas Doctrine;Very High;unknown;x
900209;Chief of Air Force;杰拉尔德·斯特里克兰;36;ML;Undistinguished Suit;Very High;malta11;x
900210;Head of State;卡罗尔·马里亚;36;FA;Insignificant Layman;Very High;malta12;x
900211;Head of Government;卡罗尔·马里亚;36;FA;Flamboyant Tough Guy;Very High;malta12;x
900212;Foreign Minister;乔治·奥利维尔·博格;39;SC;Great Compromiser;Very High;malta2;x
900213;Foreign Minister;阿尔弗雷多·卡夏·扎米特;36;SL;The Cloak N Dagger Schemer;Very High;malta13;x
900214;Minister of Security;阿图罗·梅西卡;36;SC;Silent Lawyer;Very High;malta14;x
900215;Head of Military Intelligence;卡梅隆·博格·皮萨尼;36;FA;Dismal Enigma;Very High;malta15;x
900216;Chief of Staff;伊沃·塞拉利昂·加纳多;36;FA;School of Mass Combat;Very High;unknown;x
900217;Chief of Army;伊沃·塞拉利昂·加纳多;36;FA;Guns and Butter Doctrine;Very High;unknown;x
900218;Head of State;保罗·博法;36;LWR;Pig-headed Isolationist;Very High;malta3;x
900219;Head of Government;乌戈·帕斯夸莱?米夫苏德;36;SC;Flamboyant Tough Guy;Very High;malta5;x
900220;Foreign Minister;乌戈·帕斯夸莱?米夫苏德;36;SC;Apologetic Clerk;Very High;malta5;x
900221;Minister of Armament;保罗·博法;36;LWR;Resource Industrialist;Very High;malta3;x
900222;Minister of Security;迈克尔·冈奇;36;SD;Man of the People;Very High;malta16;x
900223;Head of Government;威廉·萨沃纳;34;SD;Silent Workhorse;Very High;malta4;x
900224;Head of Government;明托夫阁下;42;LWR;Flamboyant Tough Guy;Very High;M_U92_DomMintoff;x
900225;Chief of Army;迈克尔·邓登;36;SD;Elastic Defence Doctrine;Very High;M_U92_MichaelDundon;x
900226;Chief of Staff;迈克尔·邓登;36;SD;School of Manoeuvre;Very High;M_U92_MichaelDundon;x
900227;Minister of Security;恩里科·米齐;36;ML;Silent Lawyer;Very High;malta1;x
900228;Foreign Minister;明托夫阁下;42;LWR;Great Compromiser;Very High;M_U92_DomMintoff;x
900229;Minister of Security;卡梅隆·博格·皮萨尼;40;FA;Back Stabber;Medium;M_U92_CarmeloPisani;x
