GAB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
536001;Head of State;路易斯 邦万 ;36;SL;Powerhungry Demagogue;High;M536001;x
536002;Head of Government;弗朗索瓦 雷斯特 ;36;SL;Political Protege;High;M536002;x
536003;Foreign Minister;维克托 瓦伦丁 史密斯 ;36;SL;Great Compromiser;High;M536003;x
536004;Minister of Armament;乔治 皮埃尔 马松 ;36;SL;Administrative Genius;Medium;M536004;x
536005;Minister of Security;乔治 帕里索特 ;36;SL;Silent Lawyer;Medium;M536005;x
536006;Head of Military Intelligence;查尔斯 A.M. 阿西耶 德 佩尔皮格安 ;36;SL;Naval Intelligence Specialist;Medium;M536006;x
536007;Chief of Staff;安德烈 帕朗 ;36;SL;School of Fire Support;Medium;L533014;x
536008;Chief of Army;费利克斯 埃布埃 ;36;SL;Decisive Battle Doctrine;Medium;M536008;x
536009;Chief of Navy;弗朗索瓦 雷斯特 ;36;SL;Base Control Doctrine;Medium;M536002;x
536010;Chief of Air Force;安德烈 帕朗 ;36;SL;Army Aviation Doctrine;Medium;L533014;x
536011;Head of State;乔治 帕里索特 ;37;SL;Weary Stiffneck;High;M536005;x
536012;Head of State;乔治 皮埃尔 马松 ;38;SL;Pig-headed Isolationist;High;M536004;x
536013;Head of State;安德烈 帕朗 ;40;SL;Resigned Generalissimo;High;L533014;x
536014;Head of State;维克托 瓦伦丁 史密斯 ;41;SL;Benevolent Gentleman;High;M536003;x
536015;Head of State;查尔斯 A.M. 阿西耶 德 佩尔皮格安 ;42;SL;Benevolent Gentleman;High;M536006;x
536016;Head of State;保罗 维尧姆 ;43;SL;Insignificant Layman;High;M536016;x
536017;Head of State;罗兰 普雷 ;44;SL;Barking Buffoon;High;M536017;x
536018;Head of State;努马 萨杜尔 ;46;SL;Die-hard Reformer;High;M536018;x
536019;Head of State;利昂 加布里埃尔 M'巴 ;36;LWR;Autocratic Charmer;High;M536019;x
536020;Head of State;让 巴普蒂斯特 罗伯特 ;36;PA;Barking Buffoon;High;M536020;x
536021;Head of Government;皮埃尔 布瓦松 ;39;SL;Flamboyant Tough Guy;High;M536021;x
536022;Head of Government;费利克斯 埃布埃 ;40;SL;Old Admiral;High;M536008;x
536023;Head of Government;安德烈 巴亚尔代勒 ;44;SL;Ambitious Union Boss;High;M536023;x
536024;Head of Government;菲尔贝 尤卢 ;36;LWR;Happy Amateur;High;M536024;x
536025;Head of Government;让 巴普蒂斯特 罗伯特 ;36;PA;Flamboyant Tough Guy;High;M536020;x
536026;Foreign Minister;阿尔伯特 科恩 ;40;SL;The Cloak N Dagger Schemer;High;M536026;x
536027;Foreign Minister;莫里斯 佩里奥 ;43;SL;Apologetic Clerk;High;M536027;x
536028;Foreign Minister;帕斯卡尔 利苏巴 ;36;LWR;Ideological Crusader;High;M536028;x
536029;Foreign Minister;弗朗索瓦 雷斯特 ;36;PA;General Staffer;High;M536002;x
536030;Minister of Armament;安德烈 巴亚尔代勒 ;41;SL;Submarine Proponent;Medium;M536023;x
536031;Minister of Armament;加斯顿 福楼拜 ;43;SL;Air Superiority Proponent;Medium;M536031;x
536032;Minister of Armament;阿方斯 马森巴-德巴 ;36;LWR;Corrupt Kleptocrat;Medium;M536032;x
536033;Minister of Armament;阿尔伯特 科恩 ;36;PA;Laissez Faires Capitalist;Medium;M536026;x
536034;Minister of Security;皮埃尔 布瓦松 ;38;SL;Prince of Terror;Medium;M536021;x
536035;Minister of Security;努马 萨杜尔 ;44;SL;Man of the People;Medium;M536018;x
536036;Minister of Security;恩科拉 姆博莫 ;36;LWR;Efficient Sociopath;Medium;M536036;x
536037;Minister of Security;加斯顿 福楼拜 ;36;PA;Back Stabber;Medium;M536031;x
536038;Head of Military Intelligence;保罗 维尧姆 ;41;SL;Political Specialist;Medium;M536016;x
536039;Head of Military Intelligence;莫里斯 卡乌扎 ;44;SL;Industrial Specialist;Medium;M536039;x
536040;Head of Military Intelligence;大卫 穆塞达 ;36;LWR;Logistics Specialist;Medium;M536040;x
536041;Head of Military Intelligence;皮埃尔 布瓦松 ;36;PA;Dismal Enigma;Medium;M536021;x
536042;Chief of Staff;雷蒙德 德朗热 ;41;SL;School of Psychology;Medium;M536042;x
536043;Chief of Staff;查尔斯 马汉戈 ;36;LWR;School of Manoeuvre;Medium;M536043;x
536044;Chief of Staff;弗朗索瓦 雷斯特 ;36;PA;School of Psychology;Medium;M536002;x
536045;Chief of Army;拉斐尔 福利奥 ;44;SL;Guns and Butter Doctrine;Medium;M536045;x
536046;Chief of Army;菲尔贝 尤卢 ;36;LWR;Static Defence Doctrine;Medium;M536046;x
536047;Chief of Army;让 l'于利耶 ;36;PA;Armoured Spearhead Doctrine;Medium;M536047;x
536048;Chief of Navy;查尔斯 A.M. 阿西耶 德 佩尔皮格安 ;44;SL;Power Projection Doctrine;Medium;M536006;x
536049;Chief of Navy;费利克斯 埃布埃 ;36;LWR;Open Seas Doctrine;Medium;M536008;x
536050;Chief of Navy;莫里斯 卡乌扎 ;36;PA;Decisive Naval Battle Doctrine;Medium;M536039;x
536051;Chief of Air Force;罗兰 普雷 ;41;SL;Air Superiority Doctrine;Medium;M536017;x
536052;Chief of Air Force;费利克斯 埃布埃 ;36;LWR;Vertical Envelopment Doctrine;Medium;M536008;x
536053;Chief of Air Force;雅克 安德里厄 ;36;PA;Naval Aviation Doctrine;Medium;M536053;x
