URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65101;Head of State;约瑟普 布罗兹 ;36;ST;Stern Imperialist;High;M20021;x
65102;Head of Government;路易吉 隆哥 ;36;ST;Silent Workhorse;High;M3022;x
65103;Foreign Minister;伯纳多 阿托利科 ;36;ST;Biased Intellectual;High;M3058;x
65104;Foreign Minister;帕尔米罗 陶里亚蒂 ;36;ST;Ideological Crusader;High;M3021;x
65105;Foreign Minister;弗朗索瓦 德亚克 ;36;ST;Apologetic Clerk;Medium;M21076;x
65106;Foreign Minister;维利 弗兰克 ;36;ST;Iron Fisted Brute;Medium;M23035;x
65107;Foreign Minister;斯塔诺耶 西米克 ;36;ST;Great Compromiser;Medium;M20023;x
65108;Foreign Minister;马塔 扎尔卡 ;36;ST;General Staffer;Medium;M21037;x
65109;Foreign Minister;彼得罗 南尼 ;36;ST;The Cloak N Dagger Schemer;High;M3062;x
65110;Minister of Armament;乔瓦尼 奇劳洛 ;36;ST;Administrative Genius;High;M3084;x
65111;Minister of Armament;安东尼奥 佩森蒂 ;36;ST;Resource Industrialist;High;M3024;x
65112;Minister of Armament;埃内 盖勒 ;39;ST;Theoretical Scientist;Medium;M21093;x
65113;Minister of Armament;G 巴龙 保卢奇 迪 卡尔博利 ;36;ST;Laissez Faires Capitalist;High;M3086;x
65114;Minister of Armament;佐尔坦 沃什 ;36;ST;Military Entrepreneur;Medium;M21034;x
65115;Minister of Armament;保罗 冯 海盖迪什 ;36;ST;Battle Fleet Proponent;High;M23009;x
65116;Minister of Armament;罗伯特 温特施泰因 ;36;ST;Submarine Proponent;Medium;M23025;x
65117;Minister of Armament;德拉扎 米哈伊洛维奇 ;36;ST;Tank Proponent;Medium;M20055;x
65118;Minister of Armament;维托里奥 维达利 ;36;ST;Infantry Proponent;High;M3087;x
65119;Minister of Armament;阿尔贝托 帕里亚尼 ;36;ST;Air Superiority Proponent;High;M3008;x
65120;Minister of Armament;埃德加 凯克斯 ;36;ST;Corrupt Kleptocrat;Medium;M21073;x
65121;Minister of Armament;菲尔贝托 维瓦尔迪 ;36;ST;Air to Ground Proponent;High;M3079;x
65122;Minister of Armament;毛罗 斯科奇马罗 ;36;ST;Air to Sea Proponent;High;M3088;x
65123;Minister of Armament;路易吉 艾瑙迪 ;36;ST;Strategic Air Proponent;High;M3085;x
65124;Minister of Security;康德 斯特凡诺 亚奇尼 ;36;ST;Silent Lawyer;High;M3046;x
65125;Minister of Security;朱塞佩 罗米塔 ;36;ST;Compassionate Gentleman;High;M3105;x
65126;Minister of Security;帕尔米罗 陶里亚蒂 ;36;ST;Crime Fighter;High;M3021;x
65127;Minister of Security;米哈伊 法尔卡斯 ;36;ST;Prince of Terror;Medium;M21110;x
65128;Minister of Security;奥托 鲍尔 ;36;ST;Back Stabber;Very Low;M23031;x
65129;Minister of Security;贝尼托 墨索里尼 ;36;ST;Man of the People;Very High;M3002;x
65130;Minister of Security;朱利安 苏加萨戈伊蒂亚 门迭塔 ;36;ST;Efficient Sociopath;High;M3107;x
65131;Minister of Security;埃德加 凯克斯 ;36;ST;Crooked Kleptocrat;Medium;M21073;x
65132;Head of Military Intelligence;帕尔米罗 陶里亚蒂 ;36;ST;Technical Specialist;High;M3021;x
65133;Head of Military Intelligence;埃内 盖勒 ;36;ST;Logistics Specialist;Medium;M21093;x
65134;Head of Military Intelligence;吉塞佩 迪 维托里奥 ;36;ST;Political Specialist;High;M3120;x
65135;Head of Military Intelligence;阿尔弗雷多 德 马希奥 ;36;ST;Dismal Enigma;Low;M3110;x 
65136;Head of Military Intelligence;尤利乌斯 拉布 ;36;ST;Industrial Specialist;Medium;M23004;x
65137;Head of Military Intelligence;埃吉奥 瓦诺尼 ;36;ST;Naval Intelligence Specialist;High;M3117;x
65138;Chief of Staff;费迪南德 施特拉塞尔 ;36;ST;School of Manoeuvre;High;M23037;x
65139;Chief of Staff;马里奥 钦戈拉尼 ;36;ST;School of Fire Support;High;M3130;x
65140;Chief of Staff;路易吉 隆哥 ;36;ST;School of Mass Combat;High;M3022;x
65141;Chief of Staff;德拉扎 米哈伊洛维奇 ;36;ST;School of Defence;Medium;M20012;x
65142;Chief of Staff;马塔 扎尔卡 ;36;ST;School of Psychology;Medium;M21037;x
65143;Chief of Army;亚诺什 沃勒什 ;36;ST;Elastic Defence Doctrine;Medium;M21017;x
