ARA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
558001;Head of State;法鲁克一世 ;36;SC;Insignificant Layman;high;M512011;x
558002;Head of Government;穆斯塔法 安-纳哈斯 帕夏 ;36;SC;Flamboyant Tough Guy;high;M512005;x
558003;Foreign Minister;阿里 马希尔 帕夏 ;36;SC;Great Compromiser;high;M512002;x
558004;Minister of Armament;穆罕默德 马哈茂德 帕夏 ;36;SC;Resource Industrialist;high;M512017;x
558005;Minister of Security;罗马科斯 汉纳 帕夏 ;36;SC;Crime Fighter;high;M512064;x
558006;Head of Military Intelligence;穆罕默德 希勒米 伊萨 ;36;SC;Dismal Enigma;high;M512006;x
558007;Chief of Staff;哈桑 萨布里 帕夏 ;36;SC;School of Defence;high;M512007;x
558008;Chief of Army;穆罕默德 纳吉布 ;36;SC;Decisive Battle Doctrine;high;M512088;x
558009;Chief of Navy;阿布达拉 齐瓦尔 帕夏 ;36;SC;Indirect Approach Doctrine;high;M512009;x
558010;Chief of Air Force;阿卜杜勒哈米德 苏莱曼 ;36;SC;Air Superiority Doctrine;high;M512048;x
558011;Head of State;埃米尔 埃迪 ;36;PA;Pig-headed Isolationist;high;M529001;x
558012;Head of State;H.M. 阿卜杜拉一世 ;36;SD;Autocratic Charmer;high;M556001;x
558013;Head of State;穆罕默德 贝 阿尔-阿比德 ;36;LE;Stern Imperialist;high;M528001;x
558014;Head of Government;凯雷丁 阿尔-阿赫达卜 ;36;PA;Naive Optimist;high;M529006;x
558015;Head of Government;伊斯梅尔 贝 加斯比拉里 ;36;SD;Silent Workhorse;high;M556013;x
558016;Head of Government;舒凯里 阿尔-库韦特利 ;36;LE;Backroom Backstabber;high;M528015;x
558017;Foreign Minister;阿布达拉 阿列夫 阿尔-雅菲 ;36;PA;General Staffer;high;M529003;x
558018;Foreign Minister;萨米尔 阿尔-里法伊 ;36;SD;Apologetic Clerk;high;M556003;x
558019;Foreign Minister;法里斯 阿尔-扈利 ;36;LE;The Cloak N Dagger Schemer;high;M528004;x
558020;Minister of Armament;凯雷丁 阿尔-阿赫达卜 ;36;PA;Laissez Faires Capitalist;high;M529006;x
558021;Minister of Armament;艾哈迈德 卡德里 ;36;SD;Military Entrepreneur;high;M556017;x
558022;Minister of Armament;谢克 阿布德 阿尔-阿利姆 塞利姆 ;36;LE;Administrative Genius;high;M528030;x
558023;Minister of Security;纳齐姆 马吉达拉尼 ;36;PA;Compassionate Gentleman;high;M529039;x
558024;Minister of Security;奥尼 阿卜杜勒 哈迪 ;36;SD;Silent Lawyer;high;M556020;x
558025;Minister of Security;法里斯 阿尔-扈利 ;36;LE;Man of the People;high;M528004;x
