LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
28001;Head of State;安塔纳斯 斯梅托纳 ;36;FA;Weary Stiffneck;High;M28001;x
28002;Head of Government;尤萨斯 图贝利斯 ;36;FA;Political Protege;High;M28002;x
28003;Foreign Minister;斯塔西斯 洛佐莱蒂斯 ;36;FA;Ideological Crusader;Medium;M28003;x
28004;Minister of Armament;瓦尔德马拉斯 维陶塔斯-卡内基斯 ;36;FA;Military Entrepreneur;Medium;M28004;x
28005;Minister of Security;安塔纳斯 斯梅托纳 ;36;FA;Compassionate Gentleman;Medium;M28001;x
28006;Head of Military Intelligence;多瓦斯 曹纽斯 ;36;FA;Political Specialist;Medium;M28006;x
28007;Chief of Staff;乔纳斯 加尔维迪斯-拜考斯卡斯 ;36;FA;School of Defence;Medium;M28007;x
28008;Chief of Army;斯塔西斯 拉斯蒂基斯 ;36;FA;Elastic Defence Doctrine;Medium;M28008;x
28009;Chief of Navy;加尼斯 德曼塔斯 ;36;FA;Open Seas Doctrine;Medium;M28009;x
28010;Chief of Air Force;安塔纳斯 古斯泰蒂斯 ;36;FA;Army Aviation Doctrine;Medium;M28010;x
28031;Head of State;奥古斯丁纳斯 沃尔德马拉斯 ;36;NS;Powerhungry Demagogue;High;M28031;x
28032;Head of State;卡济斯 斯基尔帕 ;40;NS;Insignificant Layman;High;M28032;x
28033;Head of State;特奥多尔 冯 伦特恩 ;41;NS;Resigned Generalissimo;High;M28033;x
28035;Head of State;安塔纳斯 迈尔基斯 ;40;PA;Benevolent Gentleman;High;M28035;x
28036;Head of State;乔纳斯 泽迈蒂斯 ;45;PA;Autocratic Charmer;High;M28036;x
28037;Head of State;尤波扎斯 马修斯纳斯 ;36;SC;Benevolent Gentleman;High;M28011;x
28038;Head of State;尤萨斯 安布拉泽维修斯 ;41;SC;Insignificant Layman;High;M28020;x
28039;Head of State;阿纳托利乌斯 凯里斯 ;45;SC;Die-hard Reformer;High;M28019;x
28040;Head of State;胡斯塔斯 帕莱奇基斯 ;38;ST;Insignificant Layman;High;M28021;x
28041;Head of State;安塔纳斯 斯尼埃库斯 ;45;ST;Die-hard Reformer;High;M28041;x
28042;Head of Government;普兰西斯基斯 默休纳斯 ;38;NS;Happy Amateur;High;M28042;x
28043;Head of Government;彼得拉斯 库比柳纳斯 ;40;NS;Silent Workhorse;High;M28043;x
28044;Head of Government;弗拉达斯 米罗纳斯 ;38;FA;Naive Optimist;High;M28044;x
28045;Head of Government;乔纳斯 切尔尼乌斯 ;39;FA;Ambitious Union Boss;High;M28014;x
28046;Head of Government;安塔纳斯 迈尔基斯 ;39;FA;Smiling Oilman;High;M28035;x
28047;Head of Government;多瓦斯 曹纽斯 ;40;PA;Happy Amateur;High;M28006;x
28048;Head of Government;卡西米拉斯 齐伦斯基恩 ;45;PA;Flamboyant Tough Guy;High;M28048;x
28049;Head of Government;利纳斯 布罗多夫斯基斯 ;38;SC;Backroom Backstabber;High;M28015;x
28050;Head of Government;尤萨斯 安布拉泽维修斯 ;41;SC;Corporate Suit;High;M28020;x
28051;Head of Government;斯塔西斯 洛佐莱蒂斯 ;45;SC;Happy Amateur;High;M28003;x
28052;Head of Government;胡斯塔斯 帕莱奇基斯 ;38;ST;Smiling Oilman;High;M28021;x
28053;Head of Government;温卡斯 克雷韦-米克维修斯 ;40;ST;Political Protege;High;M28053;x
28054;Head of Government;安塔纳斯 斯尼埃库斯 ;45;ST;Old Admiral;High;M28041;x
28055;Foreign Minister;彼得拉斯 多马卡斯 ;38;NS;Biased Intellectual;Medium;M28055;x
28056;Foreign Minister;阿苏奥拉斯 库沙特 ;40;NS;Apologetic Clerk;Medium;M28056;x
28057;Foreign Minister;彼得拉斯 库比柳纳斯 ;41;NS;Ideological Crusader;Medium;M28043;x
28058;Foreign Minister;尤萨斯 乌尔布西斯 ;38;FA;Ideological Crusader;Medium;M28058;x
28059;Foreign Minister;埃内斯塔斯 加尔瓦瑙斯卡斯 ;40;PA;Apologetic Clerk;Medium;M28059;x
28060;Foreign Minister;安塔纳斯 迈尔基斯 ;41;PA;Ideological Crusader;Medium;M28035;x
28061;Foreign Minister;卡罗利斯 维内维奇 ;45;PA;Iron Fisted Brute;Medium;M28061;x
28062;Foreign Minister;吉德里乌斯 格里加斯 ;38;SC;Biased Intellectual;Medium;M28062;x
28063;Foreign Minister;乔纳斯 瓦伊洛凯蒂斯 ;40;SC;Great Compromiser;Medium;M28063;x
28064;Foreign Minister;斯塔西斯 洛佐莱蒂斯 ;45;SC;Apologetic Clerk;Medium;M28003;x
