SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
11001;Head of State;尼塞托 阿尔卡拉 萨莫拉 ;36;SC;Weary Stiffneck;High;M11001;x
11002;Head of Government;曼努埃尔 佩莱塔 巴拉德莱斯 ;36;SC;Naive Optimist;High;M11002;x
11003;Foreign Minister;华金 乌尔塞斯 卡达瓦尔 ;36;ML;Apologetic Clerk;Low;M11003;x
11004;Minister of Armament;何塞 门迭巴尔 伯尼拉 ;36;SC;Infantry Proponent;Medium;M11004;x
11005;Minister of Security;曼努埃尔 佩莱塔 巴拉德莱斯 ;36;SC;Silent Lawyer;High;M11002;x
11006;Head of Military Intelligence;胡安 赫尔南德兹 萨拉比亚 ;36;ML;Technical Specialist;Medium;M11006;x
11007;Chief of Staff;何塞 米亚哈 蒙纳特 ;36;SC;School of Mass Combat;Medium;M11007;x
11008;Chief of Army;尼古拉 莫莱罗 洛波 ;36;SC;Static Defence Doctrine;Very High;M11008;x
11009;Chief of Navy;安东尼奥 阿扎罗拉 格莱西尔 ;36;SL;Indirect Approach Doctrine;High;M11009;x
11010;Chief of Air Force;米盖尔 努诺兹 德 佩拉多 ;36;SL;Naval Aviation Doctrine;Medium;M11010;x
11033;Head of State;曼努埃尔 阿扎莱 德兹 ;36;SL;Pig-headed Isolationist;High;M11033;x
11034;Head of State;埃古斯托 巴西亚 特瑞斯 ;36;SD;Insignificant Layman;High;M11034;x
11038;Head of State;阿尔瓦罗 德 阿尔伯诺兹 利米尼亚那 ;38;LWR;Powerhungry Demagogue;High;M11038;x
11039;Head of State;弗朗西斯科 拉哥 卡巴莱罗 ;38;SD;Barking Buffoon;High;M11039;x
11040;Head of State;CNT-FAI 中央委员会 ;38;LE;Insignificant Layman;High;M11040;x
11041;Head of State;迭戈 马丁兹 巴里奥 ;39;SD;Benevolent Gentleman;High;M11041;x
11042;Head of State;何塞 德兹 拉莫斯 ;39;ST;Barking Buffoon;High;M11021;x
11044;Head of State;胡里奥 贝士德罗 菲尔南德兹 ;45;LWR;Insignificant Layman;High;M11044;x
11046;Head of State;胡安 内格罗 莱兹 ;36;LWR;Die-hard Reformer;High;M11046;x
11049;Head of State;德诺莱斯 伊波利 古兹 ;42;ST;Ruthless Powermonger;High;M11049;x
11051;Head of State;亚历桑德罗  莱尔罗克斯 加西亚 ;42;SD;Insignificant Layman;High;M11051;x
11053;Head of State;胡安 三世 ;44;SC;Benevolent Gentleman;High;M11011;x
11055;Head of State;胡安 三世 ;36;PA;Benevolent Gentleman;High;M11011;x
11058;Head of Government;何塞 德兹 拉莫斯 ;36;ST;Ambitious Union Boss;High;M11021;x
