CRO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
30001;Head of State;托米斯拉夫二世;36;FA;Powerhungry Demagogue;High;Savoia-Aosta_Aimone_di_cro;x
30002;Head of Government;安特帕韦利奇;36;FA;Ambitious Union Boss;High;Pavelic_Ante_cro;x
30003;Foreign Minister;米尔 布达克;36;NS;Iron Fisted Brute;Very High;Budak_Mile_cro;x
30004;Minister of Armament;Vjekoslav Vrancic;36;FA;Military Entrepreneur;High;Vrancic_Vjekoslav_cro;x
30005;Minister of Security;Mladen Lorkovic;36;FA;Crooked Kleptocrat;High;Lorkovic_Mladen1_cro;x
30006;Head of Military Intelligence;柳博米洛斯;36;NS;Dismal Enigma;Medium;Ljubo_Milos_cro;x
30007;Chief of Staff;Slavko Kvaternik;36;NS;School of Manoeuvre;Medium;Kvaternik_Slavko_cro;x
30008;Chief of Army;Vilko Begic;36;NS;Armoured Spearhead Doctrine;High;Begic_Vilko_cro;x
30009;Chief of Navy;Djuro Jakcin;36;NS;Base Control Doctrine;Medium;Jakcin_Djuro_cro;x
30010;Chief of Air Force;Vladimir Kren;36;NS;Air Superiority Doctrine;Medium;Kren_Vladimir_cro;x
30021;Head of State;托米斯拉夫二世;38;NS;Powerhungry Demagogue;High;Savoia-Aosta_Aimone_di_cro;x
30022;Head of State;Alojzije Stepinac;45;PA;Weary Stiffneck;High;Stepinac_Aloysius_cro;x
30023;Head of State;Vladko Macek;38;SC;Insignificant Layman;High;Macek_Vladko_cro;x
30024;Head of Government;安特帕韦利奇;38;NS;Ambitious Union Boss;High;Pavelic_Ante_cro;x
30025;Head of Government;Vladimir Laxa;41;PA;Old General;High;Laxa_Vladimir_cro;x
30026;Head of Government;Ivan Subasic;38;SD;Backroom Backstabber;High;Subasic_Ivan_cro;x
30028;Foreign Minister;Mladen Lorkovic;44;NS;General Staffer;High;Lorkovic_Mladen1_cro;x
30029;Foreign Minister;Alojzije Stepinac;45;PA;Biased Intellectual;Medium;Stepinac_Aloysius_cro;x
30030;Foreign Minister;伊万萨里奇;46;PA;The Cloak N Dagger Schemer;High;Saric_Ivan_cro;x
30031;Foreign Minister;Vladko Macek;38;SD;Biased Intellectual;Medium;Macek_Vladko_cro;x
30033;Minister of Armament;Dido Kvaternik;38;NS;Infantry Proponent;Medium;Kvaternik_Eugen_Dido_cro;x
30035;Minister of Armament;Ivan Subasic;38;SD;Theoretical Scientist;Medium;Subasic_Ivan_cro;x
30036;Minister of Security;维克多·维达;38;NS;Man of the People;High;Vida_Viktor_cro;x
30037;Minister of Security;Eugen Kvaternik;40;NS;Prince of Terror;High;Kvaternik_Eugen_cro;x
30038;Minister of Security;Andrija Artukovic;41;NS;Efficient Sociopath;High;Artukovic_Andrija_cro;x
30039;Minister of Security;Krunoslav Draganovic;43;NS;Back Stabber;High;Draganovic_Krunoslav_cro;x
30040;Minister of Security;维尔科 佩茨尼卡尔 ;45;PA;Crooked Kleptocrat;Medium;M30040;x
30041;Minister of Security;Vilko Begic;38;SD;Silent Lawyer;Medium;Begic_Vilko_cro;x
30044;Head of Military Intelligence;Mladen Lorkovic;45;PA;Logistics Specialist;High;Lorkovic_Mladen1_cro;x
30045;Head of Military Intelligence;维尔科 佩茨尼卡尔 ;38;SC;Dismal Enigma;Medium;M30040;x
30047;Chief of Staff;Vladimir Laxa;41;NS;School of Defence;Medium;Laxa_Vladimir_cro;x
30048;Chief of Staff;Fedor Dragojlov;43;NS;School of Mass Combat;High;Dragojlov_Fedor_cro;x
30049;Chief of Staff;安特帕韦利奇;44;NS;School of Psychology;Very High;Pavelic_Ante_cro;x
30053;Chief of Army;Slavko Kvaternik;41;NS;Guns and Butter Doctrine;Medium;Kvaternik_Slavko_cro;x
30054;Chief of Army;Slavko Stancer;42;NS;Static Defence Doctrine;Medium;Stancer_Slavko_cro;x
30055;Chief of Army;Miroslav Navratil;43;NS;Decisive Battle Doctrine;High;Navratil_Miroslav_cro;x
30056;Chief of Army;Vladimir Laxa;41;NS;Elastic Defence Doctrine;Medium;Laxa_Vladimir_cro;x
30061;Chief of Navy;埃德加 安杰利 ;43;NS;Open Seas Doctrine;Medium;M30019;x
30062;Chief of Navy;尼古拉 施泰因富勒 ;44;NS;Decisive Naval Battle Doctrine;Low;M30062;x
30066;Chief of Air Force;阿德尔伯特 罗古利亚 ;43;NS;Army Aviation Doctrine;Medium;M30006;x
30068;Chief of Air Force;Miroslav Navratil;44;PA;Vertical Envelopment Doctrine;High;Navratil_Miroslav_cro;x
30069;Minister of Armament;Vilko Begic;36;FA;Tank Proponent;Medium;Begic_Vilko_cro;x
