CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
44001;Head of State;阿图罗 亚历山德里 帕尔马 ;36;SL;Stern Imperialist;high;M44001;x
44002;Head of Government;古斯塔沃 罗斯 圣 马里亚 ;36;SL;Naive Optimist;high;M44002;x
44003;Foreign Minister;米格尔 克鲁查加 塔科马尔 ;36;SL;Iron Fisted Brute;high;M44003;x
44004;Minister of Armament;爱德华多 希尔曼 ;36;SL;Resource Industrialist;high;M44004;x
44005;Minister of Security;阿图罗 亚历山德里 帕尔马 ;36;SL;Compassionate Gentleman;high;M44001;x
44006;Head of Military Intelligence;朱利奥 阿拉德 平托 ;36;SL;Naval Intelligence Specialist;high;M44006;x
44007;Chief of Staff;C.J. 德 拉 莫特 ;36;SL;School of Fire Support;high;M44007;x
44008;Chief of Army;E. 诺沃亚 芬特斯 ;36;SL;Static Defence Doctrine;high;M44008;x
44009;Chief of Navy;C.J. 德 拉 莫特 ;36;SL;Open Seas Doctrine;high;M44007;x
44010;Chief of Air Force;达里奥 穆希卡 甘博亚 ;36;SL;Air Superiority Doctrine;high;M44010;x
44031;Head of State;佩德罗 阿圭雷 塞尔达 ;38;SD;Benevolent Gentleman;high;M44031;x
44032;Head of State;安东尼奥 J. 里奥斯 莫拉莱斯 ;42;SD;Weary Stiffneck;high;M44032;x
44033;Head of State;加布里埃尔 冈萨雷斯 魏地拉 ;46;SD;Popular Figurehead;high;M44033;x
44035;Head of State;卡洛斯 伊巴涅斯 德尔 坎波 ;46;SC;Resigned Generalissimo;high;M44035;x
44036;Head of State;卡洛斯 伊巴涅斯 德尔 坎波 ;42;PA;Resigned Generalissimo;high;M44035;x
44037;Head of State;J.G. 冯 马雷斯 ;38;FA;Autocratic Charmer;high;M44011;x
44038;Head of State;马默杜克 格罗夫 ;38;LE;Barking Buffoon;high;M44021;x
44039;Head of State;萨尔瓦多 阿连德 ;45;LWR;Die-hard Reformer;high;M44039;x
44040;Head of Government;佩德罗 阿圭雷 塞尔达 ;38;SD;Political Protege;high;M44031;x
44041;Head of Government;安东尼奥 J. 里奥斯 莫拉莱斯 ;42;SD;Flamboyant Tough Guy;high;M44032;x
44042;Head of Government;加布里埃尔 冈萨雷斯 魏地拉 ;46;SD;Backroom Backstabber;high;M44033;x
44043;Head of Government;阿图罗 亚历山德里 帕尔马 ;37;SL;Smiling Oilman;high;M44001;x
44044;Head of Government;古斯塔沃 罗斯 圣 马里亚 ;38;SC;Naive Optimist;high;M44002;x
44045;Head of Government;曼努埃尔 莫拉 米兰达 ;42;SC;Happy Amateur;high;M44045;x
44046;Head of Government;卡洛斯 伊巴涅斯 德尔 坎波 ;42;PA;Old General;high;M44035;x
44047;Head of Government;米萨埃尔 加列吉略斯 ;38;FA;Ambitious Union Boss;high;M44012;x
44048;Head of Government;C.L. 布莱斯特 里福 ;38;LE;Old Admiral;high;M44022;x
44049;Head of Government;马默杜克 格罗夫 ;42;LE;Old Air Marshal;high;M44021;x
44050;Head of Government;萨尔瓦多 阿连德 ;45;LWR;Naive Optimist;high;M44039;x
44051;Foreign Minister;亚伯拉罕 奥尔特加 阿瓜约 ;38;SD;Iron Fisted Brute;high;M44051;x
44052;Foreign Minister;克里斯托瓦尔 萨恩斯 塞尔达 ;40;SD;Apologetic Clerk;high;M44052;x
44053;Foreign Minister;曼努埃尔 莫拉 米兰达 ;40;SD;Great Compromiser;high;M44045;x
44054;Foreign Minister;曼努埃尔 比安基 贡迪安 ;40;SD;Iron Fisted Brute;high;M44054;x
44055;Foreign Minister;路易斯 阿拉莫斯 巴罗斯 ;41;SD;Ideological Crusader;high;M44055;x
44056;Foreign Minister;埃内斯托 巴拉斯 哈尔帕 ;42;SD;General Staffer;high;M44056;x
44057;Foreign Minister;J. 费尔南德斯 y 费尔南德斯 ;42;SD;The Cloak N Dagger Schemer;high;M44057;x
44058;Foreign Minister;劳尔 朱利叶 戈麦斯 ;45;SD;Apologetic Clerk;high;M44058;x
44059;Foreign Minister;J.R.吉特雷斯 阿连德 ;38;SL;Biased Intellectual;high;M44059;x
44060;Foreign Minister;路易斯 阿特亚加 加西亚 ;38;SL;The Cloak N Dagger Schemer;high;M44023;x
44061;Foreign Minister;米格尔 克鲁查加 塔科马尔 ;42;PA;Iron Fisted Brute;high;M44003;x
44062;Foreign Minister;弗朗西斯科 O'瑞安 奥雷戈 ;42;SC;General Staffer;high;M44062;x
44063;Foreign Minister;卡洛斯 D. 索托 ;43;SC;The Cloak N Dagger Schemer;high;M44063;x
44064;Foreign Minister;路易斯 雷纳德 瓦伦祖埃拉 ;46;SC;Apologetic Clerk;high;M44064;x
44065;Foreign Minister;J.G. 冯 马雷斯 ;38;FA;Ideological Crusader;high;M44011;x
44066;Foreign Minister;路易斯 阿特亚加 加西亚 ;38;LE;The Cloak N Dagger Schemer;high;M44023;x
44067;Foreign Minister;费尔南多 布朗 莫拉莱斯 ;46;LWR;Apologetic Clerk;high;M44067;x
44068;Minister of Armament;卡洛斯 加西亚 帕拉西奥斯 ;38;SD;Theoretical Scientist;high;M44068;x
44069;Minister of Armament;胡安 里奥斯 莫拉莱斯 ;38;SD;Resource Industrialist;high;M44069;x
44070;Minister of Armament;路易斯 阿拉莫斯 巴罗斯 ;39;SD;Infantry Proponent;high;M44055;x
44071;Minister of Armament;佩德罗 阿圭雷 塞尔达 ;40;SD;Laissez Faires Capitalist;high;M44031;x
44072;Minister of Armament;卡洛斯 芬特斯 拉贝 ;41;SD;Military Entrepreneur;high;M44072;x
44073;Minister of Armament;弗朗西斯科 瓦尔克 利纳雷斯 ;42;SD;Tank Proponent;high;M44073;x
44074;Minister of Armament;达里奥 穆希卡 甘博亚 ;44;SD;Air Superiority Proponent;high;M44010;x
44075;Minister of Armament;曼努埃尔 C. 佩雷拉 ;46;SD;Resource Industrialist;high;M44075;x
44076;Minister of Armament;若泽 路易斯 桑切斯 贝萨 ;37;SL;Air to Ground Proponent;high;M44076;x
44077;Minister of Armament;克里斯托瓦尔 萨恩斯 塞尔达 ;38;SL;Administrative Genius;high;M44052;x
44078;Minister of Armament;恩里克 比列加斯 ;38;SC;Laissez Faires Capitalist;high;M44078;x
44079;Minister of Armament;维克托 拉伦斯 基哈达 ;39;SC;Submarine Proponent;high;M44079;x
44080;Minister of Armament;弗朗西斯科 O'瑞安 奥雷戈 ;43;SC;Battle Fleet Proponent;high;M44062;x
44081;Minister of Armament;米萨埃尔 加列吉略斯 ;46;SC;Corrupt Kleptocrat;high;M44012;x
44082;Minister of Armament;古斯塔沃 罗斯 圣 马里亚 ;46;SC;Administrative Genius;high;M44002;x
44083;Minister of Armament;埃内斯托 巴拉斯 哈尔帕 ;42;PA;Corrupt Kleptocrat;high;M44056;x
44084;Minister of Armament;曼努埃尔 比安基 贡迪安 ;42;PA;Infantry Proponent;high;M44054;x
44086;Minister of Armament;拉蒙 卡利斯 ;38;FA;Infantry Proponent;high;M44014;x
44087;Minister of Armament;卡洛斯 普加 蒙萨尔韦 ;44;FA;Air to Sea Proponent;high;M44087;x
44088;Minister of Armament;C.L. 布莱斯特 里福 ;38;LE;Theoretical Scientist;high;M44022;x
44089;Minister of Armament;奥古斯丁 爱德华兹 ;42;LE;Air Superiority Proponent;high;M44089;x
44090;Minister of Armament;奥雷利奥 切莱顿 帕尔马 ;46;LWR;Strategic Air Proponent;high;M44090;x
44091;Minister of Security;曼努埃尔 萨利纳斯 ;38;SD;Silent Lawyer;high;M44091;x
44092;Minister of Security;曼努埃尔 莫拉 米兰达 ;41;SD;Back Stabber;high;M44045;x
