U80;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800000;Head of State;Ç®µÂÀ­¡¤¿¨¿Ë;36;SL;Benevolent Gentleman;Very High;unknown;x
800001;Head of State;¹şÀï¡¤ĞÁ¸ñ;36;PA;Stern Imperialist;Very High;kashmir3;x
800002;Head of State;ÄÂº±Ä¬µÂ¡¤°¢²·¶ÅÀ­;36;LWR;Barking Buffoon;Very High;kashmir5;x
800003;Head of Government;°Í¿ËÊ²¹ÅÀ­Ä·¡¤ÄÂº±Ä¬µÂ;36;SD;Naive Optimist;Very High;kashmir1;x
800004;Head of Government;¹şÀï¡¤ĞÁ¸ñ;36;PA;Flamboyant Tough Guy;Very High;kashmir3;x
800005;Head of Government;Ç®µÂÀ­¡¤¿¨¿Ë;36;SL;Silent Workhorse;Very High;unknown;x
800006;Foreign Minister;Î¬¼ÖÑÅ¡¤À­¿ËÊ²Ã×¡¤ÅËµÏÌØ;36;SL;Iron Fisted Brute;Very High;kashmir10;x
800007;Foreign Minister;ÄÂº±Ä¬µÂ¡¤ÒÁ¿Ë°Í¶û;36;ML;Biased Intellectual;Very High;kashmir6;x
800008;Foreign Minister;¹ÅÀ­Ä·¡¤°¬¹şÂõµÂ;36;SD;Biased Intellectual;Very High;kashmir2;x
800009;Minister of Armament;ÄÂº±Ä¬µÂ¡¤°¢²·¶ÅÀ­;36;LWR;Theoretical Scientist;Very High;kashmir5;x
800010;Minister of Armament;ÒÁ·òµÙ¹ş¶û¿Éº¹;36;ML;Military Entrepreneur;Very High;kashmir4;x
800011;Minister of Armament;¹şÀï¡¤ĞÁ¸ñ;36;PA;Administrative Genius;Very High;kashmir3;x
800012;Minister of Security;°Í¿ËÊ²¹ÅÀ­Ä·¡¤ÄÂº±Ä¬µÂ;36;SD;Crime Fighter;Very High;kashmir1;x
800013;Minister of Security;°¢ÑÇÍ¼À­¡¤°¢åÈÀÕ¡¤ÄÂÈøÎ¬;36;SC;Silent Lawyer;Very High;unknown;x
800014;Minister of Security;Ì©¡¤°Í¹ş¶Å¶û¡¤ÈøÆÕÂ³;36;SL;Silent Lawyer;Very High;kashmir9;x
800015;Minister of Security;°¢Âí¶û¡¤ÄÉÌØ¡¤çå;36;ML;Silent Lawyer;Very High;unknown;x
800016;Head of Military Intelligence;°Í¿ËÊ²¹ÅÀ­Ä·¡¤ÄÂº±Ä¬µÂ;36;SD;Dismal Enigma;Very High;kashmir1;x
800017;Head of Military Intelligence;À­Ã·Ê²Íß¶û¡¤ÄÉÌØ¡¤¿¼;36;SC;Logistics Specialist;Very High;kashmir8;x
800020;Chief of Staff;ÒÁ·òµÙ¹ş¶û¿Éº¹;36;ML;School of Fire Support;Very High;kashmir4;x
800021;Chief of Staff;¹şÀï¡¤ĞÁ¸ñ;36;PA;School of Defence;Very High;kashmir3;x
800022;Chief of Army;ÒÁ·òµÙ¹ş¶û¿Éº¹;36;ML;Decisive Battle Doctrine;Very High;kashmir4;x
800023;Chief of Army;ÄÂº±Ä¬µÂ¡¤°¢¿Ë°Í¿Éº¹;36;SC;Guns and Butter Doctrine;Very High;kashmir7;x
800024;Chief of Navy;ÄÂº±Ä¬µÂ¡¤°¢¿Ë°Í¿Éº¹;36;SC;Base Control Doctrine;Very High;kashmir7;x
800025;Chief of Air Force;¹ÅÀ­Ä·¡¤°¬¹şÂõµÂ;44;ML;Air Superiority Doctrine;Very High;unknown;x
800026;Chief of Air Force;ÒÁ·òµÙ¹ş¶û¿Éº¹;44;ML;Vertical Envelopment Doctrine;Very High;kashmir4;x
