SAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
77001;Head of State;马克西米利亚诺 埃尔南斯 马丁内斯 ;36;PA;Resigned Generalissimo;High;M77001;x
77002;Head of Government;马克西米利亚诺 埃尔南斯 马丁内斯 ;36;PA;Old General;High;M77001;x
77003;Foreign Minister;米格尔 安杰尔 阿劳约 ;36;SC;Biased Intellectual;Medium;M77003;x
77004;Minister of Armament;阿尔贝托 戈梅 萨拉特 ;36;PA;Infantry Proponent;Medium;M77004;x
77005;Minister of Security;菲德尔 克里斯蒂诺 加拉伊 ;36;PA;Back Stabber;Medium;M77005;x
77006;Head of Military Intelligence;奥斯卡 A 博拉尼奥斯 ;36;PA;Industrial Specialist;Medium;M77006;x
77007;Chief of Staff;马尔科 A 莫利纳 ;36;PA;School of Mass Combat;Medium;M77007;x
77008;Chief of Army;马克西米利亚诺 埃尔南斯 马丁内斯 ;36;PA;Elastic Defence Doctrine;High;M77001;x
77009;Chief of Navy;劳尔 罗多尔菲 桑切斯 ;36;PA;Open Seas Doctrine;Medium;M77009;x
77010;Chief of Air Force;亨伯特 阿伯利 ;36;PA;Army Aviation Doctrine;Medium;M77010;x
77031;Head of State;安德烈斯 伊格纳西奥 梅嫩德斯 ;44;SL;Benevolent Gentleman;High;M77011;x
77032;Head of State;奥斯明 阿圭雷-萨利纳斯 ;44;PA;Powerhungry Demagogue;High;M77032;x
77033;Head of State;萨尔瓦多 卡斯塔涅达 卡斯特罗 ;45;SC;Die-hard Reformer;High;M77033;x
77034;Head of Government;安德烈斯 伊格纳西奥 梅嫩德斯 ;44;SL;Naive Optimist;High;M77011;x
77035;Head of Government;奥斯明 阿圭雷-萨利纳斯 ;44;PA;Old General;High;M77032;x
77036;Head of Government;萨尔瓦多 卡斯塔涅达 卡斯特罗 ;45;SC;Smiling Oilman;High;M77033;x
77037;Foreign Minister;阿图罗 拉蒙 阿维拉 ;42;SC;The Cloak N Dagger Schemer;Medium;M77013;x
77038;Foreign Minister;朱利奥 恩里克 阿维拉 ;44;SD;Iron Fisted Brute;Medium;M77038;x
77039;Foreign Minister;阿尔贝托 阿圭略 卢塞尔 ;44;PA;Great Compromiser;Medium;M77039;x
77040;Foreign Minister;赫克托 埃斯科巴尔 塞拉尼奥 ;45;SC;General Staffer;Medium;M77040;x
77041;Foreign Minister;华金 莱瓦-列伊达 ;46;ML;Biased Intellectual;Medium;M77041;x
77042;Minister of Armament;皮奥 罗梅罗 博斯克 ;38;SL;Administrative Genius;Medium;M77012;x
77043;Minister of Armament;佩德罗 雅伊梅 德 马特 ;38;SC;Laissez Faires Capitalist;Medium;M77043;x
77044;Minister of Armament;乔斯 马里亚 奎利亚 ;45;ML;Tank Proponent;Very Low;M77022;x
77045;Minister of Armament;若泽 古斯塔沃 格雷罗 ;44;SL;Resource Industrialist;Medium;M77045;x
77046;Minister of Security;佩德罗 雅伊梅 德 马特 ;37;SL;Man of the People;Medium;M77043;x
77047;Minister of Security;若泽 阿丹 帕拉达 ;39;PA;Compassionate Gentleman;Medium;M77015;x
77048;Minister of Security;佩德罗 雅伊梅 德 马特 ;41;SC;Man of the People;Medium;M77043;x
77049;Head of Military Intelligence;阿曼多 莫利纳 梅纳 ;41;SC;Dismal Enigma;Medium;M77016;x
77050;Head of Military Intelligence;萨尔瓦多 培尼亚 特雷霍 ;44;SD;Logistics Specialist;Medium;M77026;x
77051;Head of Military Intelligence;劳拉 H 德 萨拉查 ;44;SL;Technical Specialist;Medium;M77023;x
77052;Chief of Staff;安德烈斯 伊格纳西奥 梅嫩德斯 ;38;PA;School of Defence;Medium;M77011;x
77054;Chief of Army;毛罗 埃斯皮诺拉 卡斯特罗 ;43;SC;Decisive Battle Doctrine;Medium;M77018;x
77055;Chief of Army;若泽 安杰尔 卡斯蒂略 ;44;SD;Guns and Butter Doctrine;Low;M77028;x
77056;Chief of Navy;奥拉西奥 卡内若 伊巴涅斯 ;40;SC;Indirect Approach Doctrine;Medium;M77019;x
77058;Chief of Air Force;里卡多 阿夫雷戈 阿夫雷戈 ;43;SC;Vertical Envelopment Doctrine;Medium;M77020;x
77059;Chief of Air Force;米尔顿 安德拉德 卡布雷拉 ;44;SD;Army Aviation Doctrine;Medium;M77030;x
77060;Chief of Staff;奥斯明 阿圭雷-萨利纳斯 ;44;PA;School of Mass Combat;High;M77032;x
77061;Chief of Army;奥斯明 阿圭雷-萨利纳斯 ;44;PA;Elastic Defence Doctrine;High;M77032;x
77062;Minister of Armament;若泽 古斯塔沃 格雷罗 ;44;SC;Laissez Faires Capitalist;Medium;M77045;x
77063;Chief of Staff;萨尔瓦多 卡斯塔涅达 卡斯特罗 ;45;SC;School of Manoeuvre;High;M77033;x
77064;Chief of Army;赫克托 埃斯科巴尔 塞拉尼奥 ;45;SC;Armoured Spearhead Doctrine;Medium;M77040;x
77021;Head of State;奥古斯丁 法拉邦多 马蒂 ;36;LE;Weary Stiffneck;High;M77021;x
77022;Head of Government;乔斯 马里亚 奎利亚 ;36;LE;Naive Optimist;High;M77022;x
77023;Foreign Minister;劳拉 H 德 萨拉查 ;36;LWR;Iron Fisted Brute;Medium;M77023;x
77025;Minister of Security;弗朗哥 埃尔南斯 阿维拉 ;36;LE;Compassionate Gentleman;Medium;M77025;x
77027;Chief of Staff;奥古斯丁 法拉邦多 马蒂 ;36;LE;School of Fire Support;Medium;M77021;x
77065;Head of State;奥斯卡 A 奥索里奥 ;48;PA;Resigned Generalissimo;High;M77065;x
77066;Head of Government;奥斯卡 A 奥索里奥 ;48;PA;Old General;High;M77065;x
77067;Foreign Minister;弗朗哥 阿梅里戈 帕斯 ;48;PA;Iron Fisted Brute;Medium;M77067;x
77068;Minister of Armament;温贝托 科斯塔 ;48;PA;Air Superiority Proponent;Medium;M77068;x
77069;Minister of Security;曼努埃尔 德 热苏斯 科多瓦 ;48;PA;Prince of Terror;Medium;M77069;x
77070;Head of Military Intelligence;雷纳尔多 加林多 波尔 ;48;PA;Naval Intelligence Specialist;Medium;M77070;x
77071;Chief of Staff;奥斯卡 A 博拉尼奥斯 ;48;PA;School of Defence;High;L360003;x
77072;Chief of Army;奥斯卡 A 奥索里奥 ;48;PA;Decisive Battle Doctrine;High;M77065;x
77073;Chief of Navy;雷纳尔多 加林多 波尔 ;48;PA;Open Seas Doctrine;Medium;M77070;x
77074;Chief of Air Force;温贝托 科斯塔 ;48;PA;Air Superiority Doctrine;Medium;M77068;x
77075;Chief of Army;曼努埃尔 德 热苏斯 科多瓦 ;50;PA;Guns and Butter Doctrine;High;M77069;x
77076;Chief of Army;曼努埃尔 乔斯 马里亚 莱穆斯 洛佩斯 ;51;PA;Armoured Spearhead Doctrine;High;M77076;x
77077;Chief of Staff;曼努埃尔 德 热苏斯 科多瓦 ;51;PA;School of Fire Support;High;M77069;x
