GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
3;Foreign Minister;康斯坦丁 冯 牛赖特 ;36;FA;Great Compromiser;High;Neurath_Konstantin_von_ger;x
4;Minister of Armament;维尔纳 冯 布隆贝格 ;36;NS;Infantry Proponent;High;Blomberg_Werner_von_ger;x
5;Minister of Security;威廉 弗里克 ;36;NS;Prince of Terror;High;Frick_Wilhelm_ger;x
6;Head of Military Intelligence;威廉 卡纳里斯 ;36;FA;Dismal Enigma;Medium;Canaris_Wilhelm_ger;x
7;Chief of Staff;路德维格 贝克 ;36;PA;School of Manoeuvre;High;Beck_Ludwig_ger;x
8;Chief of Army;维尔纳 冯 弗里奇 ;36;PA;Armoured Spearhead Doctrine;High;Fritsch_Werner_von_ger;x
9;Chief of Navy;埃里希 雷德 ;36;NS;Decisive Naval Battle Doctrine;High;Raeder_Erich_ger;x
10;Chief of Air Force;赫尔曼 戈林 ;36;NS;Army Aviation Doctrine;Very High;Goering_Hermann_ger;x
245;Head of State;赫尔曼 戈林 ;36;NS;Barking Buffoon;Very High;Goering_Hermann_ger;x
246;Head of State;约瑟夫 戈培尔 ;42;NS;Powerhungry Demagogue;Very High;Goebbels_Joseph_ger;x
32;Head of State;卡尔 邓尼茨 ;45;NS;Resigned Generalissimo;High;Doenitz_Karl2_ger;x
33;Head of State;奥斯卡 冯 兴登堡 ;36;FA;Insignificant Layman;High;Hindenburg_Oskar_von;x
34;Head of State;路德维格 贝克 ;39;FA;Resigned Generalissimo;High;Beck_Ludwig_ger;x
35;Head of State;亚尔马 沙赫特 ;45;FA;Pig-headed Isolationist;High;Schacht_Hjalmar_ger;x
36;Head of State;威廉二世 ;36;PA;Weary Stiffneck;High;WilhelmII_ger;x
37;Head of State;威廉三世 ;41;PA;Benevolent Gentleman;High;WilhelmIII_ger;x
38;Head of State;特奥多尔 霍伊斯 ;46;SC;Die-hard Reformer;High;Heuss_Theodor_ger;x
39;Head of State;路德维格 雷恩 ;36;ST;Insignificant Layman;High;Renn_Ludwig_ger;x
213;Head of Government;赫尔曼 戈林 ;38;NS;Old Air Marshal;High;Goering_Hermann_ger;x
41;Head of Government;阿道夫 希特勒 ;39;NS;Flamboyant Tough Guy;High;Hitler_Adolf_ger;x
