U95;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900500;Head of State;穆塔拉三世 ;36;SC;Autocratic Charmer;Very High;M574001;x
900501;Head of Government;尤金·容格斯;36;ML;Silent Workhorse;Very High;rwanda1;x
900502;Foreign Minister;穆塔拉三世 ;36;SC;Great Compromiser;Very High;M574001;x
900503;Minister of Armament;奥古斯特·戈利亚尔;36;SL;Military Entrepreneur;Very High;unknown;x
900504;Minister of Security;穆塔拉三世 ;36;SC;Man of the People;Very High;M574001;x
900505;Head of Military Intelligence;尤金·容格斯;36;ML;Political Specialist;Very High;rwanda1;x
900506;Chief of Staff;奥古斯特·戈利亚尔;36;SL;School of Fire Support;Very High;unknown;x
900507;Chief of Army;奥古斯特·戈利亚尔;36;SL;Guns and Butter Doctrine;Very High;unknown;x
900508;Chief of Navy;尤金·容格斯;36;ML;Base Control Doctrine;Very High;rwanda1;x
900509;Chief of Air Force;尤金·容格斯;36;ML;Air Superiority Doctrine;Very High;rwanda1;x
900510;Head of State;多米尼克 姆博纽穆图瓦 ;45;SD;Insignificant Layman;Very High;rwanda2;x
900511;Head of Government;多米尼克 姆博纽穆图瓦 ;45;SD;Happy Amateur;Very High;rwanda2;x
900512;Foreign Minister;西尔韦斯特·恩桑齐马纳;48;LWR;Great Compromiser;Very High;rwanda3;x
900513;Minister of Armament;西奥多·辛迪古布瓦博;48;LWR;Theoretical Scientist;Very High;rwanda4;x
900514;Minister of Security;格雷戈勒·卡伊班达;48;LWR;Compassionate Gentleman;Very High;rwanda5;x
900515;Head of Military Intelligence;西尔韦斯特·恩桑齐马纳;48;LWR;Political Specialist;Very High;rwanda3;x
900516;Chief of Staff;多米尼克 姆博纽穆图瓦 ;45;SD;Undistinguished Suit;Very High;rwanda2;x
900517;Chief of Army;多米尼克 姆博纽穆图瓦 ;45;SD;Undistinguished Suit;Very High;rwanda2;x
900518;Chief of Navy;多米尼克 姆博纽穆图瓦 ;45;SD;Undistinguished Suit;Very High;rwanda2;x
900519;Chief of Air Force;多米尼克 姆博纽穆图瓦 ;45;SD;Undistinguished Suit;Very High;rwanda2;x
900520;Head of State;格雷戈勒·卡伊班达;48;LWR;Pig-headed Isolationist;Very High;rwanda5;x
900521;Head of Government;格雷戈勒·卡伊班达;48;LWR;Corporate Suit;Very High;rwanda5;x
900522;Minister of Security;以利沙凡·伊图尔马拉;44;PA;Efficient Sociopath;Very High;unknown;x
900523;Head of Government;约瑟夫·吉特拉;43;SC;Corporate Suit;Very High;unknown;x
900524;Minister of Armament;约瑟夫·吉特拉;43;SC;Corrupt Kleptocrat;Very High;unknown;x
900525;Minister of Security;尼马加·伊德切斯;34;PA;Crooked Kleptocrat;Very High;unknown;x
900526;Head of Military Intelligence;尼马加·伊德切斯;34;PA;Logistics Specialist;Very High;unknown;x
900527;Chief of Staff;约瑟夫·吉特拉;43;SC;School of Psychology;Very High;unknown;x
900528;Chief of Army;穆塔拉三世 ;36;SC;Armoured Spearhead Doctrine;Very High;M574001;x
900529;Foreign Minister;奥托;45;PA;The Cloak N Dagger Schemer;Very High;unknown;x
