 ;HEARTS OF IRON! Doomsday;;;;;;;;;;x
#;Arsenal of Democracy;;;;;;;;;;x
##;Boostertext edited by Lennart Berg, Philipp Elhaus;;;;;;;;;;x
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;x
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;x
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;x
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;x
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;x
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;x
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;x
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;x
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;x
##;;;;;;;;;;;x
##;;;;;;;;;;;x
##;NOTES TO TRANSLATORS:;;;;;;;;;;x
##;=====================;;;;;;;;;;x
##;;;;;;;;;;;x
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;x
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;x
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;x
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;x
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;x
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;x
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;x
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;x
##; = white text;;;;;;;;;;x
##; = orange text;;;;;;;;;;x
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;x
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the English original.;;;;;;;;;;x
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;x
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;x
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;x
##;;;;;;;;;;;x
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;x
##;;;;;;;;;;;x
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;x
##;;;;;;;;;;;x
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
##;;;;;;;;;;;x
#########################################;;;;;;;;;;;x
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;x
#########################################;;;;;;;;;;;x
EXTRA_LAND;该部队可以配属 %d 个加强团 ;;;;;;;;;;x
EXTRA_NAVAL;该舰船可以装备 %d 种辅助装备 ;;;;;;;;;;X
EXTRA_AIR;该航空部队可以配属 %d 个飞行中队 ;;;;;;;;;;X
DONTSENDFORCES;远征军控制 ;;;;;;;;;;X
FEOPT_ENDDATE;结束时间 ;;;;;;;;;;X
FEOPT_ICTAKEOVER;非本国领土IC完全接管 ;;;;;;;;;;X
FEOPT_TECHTEAMTAKEOVER;他国科技组接管 ;;;;;;;;;;X
FEOPT_DEMWAR;民主政体可发动战争 ;;;;;;;;;;X
FEOPT_HISTORICALDEATHS;将领按历史时间死亡 ;;;;;;;;;;X
FEOPT_HISTORICALEVENTS;事件选择历史选项 ;;;;;;;;;;X
FEOPT_1940;1940 ;;;;;;;;;;X
FEOPT_1946;1946 ;;;;;;;;;;X
FEOPT_1952;1952 ;;;;;;;;;;X
FEOPT_1958;1958 ;;;;;;;;;;X
FEOPT_1964;1964 ;;;;;;;;;;X
AUTONAVALUNITS;自动分配海军辅助装备 ;;;;;;;;;;X
AUTONAVALUNITS_TOOLTIP;该窗口将切换ＡＩ是否会替你分配海军配属 ;;;;;;;;;;X
BUTTON_SHOW_ARROWS_IN_DRO;这将使你看到地图上你所有部队的行军路线 ;;;;;;;;;;X
BUTTON_SHOW_ARROWS_IN_IRO;显示箭头 (*) ;;;;;;;;;;X
BUTTON_PROD_IRO;该窗口用于检视与控制生产，包括开支、转换、生产线和资 源管理。 ;;;;;;;;;;X
BUTTON_PROD_DRO; ;;;;;;;;;;X
BUTTON_TRADE;贸易 ;;;;;;;;;;X
BUTTON_TRADE_IRO;该窗口用于控制贸易与后勤。 ;;;;;;;;;;X
BUTTON_TRADE_DRO; ;;;;;;;;;;x
EXTRA_DONT_HAVE1;你未掌握建造该配属单位 ;;;;;;;;;;X
EXTRA_DONT_HAVE2;所需要的科技 ;;;;;;;;;;X
##;;;;;;;;;;;x
DO_WE_NEED;我们需要来自 %s 的援军 ;;;;;;;;;;X
WE_DONT_WANT;我们不需要来自 %s 的援军 ;;;;;;;;;;X
IN_COMBAT;单位正在战斗中，请稍后重试 ;;;;;;;;;;X
##;;;;;;;;;;;x
BLOCKEXPORT;禁止出口 ;;;;;;;;;;X
BLOCKEXPORT_ROLLOVER;如果被选中，该资源将不会向其它国家出售 ;;;;;;;;;;X
BLOCKIMPORT;禁止进口 ;;;;;;;;;;X
BLOCKIMPORT_ROLLOVER;如果被选中，该资源将不会从其它国家进口 ;;;;;;;;;;X
FOCUSIMPORT;I进口重点 ;;;;;;;;;;x
PRODUCTION_INFRASTRUCTURE;省份维修 ;;;;;;;;;;x
DEL_SLIDER_INFRASTRUCTURE;以百分之%.2f的效率重建\n 目前运作：\n%d 优先，\n%d 固有和 \n%d 非固有省份。 ;;;;;;;;;;X
HPROV_IRO_EFF;当前效率: 百分之%.1f \n ;;;;;;;;;;X
HPROV_IRO_MAXEFF;最大效率: 百分之%.1f \n ;;;;;;;;;;X
DEV_CLOSE_WHEN_FINISHED;当到达要求的数量时，是否关闭这条生产线？ ;;;;;;;;;;X
DEV_RETOOLING;正在重组 (还剩 %.f天)\n ;;;;;;;;;;X
IW_PROD_RETOOLING_TIME;重组时间：%.0f天 ;;;;;;;;;;X
PROVINCE_SCOPE;省份 ;;;;;;;;;;X
AREA_SCOPE;地区 ;;;;;;;;;;X
REGION_SCOPE;地域 ;;;;;;;;;;X
CONTINENT_SCOPE;大陆 ;;;;;;;;;;X
AA_RADAR_BONUS;雷达加成 %.1f\%% ;;;;;;;;;;X
PW_IDLE;空闲 ;;;;;;;;;;X
PW_UPKEEPPERCENTAGE;以%.1f \%%的效率维持 ;;;;;;;;;;X
CURR_GEARINGBONUS_RESOURCEUSAGE;流水线加成使资源使用量提高了%.1f \%% ;;;;;;;;;;X
MANPOWER_TOTAL;总人力: %.1f ;;;;;;;;;;X
MANPOWER_MILITARY;用于部队: %.1f ;;;;;;;;;;X
MANPOWER_PROVINCIAL;用于省份: %.1f ;;;;;;;;;;X
MANPOWER_DEVELOPMENT;用于生产中的项目: %.1f ;;;;;;;;;;X
MANPOWER_STATIC;总已用人力: %.1f ;;;;;;;;;;X
MANPOWER_FREE;空闲人力: %.1f ;;;;;;;;;;X
MANPOWER_AGE;每天因退休减少人力: %.2f ;;;;;;;;;;X
MANPOWER_MAX;最大人力: %.1f ;;;;;;;;;;X
PRODIW_PRO;省份 ;;;;;;;;;;X
MPINCOME_TOOLTIP;人力收入: %.2f ;;;;;;;;;;X
#EXPENSE_CONSUMER;民用开支所需 ;;;;;;;;;;X
EXPENSE_CONSUMER;民用开支 ;;;;;;;;;;X
EXPENSE_CONSUMER_TOOLTIP;每日不满度增长: %.2f ;;;;;;;;;;X
#EXPENSE_INTELLIGENCE;谍报活动 ;;;;;;;;;;X
EXPENSE_INTELLIGENCE;谍报活动 ;;;;;;;;;;X
