#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
BM_AMPH_PENALTY;两栖登陆 ;;;;;;;;;;X
BM_BASE_PROXIMITY;靠近基地 ;;;;;;;;;;X
BM_BLIZZARD;暴风雪 ;;;;;;;;;;X
BM_CARRIER_DOCTRINE;超级航母学说 ;;;;;;;;;;X
BM_DISSENT;持异议者 ;;;;;;;;;;X
BM_DIVISION_PENALTY;超过指挥上限 ;;;;;;;;;;X
BM_DUGIN_MODIFIER;战壕挖掘 ;;;;;;;;;;X
BM_ENCIRCLEMENT_PENALTY;包围惩罚 ;;;;;;;;;;X
BM_FOREST;森林 ;;;;;;;;;;X
BM_FORT_MODIFIER;要塞 ;;;;;;;;;;X
BM_FROZEN;冻土 ;;;;;;;;;;X
BM_HQ_NEARBY;靠近指挥部 ;;;;;;;;;;X
BM_JUNGLE;丛林 ;;;;;;;;;;X
BM_LEADER_BONUS;领导力 ;;;;;;;;;;X
BM_MARSH;沼泽 ;;;;;;;;;;X
BM_MOUNTAIN;山地 ;;;;;;;;;;X
BM_HILLS;丘陵 ;;;;;;;;;;X
BM_MUDDY;泥泞 ;;;;;;;;;;X
BM_NIGHT_MODIFIER;夜晚 ;;;;;;;;;;X
BM_PARATROOP_PENALTY;伞降 ;;;;;;;;;;X
BM_RAIN;雨天 ;;;;;;;;;;X
BM_RIVER_PENALTY;渡河 ;;;;;;;;;;X
BM_SNOW;雪天 ;;;;;;;;;;X
BM_STORM_MODIFIER;风暴 ;;;;;;;;;;X
BM_URBAN;巷战 ;;;;;;;;;;X
BM_SHORE_BOMBARD;海岸炮击 ;;;;;;;;;;X
BM_NIGHT_FLYER;夜间飞行 ;;;;;;;;;;X
BM_OFFENSIVE_DOCTRINE;进攻学说 ;;;;;;;;;;X
BM_DEFENSIVE_DOCTRINE;防御学说 ;;;;;;;;;;X
BM_SUPERIOR_TACTITIAN;超级战术家 ;;;;;;;;;;X
BM_STACKING_PENALTY;战场宽度 ;;;;;;;;;;X
BM_DIFFICULTY;困难 ;;;;;;;;;;X
BM_SUPPLY_DISTANCE;远距离后勤补给 ;;;;;;;;;;X
BM_LACK_OF_SUPPLIES;缺乏补给 ;;;;;;;;;;X
BM_DESERT;沙漠 ;;;;;;;;;;X
BM_WEATHER_EQ;恶劣天气装备 ;;;;;;;;;;X
BM_COS_DEFENCE;防御理论 ;;;;;;;;;;X
BM_COA_EL_DEF_DOCTRINE;弹性防御理论 ;;;;;;;;;;X
BM_COA_STAT_DEF_DOCTRINE;静态防御理论 ;;;;;;;;;;X
BM_COA_DEC_DOCTRINE;决战理论 ;;;;;;;;;;X
BM_COA_ARMOR_SPEARHEAD;装甲先锋理论 ;;;;;;;;;;X
BM_PANZER_LEADER;装甲兵指挥 ;;;;;;;;;;X
BM_COMMANDO;突击队指挥 ;;;;;;;;;;X
BM_NO_HQ;无HQ ;;;;;;;;;;X
BM_SEAWOLF;潜艇狼群指挥 ;;;;;;;;;;X
BM_SURPRISE;奇袭 ;;;;;;;;;;X
BM_RADAR_STATION;雷达 ;;;;;;;;;;X
BM_COMBINED_ARMS;合成兵种 ;;;;;;;;;;X
BM_BETTER_COMBINED_ARMS;高级合成兵种 ;;;;;;;;;;X
BM_EXPERIENCE;经验 ;;;;;;;;;;X
BM_INTERCEPT;拦截加权 ;;;;;;;;;;X
BM_MISSION_EFFICIENCY;任务效率 ;;;;;;;;;;X
BM_MULTIPLE;侧翼 ;;;;;;;;;;X
BM_ESE;补给效率 ;;;;;;;;;;X
BM_AIRCOMBAT;空战 ;;;;;;;;;;X
BM_ENVELOPMENT_PENALTY;多条前线 ;;;;;;;;;;X
BM_PLAINS;平原 ;;;;;;;;;;X
BM_INTEL_ADVANTAGE;密码破译 ;;;;;;;;;;X
BM_CARPET_BOMBER;地毯式轰炸专家 ;;;;;;;;;;X
BM_FLEET_DESTROYER;舰队毁灭者 ;;;;;;;;;;X
BM_TANK_BUSTER;坦克杀手 ;;;;;;;;;;X
BM_MINISTER_MODS;部长修正因素 ;;;;;;;;;;X
#;;;;;;;;;;;x
EE_PATTERN_CHANGE;%s的气候改变为%s。 ;;;;;;;;;;X
EE_MONEY;金钱：%+.1f ;;;;;;;;;;X
EE_NO_EFFECT;无立刻出现的效果 ;;;;;;;;;;X
EE_CHANGE_CAMPAIGN;切换到‘%s’战役。 ;;;;;;;;;;X
EE_ENDGAME;结束当前战役，返回主菜单。 ;;;;;;;;;;X
EE_PROTECT;%s将参加所有的战争。 ;;;;;;;;;;X
EE_EXTRA_TC;额外的运输能力：%s%d ;;;;;;;;;;X
EE_ENABLE_TASK;可完成的任务类型：%s。 ;;;;;;;;;;X
EE_ACTIVATE_DIVISION;激活部队%s于%s。 ;;;;;;;;;;X
EE_FREE_TRANSPORT;占领区输送船产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_ESCORT;占领区护航舰产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_SUPPLIES;占领区补给产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_OIL;占领区油料产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_ENERGY;占领区能源产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_MONEY;占领区金钱产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_METAL;占领区金属产量改变了%+.0f。 ;;;;;;;;;;X
EE_FREE_RAREMAT;占领区稀有原料产量改变了%+.0f。 ;;;;;;;;;;X
EE_N_CONVOY;建立新的护航船队(%s)从%s到%s。 ;;;;;;;;;;X
EE_CONVOY_POOL;未部署的输送船改变了%d。 ;;;;;;;;;;X
EE_BUILD_DIVISION;开始组建%s。 ;;;;;;;;;;X
EE_BUILD_IMPROVEMENT;%s在%s改变了%s%d。 ;;;;;;;;;;X
EE_START_RESEARCH;开始研究%s。 ;;;;;;;;;;X
EE_PRIO_RESEARCH;优先研究%s。 ;;;;;;;;;;X
EE_END_ACCESS;取消%s的军事通行权。 ;;;;;;;;;;X
EE_LEAVE_ALLIANCE;退出我们的军事联盟。 ;;;;;;;;;;X
EE_END_PUPPET;废除我们的‘傀儡’身份。 ;;;;;;;;;;X
EE_END_MASTERY;结束我们在%s的‘傀儡政府’。 ;;;;;;;;;;X
EE_GUARANTEE;%s宣布保障%s的独立。 ;;;;;;;;;;X
EE_END_GUARANTEE;%s取消对%s的独立保障。 ;;;;;;;;;;X
EE_ALLOW_CONVOY_ESCORTS;我们现在可以组建护航输送船队。 ;;;;;;;;;;X
EE_TRANSPORT_POOL;%s收到了%d的护航输送船队。 ;;;;;;;;;;X
EE_ESCORT_POOL;%s收到了%d的护航输送船队。 ;;;;;;;;;;X
EE_PEACETIME_IC_MOD;和平时期的IC修正改变了%s%.1f\%%。 ;;;;;;;;;;X
EE_NON_AGGRESSION;%s与%s签订了互不侵犯条约。 ;;;;;;;;;;X
EE_END_NON_AGGRESSION;%s取消了与%s的互不侵犯条约。 ;;;;;;;;;;X
EE_END_TRADES;所有%s和%s之间的贸易协定均被取消。 ;;;;;;;;;;X
EE_TRADE;在%s(A)和%s(B)之间正在进行新的贸易协定： ;;;;;;;;;;X
EE_TRADE_RESOURCE_POS;A向B提供%.1f %s。 ;;;;;;;;;;X
EE_TRADE_RESOURCE_NEG;B向A提供%.1f %s。 ;;;;;;;;;;X
EE_SET_LEADER_LOY;将领：%s的忠诚度改变了%d。 ;;;;;;;;;;X
EE_SET_MINISTER_LOY;部长：%s的忠诚度改变了%d。 ;;;;;;;;;;X
EE_DELETE_UNIT;部队：%s已被消灭。 ;;;;;;;;;;X
EE_MINISTER;%s成为部长候选人。 ;;;;;;;;;;X
EE_HOS;国家元首：%s ;;;;;;;;;;X
EE_HOG;政府首脑：%s ;;;;;;;;;;X
EE_FGNMIN;外交部长：%s ;;;;;;;;;;X
EE_ARMMIN;军备部长：%s ;;;;;;;;;;X
EE_SECMIN;安全部长：%s ;;;;;;;;;;X
EE_INTMIN;情报部长：%s ;;;;;;;;;;X
EE_STAFF;总参谋长：%s ;;;;;;;;;;X
EE_CARMY;陆军总长：%s ;;;;;;;;;;X
EE_CNAVY;海军总长：%s ;;;;;;;;;;X
EE_CAIR;空军总长：%s ;;;;;;;;;;X
EE_DESERTIONS;在以下地区损失了%d兵力：%s。 ;;;;;;;;;;X
EVENT_SELECTION;%s : %s在%s事件被选择，我们将执行这个决定。 ;;;;;;;;;;X
EVENT_SIMPLE;%s : 我们发生%s事件。 ;;;;;;;;;;X
EE_P_CUL;%s的文化改变为%s ;;;;;;;;;;X
EE_P_TAX;%s的基础税率为：%s%d ;;;;;;;;;;X
EE_P_MAN;%s的兵源为：%s%d ;;;;;;;;;;X
EE_P_MINE;%s的矿产为：%s%d ;;;;;;;;;;X
EE_NATIVE;%s的原住民侵略性被设为%d级 ;;;;;;;;;;X
EE_FORT;%s的要塞等级为：%s%d ;;;;;;;;;;X
EE_POP;%s的人口为：%s%d ;;;;;;;;;;X
EE_N_REVOLT;%s叛乱。 ;;;;;;;;;;X
EE_R_REVOLT;%s叛乱。 ;;;;;;;;;;X
EE_C_REVOLT;%s叛乱。 ;;;;;;;;;;X
EE_HERETICS;%s的异教徒 ;;;;;;;;;;X
EE_CONVERTED;%s成为国教 ;;;;;;;;;;X
EE_P_RR;%s的叛乱机率为：%s%d ;;;;;;;;;;X
EE_P_REL;%s转变为%s。 ;;;;;;;;;;X
EE_P_ADM;君主的统治技能改变%d在接下来的%d个月里。 ;;;;;;;;;;X
EE_P_DIP;君主的外交技能改变%d在接下来的%d个月里。 ;;;;;;;;;;X
EE_P_MIL;君主的军事技能改变%d在接下来的%d个月里。 ;;;;;;;;;;X
EE_S_REL;国教改变为%s。 ;;;;;;;;;;X
EE_RRISK;叛乱机率改变%s%d在接下来的%d个月里。 ;;;;;;;;;;X
EE_INFLATION;通货膨胀率：%s%d ;;;;;;;;;;X
EE_BROY;与%s的皇室联姻破裂。 ;;;;;;;;;;X
