#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
NAME_POLICY_NATURAL_ECONOMY;自然经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_NATURAL_ECONOMY;自给自足的农业经济，商品交换不频繁，自然经济的生产单位 单一化对市场的依赖性非常小。 ;;;;;;;;;;X
NAME_POLICY_NATURAL-Capitalism_ECONOMY;农业-资本主义过渡经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_NATURAL-Capitalism_ECONOMY;在庞大的农业国家中，如中国和印度，农业经济向资本主义的 转型是非常缓慢的，二十世纪三十年代的中国就是一个城市经 济步入了自由资本主义，但占全国80%地域的农村仍然以传 统农业经济为主导的混合经济形态。;;;;;;;;;;X
NAME_POLICY_Laisser-faire_Capitalism;自由资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_Laisser-faire_Capitalism;以自由竞争的市场经济为特征的资本主义，是步入工业化社会 和资本主义的第一步。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_monopoly;垄断资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_monopoly;由于市场的盲目性、滞后性，资本主义开始出现经济危机，中 小企业的破产成为常态，同时重工业的发展也迫切需要规模更 大的企业，法律制度上股份制的提供了制度土壤，垄断资本主 义的时代到来了！;;;;;;;;;;X
NAME_POLICY_ECONOMY_military-state;军国垄断资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_military-state;以军事工业为主要工业部门，通过扩张获取各种资源，对内压 制私人资本和舆论。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_Colonialism;殖民垄断资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_Colonialism;通过在世界范围内掠取殖民地资源而实现资本扩张，在垄断资 本主义的基础上更加依赖殖民地。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_finance;金融垄断资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_finance;通过金融托拉斯控制各类企业，以世界性通用货币形成金融权 力基础，通过货币流通、发行和虚拟化促进资本的扩张。;;;;;;;;;;X
NAME_POLICY_ECONOMY_state-monopoly;国家垄断资本主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_state-monopoly;政权与私人资本高度结合，形成国家权力支持下的大垄断企业 或者国有企业直接垄断的经济形态，如果没有清廉的执政群体 或者高度有效的监督体制，大规模的制度化腐败是不可避免的。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_colonial;殖民经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_colonial;殖民地和半殖民地中存在的经济形态，资源受到列强严重掠夺 ，大量开采原材料出口，自身工业发展缓慢。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_revolutionary;革命根据地经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_revolutionary;介乎农业经济与早期计划经济之间，由于处于长期战争的特殊 环境下，发展出的亦工亦商、亦兵亦农的平战一体的经济模式 ，以中国共产党为典型。;;;;;;;;;;X
NAME_POLICY_ECONOMY_Leninism-market;列宁主义市场经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_Leninism-market;列宁为恢复苏联经济推动的“新经济政策”，成为了社会主义 市场经济的最早范本。农业上，农民交纳粮食税后，剩余的粮 食等农产品可以到市场交换物品。工业方面，在坚持发展社会 主义大生产和国家掌握国民经济命脉的前提下，将部分国有企 业以租借制和租让制的形式转变为国家资本主义企业。商业上 ，废除国家配给制和国家贸易垄断制。在坚持国家计划领导的 前提下，实行自由贸易制，大力发展社会主义商品经济。 ;;;;;;;;;;X
NAME_POLICY_ECONOMY_Stalinism-planned;斯大林计画经济 ;;;;;;;;;;X
DESCRIPTION_POLICY_ECONOMY_Stalinism-planned;斯大林经济模式是带有浓厚官制色彩的、以国家所有制为主体 的、全国统一指令性计划的、国家垄断集中管理的体制。过分 强调发展重工业，急于实现农业全盘集体化，从而导致了工农 严重的不平衡，不能实现经济的平衡发展。 ;;;;;;;;;;X
NAME_POLICY_social_confucianism;儒家传统 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_confucianism;不仁者不可以久处约,不可以长处乐,仁者安仁,知者利仁。 ——孔子 ;;;;;;;;;;X
NAME_POLICY_social_bushido;武士道 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_bushido;于太平之世丧失武道如同用木刀，木刀形公似刀而无真刀之用 ，疏于武道者也形似武士而劣于百姓町人，故武家达于武道者 是为知家职，此乃天下之宝也。——《东照宫御遗训》 ;;;;;;;;;;X
NAME_POLICY_social_Islam;伊斯兰文化 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_Islam;真主必定使他所意欲者误入迷途，必定使归依他的人走上正路。 ——《古兰经》 ;;;;;;;;;;X
NAME_POLICY_social_Buddhism;佛教文化 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_Buddhism;一切有为法，如梦幻泡影，如露亦如电，应作如是观。    ——《金刚经》;;;;;;;;;;X
NAME_POLICY_social_Catholicism;天主教——保守主义文化 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_Catholicism;信德是所希望之事的担保，是未见之事的确证。       ——《希伯来书》;;;;;;;;;;X
NAME_POLICY_social_Puritanism-liberalism;清教——自由主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_Puritanism-liberalism;什么是宽容？宽容是人性的产物。我们都生来有缺陷错误， 就让我们原谅彼此的蠢行吧。 ——伏尔泰 ;;;;;;;;;;X
NAME_POLICY_social_nazi;种族民族主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_nazi;那些想活下去的人，让他们去战斗；那些不想战斗的人， 在这个充满了永恒斗争的世界，没有资格活下去。 ——阿道夫·希特勒 ;;;;;;;;;;X
NAME_POLICY_social_collectivism;苏维埃集体主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_collectivism;只要千百万劳动者团结得像一个人一样，跟随本阶级的优秀人 物前进，胜利也就有了保证。——列宁 ;;;;;;;;;;X
NAME_POLICY_social_revolutionary;革命集体主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_revolutionary;我能舍弃一切，但是不能舍弃党，舍弃阶级，舍弃革命事业。 我有一天生命，我就应该为它们工作一天！——方志敏 ;;;;;;;;;;X
NAME_POLICY_social_self-movement;民族独立运动 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_self-movement;当我绝望时，我会想起：在历史上，只有真理和爱能得胜，历 史上有很多暴君和凶手，在短期内或许是所向无敌的，但是终 究总是会失败。好好想一想，永远都是这样。——甘地 ;;;;;;;;;;X
NAME_POLICY_social_integration;多元文化 ;;;;;;;;;;X
DESCRIPTION_POLICY_social_integration;不管走到哪儿，都要永远记住：过去是虚假的，往事是不能返 回的，每一个消逝的春天都一去不复返了，最狂热、最坚贞的 爱情也只是一种过眼烟云似的感情。            ——（哥伦比亚）加西亚·马尔克斯  ;;;;;;;;;;X
NAME_POLICY_political_nazi;纳粹主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_nazi;纳粹的极端集体主义、扩张主义和中央集权给医治欧洲的经济 危机带来了奇迹般的疗效，但是这种极大忽视人性的政治主义 最终将整个国家带上了战争的快车道并试图征服世界，这也让 世界上其他国家把它视为了最大的威胁。 ;;;;;;;;;;X
NAME_POLICY_political_fascist;法西斯主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_fascist;法西斯主义拥有以下一种或多种特质的意识形态：强烈的民族 主义、经济的社团主义、一个权力极大的独裁领导者，将民族 、国家、和集体的地位置于个人或团体之上。意大利为主的法 西斯主义国家的中心思想确是不折不扣阶级政治，这也让它相 比纳粹主义更容易受到人民的反对。 ;;;;;;;;;;X
NAME_POLICY_political_militarism;“八?一宇”军国主义 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_militarism;传说中的神武天皇颁下诏令“征服世间的四面八方，置诸于一 个屋顶之下”，在建立皇国的使命感驱使下，整个国家的政治 都以征服和侵略为核心。军国一体的体制和人间半神“天皇” 的存在使得整个国家陷入一种不真实的狂热。;;;;;;;;;;X
NAME_POLICY_political_dignitary;权贵政治 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_dignitary;在封建国家向现代化转变的过程中，经济领域的资本主义化与 政治领域的集权传统相结合而形成了以军人、官僚集团、资本 家为核心的权贵资本主义政治体制。作为转型体制，它一定程 度上维护了社会转轨的稳定，但是权贵资本原始积累阶段带来 的腐败、专制、社会阶层的固化将会带来严重的隐患。;;;;;;;;;;X
NAME_POLICY_political_theocracy;政教合一 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_theocracy;政权和神权合二为一的政治制度。其基本特点是：国家元首和 宗教领袖同为一人，政权和教权由一人执掌；国家法律以宗教 教义为依据，宗教教义是处理一切民间事务的准则，民众受狂 热和专一的宗教感情所支配。政教合一国家在现代政治中常见 于伊斯兰国家。;;;;;;;;;;X
NAME_POLICY_political_regality;君权政治 ;;;;;;;;;;X
DESCRIPTION_POLICY_political_regality;与一般君主立宪制国家中，君王只是“虚君”不同，在很多中 小国家中，由于君主本身即是推动民主化和立宪改革的政治力 量，因此君主仍然具有很高的权威和权力。体现在政治制度上 就是二元的君主立宪制，君主往往仍然是行政和军队的最高首 脑，实际上掌握着国家权力。;;;;;;;;;;X
NAME_POLICY_political_conservatism;保守主义;;;;;;;;;;X
