##;ENG;;;;;;;;;;X
PROV0;（运输中）;;;;;;;;;;X
PROV1;雷克雅未克;;;;;;;;;;X
PROV2;赫本;;;;;;;;;;X
PROV3;斯托诺韦;;;;;;;;;;X
PROV4;苏伊士;;;;;;;;;;X
PROV5;斯卡帕湾;;;;;;;;;;X
PROV6;因弗内斯;;;;;;;;;;X
PROV7;阿伯丁;;;;;;;;;;X
PROV8;奥本;;;;;;;;;;X
PROV9;格拉斯哥;;;;;;;;;;X
PROV10;爱丁堡;;;;;;;;;;X
PROV11;纽卡斯尔◆泰恩河畔;;;;;;;;;;X
PROV12;曼彻斯特;;;;;;;;;;X
PROV13;利兹;;;;;;;;;;X
PROV14;利物浦;;;;;;;;;;X
PROV15;加迪夫;;;;;;;;;;X
PROV16;伯明翰;;;;;;;;;;X
PROV17;诺里奇;;;;;;;;;;X
PROV18;加莱;;;;;;;;;;X
PROV19;伦敦;;;;;;;;;;X
PROV20;多佛尔（英国）;;;;;;;;;;X
PROV21;朴茨茅斯;;;;;;;;;;X
PROV22;布里斯托尔;;;;;;;;;;X
PROV23;普利茅斯;;;;;;;;;;X
PROV24;科克;;;;;;;;;;X
PROV25;戈尔韦;;;;;;;;;;X
PROV26;斯莱戈;;;;;;;;;;X
PROV27;莱特肯尼;;;;;;;;;;X
PROV28;贝尔法斯特;;;;;;;;;;X
PROV29;伦敦德里;;;;;;;;;;X
PROV30;都柏林;;;;;;;;;;X
PROV31;马耳他岛;;;;;;;;;;X
PROV32;布雷斯特;;;;;;;;;;X
PROV33;雷恩;;;;;;;;;;X
PROV34;洛里昂;;;;;;;;;;X
PROV35;南特;;;;;;;;;;X
PROV36;昂热;;;;;;;;;;X
PROV37;阿夫朗什;;;;;;;;;;X
PROV38;瑟堡;;;;;;;;;;X
PROV39;卡昂;;;;;;;;;;X
PROV40;阿让唐;;;;;;;;;;X
PROV41;勒阿弗尔;;;;;;;;;;X
PROV42;亚眠;;;;;;;;;;X
PROV43;敦刻尔克;;;;;;;;;;X
PROV44;里尔;;;;;;;;;;X
PROV45;根特;;;;;;;;;;X
PROV46;鹿特丹;;;;;;;;;;X
PROV47;阿姆斯特丹;;;;;;;;;;X
PROV48;乌德勒支;;;;;;;;;;X
PROV49;艾恩德霍芬;;;;;;;;;;X
PROV50;安特卫普;;;;;;;;;;X
PROV51;布鲁塞尔;;;;;;;;;;X
PROV52;蒙斯;;;;;;;;;;X
PROV53;瓦朗谢讷;;;;;;;;;;X
PROV54;拉昂;;;;;;;;;;X
PROV55;圣但尼;;;;;;;;;;X
PROV56;巴黎;;;;;;;;;;X
PROV57;奥尔良;;;;;;;;;;X
PROV58;勒芒;;;;;;;;;;X
PROV59;拉罗什;;;;;;;;;;X
PROV60;图尔;;;;;;;;;;X
PROV61;布尔日;;;;;;;;;;X
PROV62;欧塞尔;;;;;;;;;;X
PROV63;特鲁瓦;;;;;;;;;;X
PROV64;兰斯;;;;;;;;;;X
PROV65;那慕尔;;;;;;;;;;X
PROV66;亚琛;;;;;;;;;;X
PROV67;埃森;;;;;;;;;;X
PROV68;列日;;;;;;;;;;X
PROV69;哈瑟尔特;;;;;;;;;;X
PROV70;阿尔隆;;;;;;;;;;X
PROV71;卢森堡;;;;;;;;;;X
PROV72;梅斯;;;;;;;;;;X
PROV73;斯特拉斯堡;;;;;;;;;;X
PROV74;萨尔布吕肯;;;;;;;;;;X
PROV75;科隆（德国）;;;;;;;;;;X
PROV76;杜塞尔多夫;;;;;;;;;;X
PROV77;阿纳姆;;;;;;;;;;X
PROV78;吕伐登;;;;;;;;;;X
PROV79;格罗宁根;;;;;;;;;;X
PROV80;威廉港;;;;;;;;;;X
PROV81;明斯特;;;;;;;;;;X
PROV82;卡塞尔;;;;;;;;;;X
PROV83;施韦因富特;;;;;;;;;;X
PROV84;埃尔福特;;;;;;;;;;X
PROV85;哥廷根;;;;;;;;;;X
PROV86;汉诺威;;;;;;;;;;X
PROV87;不莱梅;;;;;;;;;;X
PROV88;汉堡;;;;;;;;;;X
PROV89;吕贝克;;;;;;;;;;X
PROV90;基尔;;;;;;;;;;X
PROV91;奥本罗;;;;;;;;;;X
PROV92;奥尔胡斯;;;;;;;;;;X
PROV93;马尔默;;;;;;;;;;X
PROV94;诺金斯克;;;;;;;;;;X
PROV95;卡尔马;;;;;;;;;;X
PROV96;哥得兰岛;;;;;;;;;;X
PROV97;延雪平;;;;;;;;;;X
PROV98;哥德堡;;;;;;;;;;X
PROV99;舍夫德;;;;;;;;;;X
PROV100;北雪平;;;;;;;;;;X
PROV101;斯德哥尔摩;;;;;;;;;;X
PROV102;乌普萨拉;;;;;;;;;;X
PROV103;奥兰群岛;;;;;;;;;;X
PROV104;韦斯特罗斯;;;;;;;;;;X
PROV105;卡尔斯塔德;;;;;;;;;;X
PROV106;奥莫尔;;;;;;;;;;X
PROV107;奥斯陆;;;;;;;;;;X
PROV108;克里斯蒂安松;;;;;;;;;;X
PROV109;斯塔万格;;;;;;;;;;X
PROV110;卑尔根;;;;;;;;;;X
PROV111;哈马尔;;;;;;;;;;X
PROV112;厄勒布鲁;;;;;;;;;;X
PROV113;法伦;;;;;;;;;;X
PROV114;耶夫勒;;;;;;;;;;X
PROV115;埃农泰基厄;;;;;;;;;;X
PROV116;赫讷福斯;;;;;;;;;;X
PROV117;莫尔德;;;;;;;;;;X
PROV118;特隆赫姆;;;;;;;;;;X
PROV119;厄斯特松德;;;;;;;;;;X
PROV120;松兹瓦尔;;;;;;;;;;X
PROV121;威廉明娜;;;;;;;;;;X
PROV122;于默奥;;;;;;;;;;X
PROV123;特罗姆瑟;;;;;;;;;;X
PROV124;摩城;;;;;;;;;;X
PROV125;纳尔维克;;;;;;;;;;X
PROV126;基律纳;;;;;;;;;;X
PROV127;吕勒奥;;;;;;;;;;X
PROV128;哈默弗斯特;;;;;;;;;;X
PROV129;瓦尔德;;;;;;;;;;X
PROV130;罗瓦涅米;;;;;;;;;;X
PROV131;托尔尼奥;;;;;;;;;;X
PROV132;贝柴摩;;;;;;;;;;X
PROV133;摩尔曼斯克;;;;;;;;;;X
PROV134;科拉半岛;;;;;;;;;;X
PROV135;坎达拉克沙;;;;;;;;;;X
PROV136;卡亚尼;;;;;;;;;;X
PROV137;奥卢;;;;;;;;;;X
PROV138;瓦萨;;;;;;;;;;X
PROV139;伊纳里;;;;;;;;;;X
PROV140;波里;;;;;;;;;;X
PROV141;图尔库;;;;;;;;;;X
PROV142;赫尔辛基;;;;;;;;;;X
PROV143;坦佩雷;;;;;;;;;;X
PROV144;拉赫蒂;;;;;;;;;;X
PROV145;维堡;;;;;;;;;;X
PROV146;索尔塔瓦拉;;;;;;;;;;X
PROV147;于韦斯屈莱;;;;;;;;;;X
PROV148;库奥皮奥;;;;;;;;;;X
PROV149;约恩苏;;;;;;;;;;X
PROV150;洛乌希;;;;;;;;;;X
PROV151;白海城;;;;;;;;;;X
PROV152;彼得扎罗沃斯克;;;;;;;;;;X
PROV153;奥涅加;;;;;;;;;;X
PROV154;阿尔汉格尔斯克;;;;;;;;;;X
PROV155;奔萨;;;;;;;;;;X
PROV156;巴拉绍夫;;;;;;;;;;X
PROV157;丘雷姆;;;;;;;;;;X
PROV158;库兹涅茨克;;;;;;;;;;X
PROV159;卡梅申;;;;;;;;;;X
PROV160;伊洛夫林斯卡亚;;;;;;;;;;X
PROV161;苏罗维基诺;;;;;;;;;;X
PROV162;卡拉奇（顿河畔）;;;;;;;;;;X
