#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
###########################################;;;;;;;;;;;x
########### MESSAGE HANDLER    ############;;;;;;;;;;;x
###########################################;;;;;;;;;;;x
##;;;;;;;;;;;x
#  PLAYER TITLES;;;;;;;;;;;x
##;;;;;;;;;;;x
MESS_RANK0;阁下 ;;;;;;;;;;X
MESS_RANK1;阁下 ;;;;;;;;;;X
MESS_RANK2;阁下 ;;;;;;;;;;X
MESS_RANK3;阁下 ;;;;;;;;;;X
MESS_RANK4;阁下 ;;;;;;;;;;X
MESS_RANK5;阁下 ;;;;;;;;;;X
MESS_RANK6;阁下 ;;;;;;;;;;X
#;;;;;;;;;;;x
MESS_MASTERCALL1;阁下 ;;;;;;;;;;X
MESS_MASTERCALL2;阁下 ;;;;;;;;;;X
MESS_MASTERCALL3;阁下 ;;;;;;;;;;X
MESS_MASTERCALL4;阁下 ;;;;;;;;;;X
MESS_MASTERCALL5;阁下 ;;;;;;;;;;X
MESS_MASTERCALL6;阁下 ;;;;;;;;;;X
##;;;;;;;;;;;x
#  These following pejorative adjectives are randomly inserted in some messages. The definite article ('the') can either be in the actual message or in this string ? the syntax in the english version is 'the %s [in %s have declared war on us]'.;;;;;;;;;;;x
##;;;;;;;;;;;x
MESS_BADWORDS1;那帮混蛋 ;;;;;;;;;;X
MESS_BADWORDS2;那群猪猡 ;;;;;;;;;;X
MESS_BADWORDS3;那些异端 ;;;;;;;;;;X
MESS_BADWORDS4;那些叛徒 ;;;;;;;;;;X
#;;;;;;;;;;;x
EFFECTS;效果 ;;;;;;;;;;x
HISTORY;历史 ;;;;;;;;;;x
#;;;;;;;;;;;x
MESS_NOSUNK;（没有船只被击沉） ;;;;;;;;;;X
MESS_SUNKLIST;以下船只被击沉：\n;;;;;;;;;;X
##;;;;;;;;;;;x
#  NOTE: The messages work this way:;*_SETUP = the string displayed in the in-game message display options listing;;*_SETUP = the string displayed in the in-game message display options listing;;*_SETUP = the string displayed in the in-game message display options listing;;;;;;x
##;*_HEADER = small orange header in message box;;*_HEADER = small orange header in message box;;*_HEADER = small orange header in message box;;;;;;x
##;*_1 = large white header in message box (limited space!);;*_1 = large white header in message box (limited space!);;*_1 = large white header in message box (limited space!);;;;;;x
##;*_2 = small orange text in message box;;*_2 = small orange text in message box;;*_2 = small orange text in message box;;;;;;x
##;*_3 = all caps white text in message box;;*_3 = all caps white text in message box;;*_3 = all caps white text in message box;;;;;;x
##;*_4 = small orange text in message box;;*_4 = small orange text in message box;;*_4 = small orange text in message box;;;;;;x
##;*_5 = all caps white text in message box;;*_5 = all caps white text in message box;;*_5 = all caps white text in message box;;;;;;x
##;*_6 = small orange text in message box;;*_6 = small orange text in message box;;*_6 = small orange text in message box;;;;;;x
##;*_LOG = the text that is displayed in the game log (in the bottom of the screen) ? most often this is just a shorter recap of all the other text strings.;;*_LOG = the text that is displayed in the game log (in the bottom of the screen) ? most often this is just a shorter recap of all the other text strings.;;*_LOG = the text that is displayed in the game log (in the bottom of the screen) ? most often this is just a shorter recap of all the other text strings.;;;;;;x
##;*_BTN1 = left button;;*_BTN1 = left button;;*_BTN1 = left button;;;;;;x
