country;main color;leader language;ArmyNationalitySprite;END
AFG;White;ENG;MIN;X
ALB;DarkBrown;ENG;MIN;X
ALG;LightYellow;FRA;MIN;X
ANG;LightGreen;POR;MIN;X
ARA;Brown;TUR;MIN;X
ARG;LightBlue;SPA;MIN;X
ARM;Brown;SOV;SOV;X
AST;LightGray;AST;ENG;X
AUS;Brown;AUS;GER;X
AZB;DarkOrange;SOV;SOV;X
BEL;DarkBrown;BEL;MIN;X
BEN;LightBlue;ENG;MIN;X
BHU;Red;ENG;MIN;X
BLR;LightBrown;SOV;SOV;X
BOL;LightGray;SPA;MIN;X
BOS;DarkGreen;YUG;MIN;X
BRA;LightBrown;POR;MIN;X
BRU;Red;ENG;MIN;X
BUL;LightBrown;BUL;ROM;X
BUR;DarkGreen;ENG;MIN;X
CAL;Green;USA;USA;X
CAM;Blue;FRA;ENG;X
CAN;Red;ENG;MIN;X
CGX;LightBrown;CHI;CHI;X
CHC;LightYellow;CHI;CHC;X
CHI;Yellow;CHI;CHI;X
CHL;DarkGreen;SPA;MIN;X
CMB;Brown;ENG;MIN;X
COL;DarkYellow;SPA;MIN;X
CON;Yellow;ENG;MIN;X
COS;LightYellow;SPA;MIN;X
CRO;DarkGray;YUG;MIN;X
CSA;LightGray;USA;MIN;X
CSX;Green;CHI;CHI;X
CUB;LightGray;CUB;MIN;X
CXB;DarkGreen;CHI;CHI;X
CYN;DarkBrown;CHI;CHI;X
CYP;Yellow;ENG;MIN;X
CZE;DarkGreen;ENG;MIN;X
DDR;LightGreen;GER;GER;X
DEN;DarkOrange;DEN;MIN;X
DFR;Grey;GER;GER;X
DOM;DarkGray;SPA;MIN;X
EAF;LightGrey;ENG;MIN;X
ECU;Brown;SPA;MIN;X
EGY;Red;ENG;MIN;X
ENG;LightRed;ENG;ENG;X
EQA;DarkBlue;FRA;MIN;X
EST;White;EST;MIN;X
ETH;Brown;ENG;MIN;X
EUS;LightBrown;SPA;MIN;X
FIN;LightGray;FIN;FIN;X
FLA;Yellow;BEL;MIN;X
FRA;Blue;FRA;FRA;X
GAB;Red;FRA;MIN;X
GEO;DarkGreen;ENG;SOV;X
GER;Gray;GER;GER;X
GLD;Brown;ENG;MIN;X
GRE;LightBlue;ENG;MIN;X
GUA;LightGray;SPA;MIN;X
GUI;Green;FRA;MIN;X
GUY;Brown;ENG;MIN;X
HAI;LightBlue;ENG;MIN;X
HOL;LightYellow;HOL;MIN;X
HON;LightGreen;SPA;MIN;X
HUN;DarkYellow;HUN;ROM;X
ICL;LightGray;ENG;MIN;X
IDC;LightBlue;ENG;MIN;X
IND;DarkYellow;ENG;ENG;X
INO;LightBrown;ENG;MIN;X
IRE;LightGreen;IRE;ENG;X
IRQ;Red;TUR;MIN;X
ISR;LightBrown;ENG;MIN;X
ITA;Green;ITA;ITA;X
JAP;LightOrange;JAP;JAP;X
JOR;DarkGreen;ENG;MIN;X
KAZ;LightBrown;SOV;SOV;X
KOR;LightGreen;ENG;JAP;X
KUR;Brown;TUR;MIN;X
KYG;DarkGreen;SOV;SOV;X
LAO;LightRed;ENG;MIN;X
LAT;DarkBrown;LAT;MIN;X
LBY;LightGreen;ENG;MIN;X
LEB;LightGray;ENG;MIN;X
LIB;LightGray;ENG;MIN;X
LIT;DarkYellow;LIT;MIN;X
LUX;LightBrown;ENG;MIN;X
MAD;DarkOrange;FRA;MIN;X
MAL;LightOrange;FRA;MIN;X
MAN;DarkGray;CHI;JAP;X
MEN;DarkBlue;CHI;JAP;X
MEX;DarkGreen;SPA;MIN;X
MIN;Brown;ENG;MIN;X
MLY;Brown;ENG;MIN;X
MON;DarkYellow;CHI;SOV;X
MOR;DarkOrange;ENG;MIN;X
MOZ;Red;POR;MIN;X
MTN;LightGreen;ENG;MIN;X
NAM;LightYellow;ENG;MIN;X
NEP;Red;ENG;MIN;X
NIC;DarkBrown;SPA;MIN;X
NIG;Red;ENG;MIN;X
NOR;LightBrown;NOR;FIN;X
NZL;DarkYellow;NZL;ENG;X
OMN;LightBrown;ENG;MIN;X
OTT;LightGreen;TUR;MIN;X
PAK;DarkBrown;ENG;MIN;X
PAL;LightOrange;ENG;MIN;X
PAN;LightGray;SPA;MIN;X
PAR;LightYellow;SPA;MIN;X
PER;DarkGray;PER;MIN;X
PHI;DarkBrown;SPA;MIN;X
POL;DarkGray;POL;MIN;X
POR;DarkGreen;POR;MIN;X
PRI;Yellow;SOV;SOV;X
PRK;Brown;CHI;SOV;X
PRU;DarkOrange;SPA;MIN;X
QUE;LightBlue;FRA;FRA;X
REB;Black;ENG;MIN;X
RHO;Brown;ENG;MIN;X
ROM;DarkOrange;ROM;ROM;X
RSI;LightBrown;ITA;ITA;X
RUS;Red;SOV;SOV;X
SAF;Red;ENG;MIN;X
SAL;DarkGray;ENG;MIN;X
SAR;DarkOrange;ENG;MIN;X
SAU;DarkOrange;ENG;MIN;X
SCA;LightGreen;SWE;FIN;X
SCH;Red;GER;MIN;X
SCO;LightBrown;ENG;ENG;X
SER;LightGray;ENG;MIN;X
SIA;LightGreen;ENG;MIN;X
SIB;LightGray;SOV;SOV;X
SIE;LightYellow;ENG;MIN;X
SIK;LightBlue;CHI;CHI;X
SLO;LightGreen;ENG;MIN;X
SLV;LightBrown;ENG;MIN;X
SOM;LightYellow;ENG;MIN;X
SOV;DarkRed;SOV;SOV;X
SPA;DarkGray;SPA;ROM;X
SPR;DarkYellow;SPA;MIN;X
SUD;DarkYellow;ENG;MIN;X
SWE;LightBlue;SWE;FIN;X
SYR;LightYellow;ENG;MIN;X
TAJ;DarkOrange;SOV;SOV;X
TAN;DarkBrown;CHI;SOV;X
TEX;Yellow;USA;USA;X
TIB;LightGray;ENG;MIN;X
TRA;LightOrange;SOV;SOV;X
TRK;DarkBrown;SOV;MIN;X
TUN;Brown;FRA;MIN;X
TUR;LightGreen;TUR;MIN;X
UKR;LightBlue;SOV;SOV;X
URU;DarkGray;SPA;MIN;X
USA;DarkBlue;USA;USA;X
UZB;LightGreen;SOV;SOV;X
VEN;LightGreen;SPA;MIN;X
VIC;White;FRA;FRA;X
VIE;LightBlue;CHI;MIN;X
WLL;LightBrown;FRA;MIN;X
YEM;LightGray;TUR;MIN;X
YUG;LightYellow;YUG;MIN;X
ALS;LightBlue;MIN;MIN;X
AXI;Gray;GER;MIN;X
ALI;White;ALI;MIN;X
U00;DarkGray;ENG;MIN;X
U01;Blue;FRA;FRA;X
U02;DarkBlue;SOV;MIN;X
U03;Blue;FRA;FRA;X
U04;Brown;CHI;CHI;X
U05;White;CHI;CHI;X
U06;Gray;CHI;CHI;X
U07;DarkBlue;CHI;CHI;X
U08;LightRed;ENG;ENG;X
U09;LightGray;CHI;CHI;X
U10;LightGreen;CHI;CHI;X
U11;LightBlue;CHI;CHI;X
U12;LightBlue;CHI;CHI;X
U13;DarkBlue;CHI;CHI;X
U14;DarkRed;CHI;CHI;X
U15;Gray;CHI;CHI;X
U16;Green;CHI;CHI;X
U17;DarkGreen;CHI;CHI;X
U18;LightOrange;CHI;CHI;X
U19;Black;CHI;CHI;X
U20;Blue;CHI;CHI;X
U21;DarkOrange;ENG;MIN;X
U22;DarkYellow;ENG;MIN;X
U23;DarkGreen;ENG;MIN;X
U24;Brown;ENG;MIN;X
U25;White;ENG;MIN;X
U26;Red;ENG;MIN;X
U27;LightYellow;ENG;MIN;X
U28;LightBrown;ENG;MIN;X
U29;LightGray;ENG;MIN;X
U30;LightGreen;ENG;MIN;X
U31;LightBlue;ENG;MIN;X
U32;Blue;ENG;MIN;X
U33;DarkBlue;SOV;MIN;X
U34;DarkRed;ENG;MIN;X
U35;Gray;ENG;MIN;X
U36;Green;ENG;MIN;X
U37;LightRed;ENG;MIN;X
U38;LightOrange;ENG;MIN;X
U39;Yellow;ENG;MIN;X
U40;DarkGray;ENG;MIN;X
U41;DarkOrange;ENG;MIN;X
U42;DarkYellow;ENG;MIN;X
U43;DarkGreen;ENG;MIN;X
U44;Brown;ENG;MIN;X
U45;White;ENG;MIN;X
U46;Red;ENG;MIN;X
U47;LightYellow;ENG;MIN;X
U48;LightBrown;ENG;MIN;X
U49;LightGray;ENG;MIN;X
U50;DarkBrown;ENG;MIN;X
U51;LightBlue;ENG;MIN;X
U52;Blue;ENG;MIN;X
U53;DarkBlue;ENG;MIN;X
U54;DarkRed;ENG;MIN;X
U55;Gray;ENG;MIN;X
U56;Green;ENG;MIN;X
U57;LightRed;ENG;MIN;X
U58;LightOrange;ENG;MIN;X
U59;Yellow;ENG;MIN;X
U60;DarkGray;ENG;MIN;X
U61;DarkOrange;ENG;MIN;X
U62;DarkYellow;ENG;MIN;X
U63;DarkGreen;ENG;MIN;X
U64;Brown;ENG;MIN;X
U65;White;ENG;MIN;X
U66;Red;ENG;MIN;X
U67;LightYellow;ENG;MIN;X
U68;LightBrown;ENG;MIN;X
U69;LightGray;ENG;MIN;X
U70;DarkGreen;ENG;MIN;X
U71;LightBlue;ENG;MIN;X
U72;DarkRed;CHI;MIN;X
U73;DarkBlue;ENG;MIN;X
U74;DarkOrange;CHI;MIN;X
U75;Gray;ENG;MIN;X
U76;Green;ENG;MIN;X
U77;LightRed;ENG;MIN;X
U78;LightOrange;ENG;MIN;X
U79;Yellow;ENG;MIN;X
U80;LightRed;ENG;MIN;X
U81;Gray;FRA;MIN;X
U82;Green;FRA;MIN;X
U83;DarkOrange;ENG;MIN;X
U84;Brown;FRA;MIN;X
U85;LightYellow;FRA;MIN;X
U86;LightBlue;ENG;MIN;X
