From;To;Type;Through;Comment
##############################################################################;;;;
# Canals;;;;
##############################################################################;;;;
2441;3613;Canal;3207;The Messina Canal
2418;3601;Canal;3209;The Sassari Canal
#;;;;
2468;2466;Canal;254;The Kerch Canal
397;2464;Canal;3934;The Canakkal Canal
#;;;;
#2151;2147;Canal;1353;The Singapore Canal
#;;;;
2077;2144;Canal;1628;The Batavia Canal
2141;2142;Canal;1635;The Pulau Bali Canal
2283;2142;Canal;1637;The Pulau Sumbawa Canal
2283;2138;Canal;1637;The Pulau Sumbawa Canal
#;;;;
2255;2253;Canal;1745;The Leyte Canal
2259;2254;Canal;1744;The Samar Canal
#;;;;
2156;2158;Canal;1321;The Qiongzhou Canal
#;;;;
2193;2192;Canal;1190;The Fuku奥卡河 Oka Canal
2194;2213;Canal;3651;The Hokkaido Canal
#;;;;
1881;1911;Canal;548;The Unimak Canal
##############################################################################;;;;
# Rivers(fjords) in Norway;;;;
##############################################################################;;;;
110;117;River;0;松恩峡湾 Sognefjorden
107;108;River;0;洛根河 Lagen
116;108;River;0;洛根河 Lagen
124;125;River;0;萨尔特峡湾 Saltenfjord
128;129;River;0;塔纳河 Tana
128;139;River;0;塔纳河 Tana
129;132;River;0;伊瓦洛河 Ivalo
##############################################################################;;;;
# Swedish Rivers;;;;
##############################################################################;;;;
114;102;River;0;达尔河 Dalalven
114;104;River;0;达尔河 Dalalven
114;113;River;0;达尔河 Dalalven
119;113;River;0;达尔河 Dalalven
113;105;River;0;克拉尔河 Klaralven
112;105;River;0;克拉尔河 Klaralven
98;93;River;0;拉甘河 Lagan
98;106;River;0;约塔河 Gota alv
99;106;River;0;约塔河 Gota alv
112;99;River;0;约塔运河 Gota kanal
122;120;River;0;于默河 Umealven
121;120;River;0;于默河 Umealven
121;119;River;0;于默河 Umealven
122;126;River;0;吕勒河 Lulealven
121;126;River;0;吕勒河 Lulealven
127;122;River;0;吕勒河 Lulealven
##############################################################################;;;;
# Finnish Rivers;;;;
##############################################################################;;;;
127;131;River;0;托尔讷河 Torne River
127;115;River;0;托尔讷河 Torne River
126;115;River;0;托尔讷河 Torne River
147;148;River;0;萨伊马运河 Saimaa
144;148;River;0;萨伊马运河 Saimaa
3117;148;River;0;萨伊马运河 Saimaa
3117;149;River;0;萨伊马运河 Saimaa
148;149;River;0;萨伊马运河 Saimaa
3283;146;River;0;萨伊马运河 Saimaa
139;130;River;0;伊瓦洛河 Ivalo
139;132;River;0;伊瓦洛河 Ivalo
##############################################################################;;;;
# Baltic Rivers;;;;
##############################################################################;;;;
207;511;River;0;尼曼河(涅曼河) Nemunas
