POR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2800;里斯本船业 ;T2800;4;1930;1999;naval_engineering;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2801;奥菲西纳斯-格拉伊斯铝材有限公司 ;T2801;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2802;阿尔费塔兵工厂 ;T2802;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2803;葡萄牙铁路公司 ;T2803;5;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2804;约·诺顿·德·马托斯 ;T2804;2;1930;1938;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2805;弗朗西斯·索瑞斯 ;T2805;4;1930;1999;small_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2806;OGME ;T2806;3;1930;1999;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2807;菲里卡军工 ;T2807;3;1930;1999;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2808;杰米·阿菲克西奥 ;T2808;3;1930;1999;small_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2809;曼努埃尔·古维亚 ;T2809;3;1930;1999;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
