PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2600;埃-卡劳船业 ;T2600;4;1930;1999;naval_engineering;industrial_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2601;全国航空联合会 ;T2601;3;1930;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2602;秘鲁工业集团 ;T2602;4;1930;1999;industrial_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2603;皮克斯运输有限公司 ;T2603;3;1930;1999;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2604;曼努埃尔·奥德里亚·阿莫雷蒂 ;T2604;4;1940;1999;small_unit_tactics;decentralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2605;拉蒙·卡斯蒂略 ;T2605;3;1930;1940;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2606;埃内斯托·斯克瑞斯 ;T2606;5;1930;1999;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2607;刘易斯·纳瓦雷特 ;T2607;4;1942;1999;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2608;保罗·德·贝迪斯 ;T2608;5;1930;1939;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2609;菲尔南多·M·奎斯达·布兰科 ;T2609;4;1941;1999;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2610;彼得·波莱特 ;T2610;5;1930;1945;rocketry;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
