DDR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7100;埃森亚琛汽车工业 ;T7100;4;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7101;亨克尔飞机公司 ;T2;7;1930;1999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7102;容克飞机制造 ;T4;8;1930;1999;aeronautics;chemistry;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7103;莱纳工业 ;T7103;7;1930;1999;chemistry;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7104;罗斯托克尼普顿-沃夫特船厂 ;T7104;5;1930;1999;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7105;赖纳·施塔赫 ;T7105;4;1930;1999;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7106;VEB 恩斯特·托曼·祖尔 ;T7106;5;1930;1999;technical_efficiency;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7107;古斯塔夫·赫兹 ;T7107;7;1950;1999;nuclear_physics;mathematics;nuclear_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7108;陆军 ;T7108;5;1930;1999;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7109;人民海军 ;T7109;4;1930;1999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7110;空军和防空部队 ;T7110;4;1930;1999;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7111;赫尔穆特·格雷特拉普 ;T7111;6;1945;1999;rocketry;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7112;瓦尔诺·威弗尔特·罗斯托克 ;T7112;6;1930;1999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
