PRK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12600;农业部 ;T15200;3;1930;1999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12601;空运部 ;T11403;4;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12602;化学工业部 ;T10510;6;1930;1999;chemistry;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12603;建筑部 ;T13502;5;1930;1999;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12604;电子工业部 ;T13507;4;1930;1999;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12606;陆海运输部 ;T10300;4;1930;1999;mechanics;naval_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12607;金属及机械制造厂 ;T10504;5;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12608;煤电部 ;T11000;6;1930;1999;industrial_engineering;mechanics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12609;铁道部 ;T11200;5;1930;1999;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12610;船运部 ;T11001;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12611;国立军官学校 ;T10401;5;1930;1999;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
