FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1404;法国海军冶金公司 ;T1404;4;1930;1999;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1414;阿奎坦国家石油公司 ;T1414;6;1939;1999;industrial_engineering;chemistry;MECHANICS;GENERAL_EQUIPMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1401;艾米特 ;T1401;4;1930;1999;aeronautics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1409;莫拉纳-索尼埃 ;T1425;4;1930;1999;aeronautics;TECHNICAL_EFFICIENCY;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1428;布罗契飞机公司 ;T1428;3;1930;1999;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1425;北方航空制造公司 ;T1425;5;1999;1999;aeronautics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1403;德瓦蒂纳飞机工厂 ;T1403;5;1999;1999;aeronautics;TECHNICAL_EFFICIENCY;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1430;德拉飞机制造厂 ;T1430;7;1999;1999;aeronautics;FIGHTER_TACTICS;aircraft_testing;BOMBER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1408;圣-埃蒂安兵工厂 ;T1408;5;1930;1999;INFANTRY_FOCUS;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1410;雷诺 ;T1410;7;1930;1999;mechanics;industrial_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1413;施耐德 ;T1413;6;1930;1999;artillery;mechanics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1415;索玛 ;T1415;5;1930;1999;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1402;布雷斯特船厂 ;T1402;5;1930;1999;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1400;圣-纳萨利-本霍伊特有限公司 ;T1400;4;1930;1999;naval_engineering;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1405;居里研究所 ;T1405;9;1930;1999;nuclear_physics;MANAGEMENT;mathematics;chemistry;ELECTRONICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1406;让·雅克·巴罗 ;T1406;3;1930;1999;rocketry;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1407;库尔曼 ;T1407;3;1930;1999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1432;路易·德布罗伊 ;T1425;7;1940;1999;nuclear_physics;mathematics;NUCLEAR_ENGINEERING;CHEMISTRY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1422;莫里斯·甘末林 ;T1422;2;1930;1999;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1423;马克西姆·魏刚 ;T1423;5;1940;1999;centralized_execution;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1416;夏尔·戴高乐 ;T1416;7;1939;1999;small_unit_tactics;CENTRALIZED_EXECUTION;individual_courage;COMBINED_ARMS_FOCUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1418;弗朗西斯·达尔朗 ;T1418;5;1930;1999;NAVAL_ARTILLERY;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1420;马塞尔·让苏尔 ;T1420;4;1930;1999;DECENTRALIZED_EXECUTION;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1419;弗朗西斯·维泽希 ;T1419;3;1930;1999;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1424;维克托·德南 ;T1424;3;1930;1999;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1421;马蒂尔·维林 ;T1421;6;1940;1999;fighter_tactics;bomber_tactics;training;SMALL_TASKFORCE_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1411;罗纳普朗克 ;T1411;3;1930;1999;chemistry;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1417;艾迪安·史兰伯杰 ;T1417;4;1930;1999;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1412;圣-戈班 ;T1412;2;1930;1999;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
