U73;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
97300;福蘭飛機公司 ;T97300;4;1937;1999;aeronautics;electronics;technical_efficiency;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97301;阿爾德梅斯頓原子武器研究院 ;T97301;4;1947;1999;nuclear_physics;nuclear_engineering;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97303;埃菲尔德兵工厂 ;T305;5;1930;1999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97304;英格兰电气公司 ;T306;6;1930;1999;electronics;aeronautics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97305;費利航空 ;T97305;6;1930;1999;aeronautics;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97306;Swan 亨特 & Wigham 理查森 ;T97306;6;1930;1999;naval_engineering;naval_artillery;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97307;沃克斯豪爾汽車公司 ;T315;5;1930;1999;mechanics;chemistry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97308;罗弗汽车公司 ;T97308;8;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97309;英格兰陆军 ;T97309;4;1930;1999;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97310;英格兰空军 ;T97310;3;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97311;英格兰海军 ;T97311;3;1930;1999;small_taskforce_tactics;na val_training;decentralized_execution;seamanship;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;x
97312;牛津大学 ;T97312;4;1930;1999;management;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
