BRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4400;卡西诺·莫尼兹公司 ;T4400;4;1930;1999;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4401;CCNA;T4401;5;1930;1999;aeronautics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4402;CCNC;T4402;5;1930;1999;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4403;国营冶金公司 ;T4403;5;1930;1999;industrial_engineering;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4404;巴西国营矿业 ;T4404;4;1930;1999;industrial_engineering;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4405;库巴斯岛船厂 ;T4405;5;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4406;巴西圣保罗科技研究所(IPT) ;T4406;6;1930;1999;aeronautics;management;electronics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4407;恩里克·拉格公司 ;T4407;6;1930;1999;industrial_engineering;chemistry;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4408;尤利科·加斯帕尔·杜特拉 ;T4408;4;1940;1952;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4409;吉奥·马斯卡伦哈斯·德·莫拉雷斯 ;T4409;4;1937;1954;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4410;阿里斯蒂德·普吉兰 ;T4410;4;1930;1938;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4411;塔西略·帕迪尔哈 ;T4411;3;1930;1999;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4412;萨尔加多·菲略 ;T4412;4;1930;1947;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4413;埃帕米农达斯·多斯·桑托斯 ;T4413;4;1930;1945;decentralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4414;NMC ;T4414;5;1945;1999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4415;科尔德罗 德 法里亚斯 ;T4415;6;1940;1999;artillery;general_equipment;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4416;尼罗 毛拉 ;T4416;6;1943;1999;fighter_tactics;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
