BUL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
800;CBSA ;T800;3;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
801;保加利亚国营飞机制造厂 ;T801;4;1930;1999;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
802;阿塔纳斯·布罗夫 ;T802;5;1930;1999;management;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
803;伊万·沃尔科夫 ;T803;4;1930;1999;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
804;尼古拉·巴克德基耶夫 ;T804;4;1930;1944;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
805;萨瓦·伊万诺夫 ;T805;2;1930;1940;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
806;阿塔纳斯·萨拉帕托夫 ;T806;2;1940;1999;submarine_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
807;扎卡利·扎克哈里耶夫 ;T807;4;1944;1999;bomber_tactics;combined_arms_focus;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
808;斯托扬·斯托万诺夫 ;T808;4;1942;1956;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
809;瓦西尔·伯德夫 ;T809;3;1930;1944;fighter_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
810;卡赞拉克国营军工厂 ;T810;3;1930;1999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
811;国防部 ;T811;4;1945;1999;centralized_execution;small_taskforce_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
812;保加利亚科学院 ;T812;4;1930;1999;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
